country,numberOfRepositories
us,2622
cn,666
gb,553
de,284
ca,251
fr,222
jp,142
se,127
au,107
nl,97
ru,96
es,85
in,77
br,76
it,75
pl,66
ua,62
co,59
ch,55
at,53
no,37
dk,36
fi,33
be,31
tr,31
ie,29
bg,25
il,25
kr,24
ph,23
sg,22
ro,21
nz,20
ar,19
cz,19
vn,16
pt,15
id,14
tw,13
by,12
uy,11
cl,10
ir,9
ae,9
gr,9
ee,8
hu,8
th,7
za,7
et,6
si,6
lv,5
mx,5
lt,5
rs,5
sk,4
bo,4
my,4
lk,3
ma,3
eg,3
pk,3
lu,3
cy,3
bd,3
hr,3
pe,2
bj,2
sl,2
im,1
bh,1
qa,1
tz,1
sz,1
jm,1
lb,1
hn,1
mr,1
py,1
np,1
ng,1
al,1
cd,1
cm,1
sc,1
ba,1
jo,1
am,1
td,1
ni,1
dz,1
