owner,name,fullName,numberOfStars,country,language
tensorflow,react-hn,tensorflow/react-hn,97842,,C++
sindresorhus,jansson,sindresorhus/jansson,83204,,
jquery,css-element-queries,jquery/css-element-queries,56815,,JavaScript
angular,tiedot,angular/tiedot,54494,,JavaScript
nodejs,You-Dont-Know-JS,nodejs/You-Dont-Know-JS,51162,,JavaScript
h5bp,quaggaJS,h5bp/quaggaJS,45440,,JavaScript
docker,simple_form,docker/simple_form,43421,,Go
rails,responders,rails/responders,43320,,Ruby
mrdoob,streem,mrdoob/streem,43299,,JavaScript
meteor,conv_arithmetic,meteor/conv_arithmetic,42522,,JavaScript
golang,live-server,golang/live-server,42132,,Go
resume,oh-my-zsh,resume/oh-my-zsh,39985,,JavaScript
webpack,phantomas,webpack/phantomas,39832,,JavaScript
rg3,javascript,rg3/javascript,37133,,Python
jekyll,emojicon,jekyll/emojicon,36954,,Ruby
angular,DataTables,angular/DataTables,36882,,TypeScript
laravel,dist-prog-book,laravel/dist-prog-book,36504,,PHP
getlantern,cosmos,getlantern/cosmos,35975,,Go
jwasham,cta.js,jwasham/cta.js,35635,,
moment,mailin,moment/mailin,35281,,JavaScript
google,react-native,google/react-native,34785,,CSS
joyent,linux,joyent/linux,33641,,
Dogfalo,go.uuid,Dogfalo/go.uuid,33503,,JavaScript
tensorflow,nexe,tensorflow/nexe,32824,,Python
ReactiveX,animate.css,ReactiveX/animate.css,32680,,Java
bitcoin,swift,bitcoin/swift,32056,,C++
yarnpkg,create-react-app,yarnpkg/create-react-app,31741,,JavaScript
ansible,xTextHandler,ansible/xTextHandler,30702,,Python
typicode,d3,typicode/d3,30607,,JavaScript
google,python-mode,google/python-mode,30428,,HTML
antirez,SpaceshipGenerator,antirez/SpaceshipGenerator,30296,,C
avelino,goreplay,avelino/goreplay,30011,,Go
GoogleChrome,jsonparser,GoogleChrome/jsonparser,29768,,JavaScript
driftyco,keras-rl,driftyco/keras-rl,29710,,JavaScript
x64dbg,awesome-quant,x64dbg/awesome-quant,29657,,C++
rust-lang,Semantic-UI,rust-lang/Semantic-UI,29168,,Rust
firehol,frontend-maven-plugin,firehol/frontend-maven-plugin,28935,,C
scikit-learn,rufus-scheduler,scikit-learn/rufus-scheduler,27996,,Python
h5bp,zoomooz,h5bp/zoomooz,27765,,
Alamofire,RE-for-beginners,Alamofire/RE-for-beginners,27610,,Swift
thedaviddias,portia,thedaviddias/portia,27300,,
reactjs,splash,reactjs/splash,27149,,JavaScript
ant-design,emmet,ant-design/emmet,26943,,CSS
square,ScalingLayout,square/ScalingLayout,26928,,Java
lodash,MaterialIntroView,lodash/MaterialIntroView,26922,,JavaScript
googlesamples,ng-annotate,googlesamples/ng-annotate,26657,,
ariya,TypeScript,ariya/TypeScript,26624,,HTML
scrapy,html-webpack-plugin,scrapy/html-webpack-plugin,26493,,Python
discourse,recline,discourse/recline,26223,,Ruby
kubernetes,cloud9,kubernetes/cloud9,25912,,Go
square,ace-builds,square/ace-builds,25820,,Java
jwasham,brackets,jwasham/brackets,25644,,
google,awesome-machine-learning,google/awesome-machine-learning,25383,,C++
gulpjs,saleor,gulpjs/saleor,25246,,JavaScript
enaqx,nlp_tasks,enaqx/nlp_tasks,25094,,JavaScript
