owner,name,fullName,numberOfStars,country,language
Mango,slideout,Mango/slideout,5728,ar,JavaScript
mgonto,restangular,mgonto/restangular,4879,ar,JavaScript
norman,friendly_id,norman/friendly_id,4157,ar,Ruby
manastech,crystal,manastech/crystal,3873,ar,Crystal
fernandezpablo85,scribe-java,fernandezpablo85/scribe-java,2779,ar,Java
cazala,synaptic,cazala/synaptic,2751,ar,JavaScript
Aerolab,midnight.js,Aerolab/midnight.js,2490,ar,JavaScript
godotengine,godot,godotengine/godot,2014,ar,C
flesler,jquery.scrollTo,flesler/jquery.scrollTo,1821,ar,HTML
pazguille,offline-first,pazguille/offline-first,1629,ar,
a0viedo,demystifying-js-engines,a0viedo/demystifying-js-engines,1407,ar,
benjamine,JsonDiffPatch,benjamine/JsonDiffPatch,1361,ar,JavaScript
luisfarzati,angulartics,luisfarzati/angulartics,1060,ar,
martinblech,xmltodict,martinblech/xmltodict,993,ar,Python
andresriancho,w3af,andresriancho/w3af,903,ar,Python
joni2back,angular-filemanager,joni2back/angular-filemanager,878,ar,JavaScript
geedmo,yamm3,geedmo/yamm3,807,ar,HTML
mgonto,angular-wizard,mgonto/angular-wizard,776,ar,JavaScript
programa-stic,barf-project,programa-stic/barf-project,703,ar,Python
