owner,name,fullName,numberOfStars,country,language
PhilJay,claudia,PhilJay/claudia,21689,at,Java
mitsuhiko,audiojs,mitsuhiko/audiojs,19040,at,Python
mxstbr,vim-galore-zh_cn,mxstbr/vim-galore-zh_cn,12018,at,JavaScript
mikepenz,pytudes,mikepenz/pytudes,9359,at,Java
alexjc,temporal,alexjc/temporal,8746,at,
enyo,Cicerone,enyo/Cicerone,8730,at,JavaScript
alexjc,JellyToolbar,alexjc/JellyToolbar,8120,at,
janpaepke,AFViewShaker,janpaepke/AFViewShaker,7468,at,JavaScript
steipete,ion.rangeSlider,steipete/ion.rangeSlider,5724,at,Objective-C
mikepenz,streisand,mikepenz/streisand,3700,at,Java
IAIK,kops,IAIK/kops,3486,at,C
bebraw,node-jscs,bebraw/node-jscs,3315,at,JavaScript
mitsuhiko,oryx,mitsuhiko/oryx,3197,at,Python
chassing,CefSharp,chassing/CefSharp,3093,at,
mitsuhiko,rust-by-example,mitsuhiko/rust-by-example,3007,at,Python
lektor,osx-installer,lektor/osx-installer,2889,at,Python
majodev,jinja2,majodev/jinja2,2889,at,JavaScript
webmozart,hugo-academic,webmozart/hugo-academic,2885,at,PHP
mitsuhiko,gitx,mitsuhiko/gitx,2714,at,Python
steipete,solo,steipete/solo,2704,at,Objective-C
sehmaschine,evil.sh,sehmaschine/evil.sh,2592,at,HTML
xenolf,wallabag,xenolf/wallabag,2568,at,Go
serratus,Reddit-Enhancement-Suite,serratus/Reddit-Enhancement-Suite,2515,at,JavaScript
okonet,webkit,okonet/webkit,2509,at,JavaScript
axkibe,cat,axkibe/cat,2464,at,Lua
Gamua,nEXT,Gamua/nEXT,2400,at,ActionScript
okonet,micropython,okonet/micropython,2363,at,Shell
mikepenz,habitat,mikepenz/habitat,2187,at,Java
mikepenz,mustache.github.com,mikepenz/mustache.github.com,2157,at,Java
markushi,BlurEffectForAndroidDesign,markushi/BlurEffectForAndroidDesign,2140,at,Java
michaelbromley,react-native-open-project,michaelbromley/react-native-open-project,2080,at,JavaScript
mikepenz,pre-commit,mikepenz/pre-commit,1927,at,Java
mxstbr,MinecraftForge,mxstbr/MinecraftForge,1925,at,JavaScript
aschuch,spiderfoot,aschuch/spiderfoot,1907,at,Swift
W4RH4WK,nunit,W4RH4WK/nunit,1884,at,PowerShell
omnidan,rolify,omnidan/rolify,1840,at,JavaScript
mitsuhiko,superagent,mitsuhiko/superagent,1715,at,Python
inspirit,reek,inspirit/reek,1694,at,JavaScript
steipete,howdoi,steipete/howdoi,1679,at,Objective-C
myell0w,SoftEtherVPN,myell0w/SoftEtherVPN,1665,at,Objective-C
michael,untrusted,michael/untrusted,1608,at,JavaScript
mitsuhiko,docker-openvpn,mitsuhiko/docker-openvpn,1585,at,Python
mariohahn,gulp-starter,mariohahn/gulp-starter,1548,at,Objective-C
jarulraj,react-waypoint,jarulraj/react-waypoint,1544,at,Python
mxstbr,caffe-tensorflow,mxstbr/caffe-tensorflow,1523,at,JavaScript
nefarius,LuLu,nefarius/LuLu,1473,at,C#
mherrmann,awesome-angular,mherrmann/awesome-angular,1417,at,
cocur,preact-cli,cocur/preact-cli,1399,at,PHP
mdbloice,react-native-express,mdbloice/react-native-express,1350,at,
bioinf-jku,keep-a-changelog,bioinf-jku/keep-a-changelog,1322,at,
sh4nks,dotfiles,sh4nks/dotfiles,1315,at,Python
