owner,name,fullName,numberOfStars,country,language
DmitryBaranovskiy,raphael,DmitryBaranovskiy/raphael,9168,au,JavaScript
Selz,plyr,Selz/plyr,8173,au,JavaScript
charliesome,better_errors,charliesome/better_errors,6324,au,Ruby
justinfrench,formtastic,justinfrench/formtastic,5433,au,Ruby
JakeLin,IBAnimatable,JakeLin/IBAnimatable,5246,au,Swift
flarum,flarum,flarum/flarum,4845,au,ApacheConf
JedWatson,react-select,JedWatson/react-select,4544,au,JavaScript
nosir,cleave.js,nosir/cleave.js,4431,au,
a1studmuffin,SpaceshipGenerator,a1studmuffin/SpaceshipGenerator,4346,au,
cdnjs,cdnjs,cdnjs/cdnjs,4072,au,
JakeLin,SwiftWeather,JakeLin/SwiftWeather,4069,au,Swift
cht8687,You-Dont-Need-Lodash-Underscore,cht8687/You-Dont-Need-Lodash-Underscore,3524,au,JavaScript
JedWatson,classnames,JedWatson/classnames,3470,au,JavaScript
johnno1962,injectionforxcode,johnno1962/injectionforxcode,3223,au,Objective-C
stephenmcd,mezzanine,stephenmcd/mezzanine,2886,au,Python
flarum,core,flarum/core,2836,au,JavaScript
kyleneideck,BackgroundMusic,kyleneideck/BackgroundMusic,2667,au,
thomasdavis,backbonetutorials,thomasdavis/backbonetutorials,2662,au,JavaScript
squizlabs,PHP_CodeSniffer,squizlabs/PHP_CodeSniffer,2635,au,PHP
steshaw,plt,steshaw/plt,2630,au,CSS
mikel,mail,mikel/mail,2583,au,Ruby
sj26,mailcatcher,sj26/mailcatcher,2508,au,Ruby
markdalgleish,stellar.js,markdalgleish/stellar.js,2487,au,JavaScript
yoshuawuyts,choo,yoshuawuyts/choo,2460,au,JavaScript
redguardtoo,mastering-emacs-in-one-year-guide,redguardtoo/mastering-emacs-in-one-year-guide,2454,au,
stevemao,diff-so-fancy,stevemao/diff-so-fancy,2377,au,Perl
sporritt,jsPlumb,sporritt/jsPlumb,2230,au,HTML
JedWatson,touchstonejs,JedWatson/touchstonejs,1972,au,CSS
jtblin,angular-chart.js,jtblin/angular-chart.js,1914,au,JavaScript
humaan,Modaal,humaan/Modaal,1907,au,CSS
matthewpalmer,Locksmith,matthewpalmer/Locksmith,1886,au,Swift
jpillora,xdomain,jpillora/xdomain,1808,au,JavaScript
Daemonite,material,Daemonite/material,1740,au,HTML
ampedandwired,html-webpack-plugin,ampedandwired/html-webpack-plugin,1715,au,JavaScript
gavinbunney,Toucan,gavinbunney/Toucan,1713,au,Swift
pat,thinking-sphinx,pat/thinking-sphinx,1676,au,Ruby
chrisboulton,php-resque,chrisboulton/php-resque,1612,au,PHP
domesticcatsoftware,DCIntrospect,domesticcatsoftware/DCIntrospect,1599,au,Objective-C
soarcn,BottomSheet,soarcn/BottomSheet,1597,au,Java
radar,forem,radar/forem,1592,au,Ruby
simplaio,rucksack,simplaio/rucksack,1524,au,JavaScript
taitems,Aristo-jQuery-UI-Theme,taitems/Aristo-jQuery-UI-Theme,1492,au,JavaScript
choonkending,react-webpack-node,choonkending/react-webpack-node,1478,au,JavaScript
