owner,name,fullName,numberOfStars,country,language
bendc,entrust,bendc/entrust,7116,be,
bendc,Mancy,bendc/Mancy,4764,be,JavaScript
MichielDerhaeg,SkeletonView,MichielDerhaeg/SkeletonView,4716,be,
jonathanslenders,wagtail,jonathanslenders/wagtail,4313,be,Python
jedi4ever,flinux,jedi4ever/flinux,4247,be,Shell
bendc,Signal-Desktop,bendc/Signal-Desktop,4213,be,JavaScript
Spatie,ImagineEngine,Spatie/ImagineEngine,3369,be,PHP
louisdh,Awesome-Hacking-Resources,louisdh/Awesome-Hacking-Resources,3317,be,Swift
misterch0c,gpdb,misterch0c/gpdb,3259,be,
jenssegers,PhotoPicker,jenssegers/PhotoPicker,3032,be,PHP
jonathanslenders,OBS,jonathanslenders/OBS,2599,be,Python
davideas,pix2code,davideas/pix2code,2555,be,Java
nathanvda,stacktrace.js,nathanvda/stacktrace.js,2271,be,Ruby
jonathanslenders,duktape,jonathanslenders/duktape,2265,be,Python
Spatie,platform,Spatie/platform,2264,be,PHP
phpro,js-data,phpro/js-data,2260,be,PHP
Spatie,invoke,Spatie/invoke,2140,be,PHP
JanVanRyswyck,renderdoc,JanVanRyswyck/renderdoc,2133,be,
thibmaek,vim-polyglot,thibmaek/vim-polyglot,2114,be,
gijsroge,awesome-go,gijsroge/awesome-go,2036,be,
wout,tqdm,wout/tqdm,2034,be,JavaScript
gcp,promises,gcp/promises,2010,be,C++
RobinHerbots,statuspage,RobinHerbots/statuspage,1853,be,JavaScript
nodebox,source-sdk-2013,nodebox/source-sdk-2013,1773,be,JavaScript
zonination,tablesaw,zonination/tablesaw,1663,be,R
jonsneyers,aiohttp,jonsneyers/aiohttp,1598,be,C++
jenssegers,blockchain-demo,jenssegers/blockchain-demo,1527,be,PHP
thibmaek,sentry,thibmaek/sentry,1492,be,
Spatie,php-webdriver,Spatie/php-webdriver,1483,be,PHP
FLIF-hub,plax,FLIF-hub/plax,1477,be,C++
Spatie,xmltodict,Spatie/xmltodict,1475,be,
SamVerschueren,secureheaders,SamVerschueren/secureheaders,1403,be,
RobinHerbots,axe-core,RobinHerbots/axe-core,1402,be,JavaScript
IgnaceMaes,nlp_compromise,IgnaceMaes/nlp_compromise,1395,be,C#
