owner,name,fullName,numberOfStars,country,language
plataformatec,devise,plataformatec/devise,16442,br,Ruby
avelino,awesome-go,avelino/awesome-go,14768,br,Go
vsouza,awesome-ios,vsouza/awesome-ios,14768,br,Swift
plataformatec,simple_form,plataformatec/simple_form,6434,br,Ruby
insidegui,WWDC,insidegui/WWDC,4737,br,Objective-C
eduardolundgren,tracking.js,eduardolundgren/tracking.js,3835,br,JavaScript
fastly,epoch,fastly/epoch,3730,br,HTML
lpereira,lwan,lpereira/lwan,3417,br,C
ellisonleao,magictools,ellisonleao/magictools,3206,br,
padrino,padrino-framework,padrino/padrino-framework,3044,br,Ruby
kazzkiq,balloon.css,kazzkiq/balloon.css,2882,br,
Respect,Validation,Respect/Validation,2703,br,PHP
thumbor,thumbor,thumbor/thumbor,2618,br,Python
braziljs,js-the-right-way,braziljs/js-the-right-way,2613,br,HTML
dogo,SCLAlertView,dogo/SCLAlertView,2199,br,Objective-C
gilbarbara,logos,gilbarbara/logos,2158,br,
willianjusten,awesome-svg,willianjusten/awesome-svg,2152,br,Ruby
caiorss,Functional-Programming,caiorss/Functional-Programming,2068,br,Haskell
andremion,Music-Player,andremion/Music-Player,2050,br,
tayllan,awesome-algorithms,tayllan/awesome-algorithms,1780,br,
klaussilveira,gitlist,klaussilveira/gitlist,1779,br,CSS
hishamhm,htop,hishamhm/htop,1751,br,C
dleitee,strman,dleitee/strman,1546,br,JavaScript
ideaismobile,IDMPhotoBrowser,ideaismobile/IDMPhotoBrowser,1520,br,Objective-C
gabrielrcouto,php-gui,gabrielrcouto/php-gui,1506,br,
fnando,i18n-js,fnando/i18n-js,1413,br,JavaScript
mbenford,ngTagsInput,mbenford/ngTagsInput,1373,br,JavaScript
igorescobar,jQuery-Mask-Plugin,igorescobar/jQuery-Mask-Plugin,1318,br,JavaScript
marcelgsantos,learning-oop-in-php,marcelgsantos/learning-oop-in-php,1311,br,
plataformatec,responders,plataformatec/responders,1304,br,Ruby
tchandy,octopus,tchandy/octopus,1241,br,Ruby
hdoria,xcode-themes,hdoria/xcode-themes,1215,br,Ruby
hilios,jQuery.countdown,hilios/jQuery.countdown,1152,br,JavaScript
gabrielrcouto,php-terminal-gameboy-emulator,gabrielrcouto/php-terminal-gameboy-emulator,1142,br,
flavioarfaria,KenBurnsView,flavioarfaria/KenBurnsView,1117,br,Java
wbotelhos,raty,wbotelhos/raty,1088,br,JavaScript
tdginternet,TGCameraViewController,tdginternet/TGCameraViewController,1066,br,Objective-C
melanke,Watch.JS,melanke/Watch.JS,1043,br,JavaScript
wandenberg,nginx-push-stream-module,wandenberg/nginx-push-stream-module,1037,br,C
tallesl,Rich-Hickey-fanclub,tallesl/Rich-Hickey-fanclub,1031,br,HTML
vndmtrx,awesome-nodejs,vndmtrx/awesome-nodejs,1018,br,
ellisonleao,clumsy-bird,ellisonleao/clumsy-bird,1014,br,JavaScript
P0cL4bs,WiFi-Pumpkin,P0cL4bs/WiFi-Pumpkin,1010,br,Python
ellisonleao,sharer.js,ellisonleao/sharer.js,999,br,JavaScript
lerrua,remote-jobs-brazil,lerrua/remote-jobs-brazil,971,br,
ppamorim,Dragger,ppamorim/Dragger,967,br,Java
rudsonlive,NavigationDrawer-MaterialDesign,rudsonlive/NavigationDrawer-MaterialDesign,967,br,Java
eduardolundgren,senna,eduardolundgren/senna,944,br,JavaScript
gutomaia,pyNES,gutomaia/pyNES,931,br,Python
fnando,browser,fnando/browser,907,br,Ruby
plataformatec,has_scope,plataformatec/has_scope,904,br,Ruby
jgrossi,corcel,jgrossi/corcel,889,br,PHP
scup,Atellier,scup/Atellier,877,br,JavaScript
mbdavid,LiteDB,mbdavid/LiteDB,864,br,C#
mateusortiz,webcomponents-the-right-way,mateusortiz/webcomponents-the-right-way,836,br,
andersao,l5-repository,andersao/l5-repository,829,br,PHP
fsouza,go-dockerclient,fsouza/go-dockerclient,826,br,Go
RangelReale,osin,RangelReale/osin,824,br,Go
lcobucci,jwt,lcobucci/jwt,801,br,PHP
oswaldoacauan,ghostium,oswaldoacauan/ghostium,776,br,HTML
tarruda,zsh-autosuggestions,tarruda/zsh-autosuggestions,772,br,Shell
robotlolita,fuck-you,robotlolita/fuck-you,771,br,JavaScript
cobrateam,splinter,cobrateam/splinter,769,br,Python
hebertialmeida,HAPaperViewController,hebertialmeida/HAPaperViewController,763,br,Objective-C
phstc,shoryuken,phstc/shoryuken,754,br,Ruby
rev087,ng-inspector,rev087/ng-inspector,754,br,JavaScript
juarezpaf,ionic-adventures,juarezpaf/ionic-adventures,747,br,
keplerproject,luarocks,keplerproject/luarocks,746,br,Lua
dolce,iziModal,dolce/iziModal,735,br,
Coreh,nide,Coreh/nide,727,br,JavaScript
pgmodeler,pgmodeler,pgmodeler/pgmodeler,707,br,C++
fgrehm,vagrant-cachier,fgrehm/vagrant-cachier,694,br,Ruby
igorprado,react-notification-system,igorprado/react-notification-system,690,br,JavaScript
azukiapp,azk,azukiapp/azk,689,br,JavaScript
red42,HTML5_Genetic_Cars,red42/HTML5_Genetic_Cars,686,br,JavaScript
lmmenge,WatchSpringboard-Prototype,lmmenge/WatchSpringboard-Prototype,679,br,Objective-C
