owner,name,fullName,numberOfStars,country,language
nostra13,Android-Universal-Image-Loader,nostra13/Android-Universal-Image-Loader,14409,by,Java
MaximAbramchuck,awesome-interviews,MaximAbramchuck/awesome-interviews,8976,by,
akveo,blur-admin,akveo/blur-admin,4937,by,JavaScript
Eugeny,ajenti,Eugeny/ajenti,4198,by,Python
akveo,ng2-admin,akveo/ng2-admin,2330,by,TypeScript
quozd,awesome-dotnet,quozd/awesome-dotnet,2251,by,
flatlogic,awesome-bootstrap-checkbox,flatlogic/awesome-bootstrap-checkbox,1313,by,CSS
asaskevich,govalidator,asaskevich/govalidator,1262,by,Go
MaximAbramchuck,awesome-interview-questions,MaximAbramchuck/awesome-interview-questions,924,by,
DmitryMalkovich,material-design-dimens,DmitryMalkovich/material-design-dimens,904,by,Java
flatlogic,angular-material-dashboard,flatlogic/angular-material-dashboard,822,by,JavaScript
t3chnoboy,awesome-awesome-awesome,t3chnoboy/awesome-awesome-awesome,692,by,
