owner,name,fullName,numberOfStars,country,language
bcit-ci,CodeIgniter,bcit-ci/CodeIgniter,13813,ca,PHP
gorhill,uBlock,gorhill/uBlock,12201,ca,JavaScript
adam-p,markdown-here,adam-p/markdown-here,12111,ca,JavaScript
CamDavidsonPilon,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,10440,ca,Jupyter Notebook
Tj,git-extras,Tj/git-extras,9106,ca,Shell
syl20bnr,spacemacs,syl20bnr/spacemacs,8805,ca,Emacs Lisp
sdelements,lets-chat,sdelements/lets-chat,7797,ca,JavaScript
Thibaut,devdocs,Thibaut/devdocs,7669,ca,Ruby
Tj,jade,Tj/jade,7280,ca,JavaScript
TransitApp,SVProgressHUD,TransitApp/SVProgressHUD,6810,ca,Objective-C
NodeBB,NodeBB,NodeBB/NodeBB,6516,ca,JavaScript
Tj,co,Tj/co,6382,ca,JavaScript
Tj,commander.js,Tj/commander.js,6348,ca,JavaScript
dzenbot,DZNEmptyDataSet,dzenbot/DZNEmptyDataSet,6256,ca,Objective-C
lhorie,mithril.js,lhorie/mithril.js,5853,ca,HTML
chenglou,react-motion,chenglou/react-motion,5605,ca,JavaScript
Tj,mocha,Tj/mocha,5329,ca,JavaScript
gabrielbull,react-desktop,gabrielbull/react-desktop,5139,ca,JavaScript
auchenberg,volkswagen,auchenberg/volkswagen,5119,ca,JavaScript
Tj,n,Tj/n,5074,ca,Shell
Gizak,termui,Gizak/termui,4996,ca,Go
plotly,plotly.js,plotly/plotly.js,4813,ca,JavaScript
CosmicMind,Material,CosmicMind/Material,4411,ca,Swift
StevenBlack,hosts,StevenBlack/hosts,4228,ca,Python
jaredreich,notie.js,jaredreich/notie.js,4189,ca,JavaScript
chmln,flatpickr,chmln/flatpickr,4118,ca,CSS
apenwarr,sshuttle,apenwarr/sshuttle,4005,ca,Python
developit,preact,developit/preact,3802,ca,JavaScript
gmarik,Vundle.vim,gmarik/Vundle.vim,3792,ca,VimL
tessalt,echo-chamber-js,tessalt/echo-chamber-js,3674,ca,JavaScript
samvermette,SVPullToRefresh,samvermette/SVPullToRefresh,3441,ca,Objective-C
briannesbitt,Carbon,briannesbitt/Carbon,3438,ca,PHP
loadfive,Knwl.js,loadfive/Knwl.js,3437,ca,JavaScript
midgetspy,Sick-Beard,midgetspy/Sick-Beard,3396,ca,Python
burke,zeus,burke/zeus,3290,ca,Go
Jam3,devtool,Jam3/devtool,3142,ca,JavaScript
amsul,pickadate.js,amsul/pickadate.js,3134,ca,JavaScript
Tj,ejs,Tj/ejs,3134,ca,JavaScript
reinderien,mimic,reinderien/mimic,3131,ca,Python
Sirupsen,logrus,Sirupsen/logrus,3054,ca,Go
jonom,jquery-focuspoint,jonom/jquery-focuspoint,3002,ca,HTML
cryptocat,cryptocat,cryptocat/cryptocat,2965,ca,JavaScript
Tj,frontend-boilerplate,Tj/frontend-boilerplate,2899,ca,JavaScript
fabien-d,alertify.js,fabien-d/alertify.js,2895,ca,JavaScript
mikeric,rivets,mikeric/rivets,2835,ca,JavaScript
trentm,node-bunyan,trentm/node-bunyan,2789,ca,JavaScript
kikinteractive,app,kikinteractive/app,2756,ca,JavaScript
docopt,docopt,docopt/docopt,2722,ca,Python
PuerkitoBio,goquery,PuerkitoBio/goquery,2644,ca,Go
Tj,should.js,Tj/should.js,2552,ca,JavaScript
Tj,superagent,Tj/superagent,2486,ca,JavaScript
posabsolute,jQuery-Validation-Engine,posabsolute/jQuery-Validation-Engine,2434,ca,JavaScript
