owner,name,fullName,numberOfStars,country,language
vhf,react,vhf/react,71884,ch,
gionkunz,magnetico,gionkunz/magnetico,10738,ch,JavaScript
jwagner,FastHub,jwagner/FastHub,10575,ch,JavaScript
Seldaek,InversifyJS,Seldaek/InversifyJS,9590,ch,PHP
nst,PhpSpreadsheet,nst/PhpSpreadsheet,5350,ch,Objective-C
BafS,matplotlib,BafS/matplotlib,3930,ch,CSS
garnele007,openbay,garnele007/openbay,3264,ch,
davidhalter,stackoverflow-java-top-qa,davidhalter/stackoverflow-java-top-qa,3259,ch,Python
peterbraden,kali-nethunter,peterbraden/kali-nethunter,2892,ch,C++
stoeffel,shotcut,stoeffel/shotcut,2750,ch,
ProtonMail,redis,ProtonMail/redis,2656,ch,JavaScript
davidhalter,DeepLearningProject,davidhalter/DeepLearningProject,2583,ch,VimL
lampepfl,FreeCAD,lampepfl/FreeCAD,2498,ch,Scala
0xced,react-chartjs,0xced/react-chartjs,2373,ch,Objective-C
juliandescottes,jupyterlab,juliandescottes/jupyterlab,2335,ch,JavaScript
heathermiller,VideoRecorder,heathermiller/VideoRecorder,2329,ch,
yarrick,Kanna,yarrick/Kanna,2232,ch,C
status-im,PHPMailer,status-im/PHPMailer,2186,ch,Clojure
marcbachmann,jekyll-bootstrap,marcbachmann/jekyll-bootstrap,2168,ch,JavaScript
nst,rpcx,nst/rpcx,2103,ch,Objective-C
jOOQ,android-database-sqlcipher,jOOQ/android-database-sqlcipher,2090,ch,Java
wjakob,iosched,wjakob/iosched,2032,ch,C
yarrick,react-webpack-node,yarrick/react-webpack-node,1868,ch,C
getflourish,octokit.objc,getflourish/octokit.objc,1806,ch,JavaScript
pstadler,Android-MaterialRefreshLayout,pstadler/Android-MaterialRefreshLayout,1800,ch,
The-Compiler,homebrew-cask,The-Compiler/homebrew-cask,1786,ch,Python
molnarg,jspm-cli,molnarg/jspm-cli,1762,ch,JavaScript
px4,ShadowsocksX-NG,px4/ShadowsocksX-NG,1750,ch,C++
ruflin,ZhihuDailyPurify,ruflin/ZhihuDailyPurify,1722,ch,PHP
Deletescape-Media,lmms,Deletescape-Media/lmms,1720,ch,Java
noelboss,edeliver,noelboss/edeliver,1696,ch,JavaScript
brammool,CoreNLP,brammool/CoreNLP,1684,ch,C
akosma,swift-nio,akosma/swift-nio,1628,ch,Swift
sustrik,tensorflow_cookbook,sustrik/tensorflow_cookbook,1596,ch,C
dokterdok,navigation-stack,dokterdok/navigation-stack,1519,ch,Shell
jaspervdj,python_reference,jaspervdj/python_reference,1516,ch,Haskell
julienr,chronos,julienr/chronos,1509,ch,Jupyter Notebook
pstadler,betty,pstadler/betty,1483,ch,JavaScript
jOOQ,ctci,jOOQ/ctci,1470,ch,Java
nelmio,termtile,nelmio/termtile,1451,ch,PHP
mpospese,KZBootstrap,mpospese/KZBootstrap,1450,ch,Objective-C
danielkummer,bento,danielkummer/bento,1442,ch,HTML
drcmda,pipelinedb,drcmda/pipelinedb,1434,ch,
nightrome,ImageMagick,nightrome/ImageMagick,1432,ch,
rogerdudler,ptf,rogerdudler/ptf,1431,ch,HTML
progschj,idle_master,progschj/idle_master,1378,ch,C++
IDSIA,tron,IDSIA/tron,1362,ch,Python
lucas-clemente,Anypic,lucas-clemente/Anypic,1355,ch,Go
tobie,ExpectAnim,tobie/ExpectAnim,1326,ch,Java
