owner,name,fullName,numberOfStars,country,language
infinitered,ignite,infinitered/ignite,2315,cl,JavaScript
jakarmy,swift-summary,jakarmy/swift-summary,1522,cl,
michelson,Dante,michelson/Dante,1397,cl,HTML
adleroliveira,dreamjs,adleroliveira/dreamjs,1276,cl,JavaScript
platanus,angular-restmod,platanus/angular-restmod,1246,cl,JavaScript
ASKBOT,askbot-devel,ASKBOT/askbot-devel,1171,cl,Python
Narzerus,angular-permission,Narzerus/angular-permission,865,cl,JavaScript
matmartinez,MMNumberKeyboard,matmartinez/MMNumberKeyboard,768,cl,Objective-C
nicolaslopezj,searchable,nicolaslopezj/searchable,712,cl,PHP
coto,gae-boilerplate,coto/gae-boilerplate,697,cl,Python
