owner,name,fullName,numberOfStars,country,language
Trinea,android-open-project,Trinea/android-open-project,17473,cn,
numbbbbb,the-swift-programming-language-in-chinese,numbbbbb/the-swift-programming-language-in-chinese,15750,cn,CSS
caesar0301,awesome-public-datasets,caesar0301/awesome-public-datasets,15381,cn,
astaxie,build-web-application-with-golang,astaxie/build-web-application-with-golang,12225,cn,Go
justjavac,free-programming-books-zh_CN,justjavac/free-programming-books-zh_CN,11102,cn,JavaScript
ipader,SwiftGuide,ipader/SwiftGuide,10416,cn,Swift
fouber,blog,fouber/blog,8943,cn,
CoderMJLee,MJRefresh,CoderMJLee/MJRefresh,8900,cn,Objective-C
astaxie,beego,astaxie/beego,8252,cn,Go
ibireme,YYKit,ibireme/YYKit,7988,cn,Objective-C
allenwong,30DaysofSwift,allenwong/30DaysofSwift,7889,cn,Swift
bilibili,ijkplayer,bilibili/ijkplayer,7154,cn,C
racaljk,hosts,racaljk/hosts,7108,cn,C++
bang590,JSPatch,bang590/JSPatch,7096,cn,Objective-C
kesenhoo,android-training-course-in-chinese,kesenhoo/android-training-course-in-chinese,6997,cn,JavaScript
sorrycc,awesome-javascript,sorrycc/awesome-javascript,6838,cn,
alsotang,node-lessons,alsotang/node-lessons,6359,cn,JavaScript
allmobilize,amazeui,allmobilize/amazeui,6326,cn,CSS
ruanyf,react-demos,ruanyf/react-demos,6312,cn,JavaScript
JacksonTian,fks,JacksonTian/fks,6214,cn,JavaScript
aymericdamien,TensorFlow-Examples,aymericdamien/TensorFlow-Examples,6200,cn,Jupyter Notebook
greatfire,wiki,greatfire/wiki,6153,cn,
daimajia,AndroidSwipeLayout,daimajia/AndroidSwipeLayout,6148,cn,Java
hzlzh,Best-App,hzlzh/Best-App,6023,cn,
CoderMJLee,MJExtension,CoderMJLee/MJExtension,5981,cn,Objective-C
kevinzhow,PNChart,kevinzhow/PNChart,5895,cn,Objective-C
daimajia,AndroidViewAnimations,daimajia/AndroidViewAnimations,5709,cn,Java
julycoding,The-Art-Of-Programming-By-July,julycoding/The-Art-Of-Programming-By-July,5593,cn,C
alibaba,fastjson,alibaba/fastjson,5530,cn,Java
ibireme,YYText,ibireme/YYText,5297,cn,Objective-C
yangyangwithgnu,hardseed,yangyangwithgnu/hardseed,5268,cn,C++
android-cn,android-open-project-analysis,android-cn/android-open-project-analysis,5226,cn,
alibaba,dubbo,alibaba/dubbo,5198,cn,Java
geeeeeeeeek,electronic-wechat,geeeeeeeeek/electronic-wechat,5164,cn,JavaScript
IIssNan,hexo-theme-next,IIssNan/hexo-theme-next,5161,cn,CSS
bboyfeiyu,android-tech-frontier,bboyfeiyu/android-tech-frontier,4969,cn,
alibaba,weex,alibaba/weex,4815,cn,Java
alibaba,tengine,alibaba/tengine,4751,cn,C
lexrus,LTMorphingLabel,lexrus/LTMorphingLabel,4733,cn,Swift
haoel,leetcode,haoel/leetcode,4655,cn,C++
fxsjy,jieba,fxsjy/jieba,4653,cn,Python
ty4z2008,Qix,ty4z2008/Qix,4545,cn,
ele828,react-native-guide,ele828/react-native-guide,4382,cn,
levey,AwesomeMenu,levey/AwesomeMenu,4338,cn,Objective-C
wenzhixin,bootstrap-table,wenzhixin/bootstrap-table,4314,cn,JavaScript
ruanyf,es6tutorial,ruanyf/es6tutorial,4211,cn,JavaScript
huluoyang,freecodecamp.cn,huluoyang/freecodecamp.cn,4197,cn,
ChenYilong,iOSInterviewQuestions,ChenYilong/iOSInterviewQuestions,4106,cn,Objective-C
alibaba,AndFix,alibaba/AndFix,4105,cn,C++
ChenYilong,iOS9AdaptationTips,ChenYilong/iOS9AdaptationTips,4095,cn,Objective-C
