owner,name,fullName,numberOfStars,country,language
driftyco,ionic,driftyco/ionic,24807,co,JavaScript
angular-ui,bootstrap,angular-ui/bootstrap,13276,co,JavaScript
angular-ui,ui-router,angular-ui/ui-router,11786,co,JavaScript
symfony,symfony,symfony/symfony,11443,co,PHP
slackhq,SlackTextViewController,slackhq/SlackTextViewController,6598,co,Objective-C
PHPOffice,PHPExcel,PHPOffice/PHPExcel,6551,co,PHP
driftyco,ionicons,driftyco/ionicons,6246,co,HTML
owncloud,core,owncloud/core,5153,co,PHP
chieffancypants,angular-loading-bar,chieffancypants/angular-loading-bar,3780,co,JavaScript
js-cookie,js-cookie,js-cookie/js-cookie,3672,co,JavaScript
driftyco,ng-cordova,driftyco/ng-cordova,3498,co,JavaScript
angular-ui,ng-grid,angular-ui/ng-grid,2777,co,JavaScript
jruby,jruby,jruby/jruby,2725,co,Ruby
angular-ui,ui-select,angular-ui/ui-select,2632,co,JavaScript
angular-ui,angular-google-maps,angular-ui/angular-google-maps,2506,co,CoffeeScript
luvit,luvit,luvit/luvit,2478,co,Lua
comfy,comfortable-mexican-sofa,comfy/comfortable-mexican-sofa,2014,co,Ruby
videolan,vlc,videolan/vlc,1893,co,C
primus,primus,primus/primus,1844,co,JavaScript
owncloud,android,owncloud/android,1818,co,Java
Poole,poole,Poole/poole,1797,co,CSS
mailpile,Mailpile,mailpile/Mailpile,1784,co,Python
slackhq,hubot-slack,slackhq/hubot-slack,1670,co,CoffeeScript
stephanenicolas,robospice,stephanenicolas/robospice,1637,co,Java
angular-ui,ui-grid,angular-ui/ui-grid,1575,co,JavaScript
Poole,lanyon,Poole/lanyon,1547,co,CSS
symfony,symfony-standard,symfony/symfony-standard,1500,co,PHP
PHPOffice,PHPWord,PHPOffice/PHPWord,1495,co,PHP
processing-js,processing-js,processing-js/processing-js,1482,co,Processing
medcl,elasticsearch-analysis-ik,medcl/elasticsearch-analysis-ik,1467,co,Java
tomasr,molokai,tomasr/molokai,1451,co,VimL
okfn,recline,okfn/recline,1433,co,JavaScript
chieffancypants,angular-hotkeys,chieffancypants/angular-hotkeys,1365,co,JavaScript
symfony,symfony-docs,symfony/symfony-docs,1290,co,C++
Poole,hyde,Poole/hyde,1211,co,CSS
titon,Toolkit,titon/Toolkit,1150,co,JavaScript
tweenjs,tween.js,tweenjs/tween.js,1132,co,JavaScript
angular-ui,ui-calendar,angular-ui/ui-calendar,1068,co,JavaScript
mike-zarandona,PrettyEmbed.js,mike-zarandona/PrettyEmbed.js,1067,co,JavaScript
borismus,webvr-boilerplate,borismus/webvr-boilerplate,1030,co,JavaScript
angular-ui,ui-utils,angular-ui/ui-utils,1005,co,JavaScript
botwillacceptanything,botwillacceptanything,botwillacceptanything/botwillacceptanything,1004,co,JavaScript
a5hik,ng-sortable,a5hik/ng-sortable,971,co,JavaScript
PocketMine,PocketMine-MP,PocketMine/PocketMine-MP,970,co,PHP
medcl,elasticsearch-rtf,medcl/elasticsearch-rtf,955,co,Batchfile
angular-ui,ui-sortable,angular-ui/ui-sortable,933,co,JavaScript
angular-ui,AngularJS-sublime-package,angular-ui/AngularJS-sublime-package,909,co,JavaScript
driftyco,ionic-native,driftyco/ionic-native,876,co,JavaScript
driftyco,ionic-cli,driftyco/ionic-cli,848,co,JavaScript
stephanenicolas,Quality-Tools-for-Android,stephanenicolas/Quality-Tools-for-Android,835,co,Java
commitizen,cz-cli,commitizen/cz-cli,829,co,JavaScript
driftyco,ionic-conference-app,driftyco/ionic-conference-app,808,co,JavaScript
jruby,warbler,jruby/warbler,806,co,Ruby
ptshih,PSCollectionView,ptshih/PSCollectionView,790,co,Objective-C
nabilfreeman,ios-universal-webview-boilerplate,nabilfreeman/ios-universal-webview-boilerplate,782,co,Swift
driftyco,ionic-box,driftyco/ionic-box,744,co,Shell
slackhq,node-slack-client,slackhq/node-slack-client,710,co,JavaScript
mobify,mobifyjs,mobify/mobifyjs,688,co,JavaScript
getbem,getbem.com,getbem/getbem.com,682,co,JavaScript
