owner,name,fullName,numberOfStars,country,language
jnv,lists,jnv/lists,3950,cz,
KeenSoftwareHouse,SpaceEngineers,KeenSoftwareHouse/SpaceEngineers,2290,cz,C#
avast,android-butterknife-zelezny,avast/android-butterknife-zelezny,1707,cz,Java
jankotek,MapDB,jankotek/MapDB,1559,cz,Java
DavidDurman,joint,DavidDurman/joint,1554,cz,JavaScript
Steida,este,Steida/este,1224,cz,JavaScript
mosra,magnum,mosra/magnum,1179,cz,C++
inmite,android-selector-chapek,inmite/android-selector-chapek,1138,cz,Java
madebysource,pho-devstack,madebysource/pho-devstack,1052,cz,JavaScript
madebysource,lesshat,madebysource/lesshat,965,cz,CSS
romanbican,roles,romanbican/roles,907,cz,PHP
avast,android-styled-dialogs,avast/android-styled-dialogs,876,cz,Java
JiriTrecak,Laurine,JiriTrecak/Laurine,861,cz,Swift
kobalicek,asmjit,kobalicek/asmjit,795,cz,C++
jakubgarfield,Bonobo-Git-Server,jakubgarfield/Bonobo-Git-Server,790,cz,C#
petrnohejl,Android-Templates-And-Utilities,petrnohejl/Android-Templates-And-Utilities,770,cz,Java
david-sabata,web-scrobbler,david-sabata/web-scrobbler,739,cz,JavaScript
QupZilla,qupzilla,QupZilla/qupzilla,698,cz,C++
zk00006,OpenTLD,zk00006/OpenTLD,689,cz,Matlab
