owner,name,fullName,numberOfStars,country,language
blueimp,jQuery-File-Upload,blueimp/jQuery-File-Upload,26763,de,JavaScript
dypsilon,frontend-dev-bookmarks,dypsilon/frontend-dev-bookmarks,20032,de,
greenrobot,EventBus,greenrobot/EventBus,10087,de,Java
Prinzhorn,skrollr,Prinzhorn/skrollr,9610,de,HTML
herrbischoff,awesome-osx-command-line,herrbischoff/awesome-osx-command-line,9213,de,
akullpp,awesome-java,akullpp/awesome-java,8881,de,
carhartl,jquery-cookie,carhartl/jquery-cookie,8596,de,JavaScript
janl,mustache.js,janl/mustache.js,8226,de,JavaScript
moklick,frontend-stuff,moklick/frontend-stuff,7313,de,
fgnass,spin.js,fgnass/spin.js,6837,de,JavaScript
sbstjn,timesheet.js,sbstjn/timesheet.js,6018,de,JavaScript
android10,Android-CleanArchitecture,android10/Android-CleanArchitecture,5972,de,Java
prometheus,prometheus,prometheus/prometheus,5939,de,Go
winterbe,java8-tutorial,winterbe/java8-tutorial,5833,de,Java
sebastianbergmann,phpunit,sebastianbergmann/phpunit,5711,de,PHP
aFarkas,html5shiv,aFarkas/html5shiv,5594,de,JavaScript
felixge,node-mysql,felixge/node-mysql,5544,de,JavaScript
twostairs,paperwork,twostairs/paperwork,5412,de,PHP
jzaefferer,jquery-validation,jzaefferer/jquery-validation,5234,de,JavaScript
mhinz,vim-galore,mhinz/vim-galore,5161,de,VimL
travis-ci,travis-ci,travis-ci/travis-ci,4911,de,
aFarkas,lazysizes,aFarkas/lazysizes,4905,de,HTML
schneiderandre,popping,schneiderandre/popping,4859,de,Objective-C
h4cc,awesome-elixir,h4cc/awesome-elixir,4704,de,Elixir
robb,Cartography,robb/Cartography,4652,de,Swift
vurtun,nuklear,vurtun/nuklear,4606,de,C++
greenrobot,greenDAO,greenrobot/greenDAO,4600,de,Java
hdodenhof,CircleImageView,hdodenhof/CircleImageView,4558,de,Java
autumnai,leaf,autumnai/leaf,4531,de,Rust
orhanobut,logger,orhanobut/logger,4447,de,Java
bjorn,tiled,bjorn/tiled,4282,de,C++
n1trux,awesome-sysadmin,n1trux/awesome-sysadmin,4140,de,
brillout,awesome-react-components,brillout/awesome-react-components,3733,de,
onurakpolat,awesome-bigdata,onurakpolat/awesome-bigdata,3624,de,
JulienSchmidt,httprouter,JulienSchmidt/httprouter,3559,de,Go
mongoid,mongoid,mongoid/mongoid,3427,de,Ruby
andreis,interview,andreis/interview,3380,de,
nlohmann,json,nlohmann/json,3318,de,C++
ManuelKiessling,nodebeginner.org,ManuelKiessling/nodebeginner.org,3247,de,HTML
svenfuchs,rails-i18n,svenfuchs/rails-i18n,2962,de,Ruby
JStumpp,awesome-android,JStumpp/awesome-android,2891,de,
futuretap,InAppSettingsKit,futuretap/InAppSettingsKit,2889,de,Objective-C
colszowka,simplecov,colszowka/simplecov,2887,de,Ruby
typhoeus,typhoeus,typhoeus/typhoeus,2883,de,Ruby
kud1ing,awesome-rust,kud1ing/awesome-rust,2852,de,
openhab,openhab,openhab/openhab,2852,de,Java
tgalal,yowsup,tgalal/yowsup,2851,de,Python
tsenart,vegeta,tsenart/vegeta,2813,de,Go
jdamcd,android-crop,jdamcd/android-crop,2785,de,Java
felixge,node-style-guide,felixge/node-style-guide,2684,de,JavaScript
wbkd,awesome-d3,wbkd/awesome-d3,2663,de,
bergie,create,bergie/create,2619,de,JavaScript
bergie,hallo,bergie/hallo,2619,de,JavaScript
orhanobut,dialogplus,orhanobut/dialogplus,2553,de,Java
medialize,URI.js,medialize/URI.js,2524,de,JavaScript
SirVer,ultisnips,SirVer/ultisnips,2509,de,Python
rse,es6-features,rse/es6-features,2344,de,HTML
bitstadium,HockeyKit,bitstadium/HockeyKit,2276,de,Objective-C
blueimp,Bootstrap-Image-Gallery,blueimp/Bootstrap-Image-Gallery,2251,de,HTML
s-a,iron-node,s-a/iron-node,2207,de,JavaScript
sockeqwe,mosby,sockeqwe/mosby,2181,de,Java
visit1985,mdp,visit1985/mdp,2171,de,C
electerious,Lychee,electerious/Lychee,2140,de,PHP
xat,castnow,xat/castnow,2135,de,JavaScript
semu,timesheet.js,semu/timesheet.js,2117,de,
qvacua,vimr,qvacua/vimr,2074,de,Objective-C
lukas2511,letsencrypt.sh,lukas2511/letsencrypt.sh,2072,de,Shell
magicmonty,bash-git-prompt,magicmonty/bash-git-prompt,2057,de,Shell
robb,hamburger-button,robb/hamburger-button,2022,de,Swift
robmorgan,phinx,robmorgan/phinx,2000,de,PHP
dasdom,BreakOutToRefresh,dasdom/BreakOutToRefresh,1976,de,Swift
mstarke,MacPass,mstarke/MacPass,1967,de,Objective-C
HugoGiraudel,SJSJ,HugoGiraudel/SJSJ,1938,de,JavaScript
Graylog2,graylog2-server,Graylog2/graylog2-server,1929,de,Java
Epix37,Hearthstone-Deck-Tracker,Epix37/Hearthstone-Deck-Tracker,1923,de,C#
dennisreimann,ioctocat,dennisreimann/ioctocat,1900,de,Objective-C
dcodeIO,ProtoBuf.js,dcodeIO/ProtoBuf.js,1859,de,JavaScript
pkluz,PKRevealController,pkluz/PKRevealController,1845,de,Objective-C
kikoso,android-stackblur,kikoso/android-stackblur,1840,de,Java
tomknig,TOMSMorphingLabel,tomknig/TOMSMorphingLabel,1824,de,Objective-C
spadgos,sublime-jsdocs,spadgos/sublime-jsdocs,1814,de,Python
felixge,node-formidable,felixge/node-formidable,1803,de,JavaScript
ory-am,hydra,ory-am/hydra,1799,de,Go
troessner,reek,troessner/reek,1799,de,Ruby
omz,AppSales-Mobile,omz/AppSales-Mobile,1751,de,Objective-C
siacs,Conversations,siacs/Conversations,1747,de,Java
omz,ColorSense-for-Xcode,omz/ColorSense-for-Xcode,1746,de,Objective-C
nikic,PHP-Parser,nikic/PHP-Parser,1711,de,PHP
orhanobut,hawk,orhanobut/hawk,1705,de,Java
NecronomiconCoding,NecroBot,NecronomiconCoding/NecroBot,1682,de,C#
splitbrain,dokuwiki,splitbrain/dokuwiki,1669,de,PHP
bitstadium,QuincyKit,bitstadium/QuincyKit,1657,de,Objective-C
Leonidas-from-XIV,node-xml2js,Leonidas-from-XIV/node-xml2js,1657,de,CoffeeScript
pkluz,PKHUD,pkluz/PKHUD,1644,de,Swift
davidstutz,bootstrap-multiselect,davidstutz/bootstrap-multiselect,1641,de,HTML
blueimp,JavaScript-Load-Image,blueimp/JavaScript-Load-Image,1626,de,JavaScript
Dynalon,mdwiki,Dynalon/mdwiki,1623,de,JavaScript
JonasGessner,JGProgressHUD,JonasGessner/JGProgressHUD,1611,de,Objective-C
aheinze,cockpit,aheinze/cockpit,1605,de,PHP
lrsjng,h5ai,lrsjng/h5ai,1604,de,JavaScript
brennerm,PyTricks,brennerm/PyTricks,1595,de,Python
nikic,FastRoute,nikic/FastRoute,1590,de,PHP
SaschaWillems,Vulkan,SaschaWillems/Vulkan,1584,de,C++
kraih,mojo,kraih/mojo,1538,de,Perl
