owner,name,fullName,numberOfStars,country,language
soimort,you-get,soimort/you-get,7304,dk,Python
daviferreira,medium-editor,daviferreira/medium-editor,5334,dk,JavaScript
larsenwork,monoid,larsenwork/monoid,3789,dk,Python
duemunk,Async,duemunk/Async,3568,dk,Swift
bliker,cmder,bliker/cmder,3503,dk,PowerShell
mafintosh,peerflix,mafintosh/peerflix,3086,dk,JavaScript
Lipis,flag-icon-css,Lipis/flag-icon-css,2548,dk,HTML
Bukkit,Bukkit,Bukkit/Bukkit,2095,dk,Java
luis-almeida,unveil,luis-almeida/unveil,1975,dk,JavaScript
23,resumable.js,23/resumable.js,1926,dk,JavaScript
Lipis,bootstrap-social,Lipis/bootstrap-social,1801,dk,HTML
Lipis,bootstrap-sweetalert,Lipis/bootstrap-sweetalert,1568,dk,JavaScript
jokkedk,webgrind,jokkedk/webgrind,1486,dk,Python
bramstein,fontfaceobserver,bramstein/fontfaceobserver,1478,dk,JavaScript
mafintosh,playback,mafintosh/playback,1383,dk,JavaScript
sqren,fb-sleep-stats,sqren/fb-sleep-stats,1337,dk,JavaScript
SimonVT,android-menudrawer,SimonVT/android-menudrawer,1243,dk,Java
soimort,translate-shell,soimort/translate-shell,1190,dk,Awk
KomarSerjio,notejam,KomarSerjio/notejam,1169,dk,PHP
mafintosh,chromecasts,mafintosh/chromecasts,1159,dk,JavaScript
JamieAppleseed,selectToAutocomplete,JamieAppleseed/selectToAutocomplete,1140,dk,JavaScript
terrymun,Fluidbox,terrymun/Fluidbox,1129,dk,HTML
paldepind,snabbdom,paldepind/snabbdom,1105,dk,JavaScript
mafintosh,torrent-stream,mafintosh/torrent-stream,1053,dk,JavaScript
rasmusth,BluetoothKit,rasmusth/BluetoothKit,1041,dk,Swift
umbraco,Umbraco-CMS,umbraco/Umbraco-CMS,999,dk,C#
terkelg,ramme,terkelg/ramme,951,dk,
mafintosh,torrent-mount,mafintosh/torrent-mount,947,dk,JavaScript
keleshev,schema,keleshev/schema,921,dk,Python
ashleydw,lightbox,ashleydw/lightbox,904,dk,JavaScript
larsenwork,Gidole,larsenwork/Gidole,894,dk,Shell
paldepind,flyd,paldepind/flyd,866,dk,JavaScript
thomasahle,sunfish,thomasahle/sunfish,857,dk,Python
SimonVT,schematic,SimonVT/schematic,776,dk,Java
mafintosh,mongojs,mafintosh/mongojs,735,dk,JavaScript
andsens,homeshick,andsens/homeshick,701,dk,Shell
