owner,name,fullName,numberOfStars,country,language
Atom,clippy.js,Atom/clippy.js,46772,eg,CoffeeScript
Atom,casperjs,Atom/casperjs,20115,eg,C++
Atom,trianglify,Atom/trianglify,6141,eg,Rust
Atom,charisma,Atom/charisma,5684,eg,C++
jupyter,concurrentqueue,jupyter/concurrentqueue,4411,eg,Python
WhitestormJS,msysgit,WhitestormJS/msysgit,4058,eg,JavaScript
jupyter,zombie,jupyter/zombie,3904,eg,JavaScript
keepassxreboot,listen1,keepassxreboot/listen1,3479,eg,C++
jupyter,goldendict,jupyter/goldendict,2681,eg,Makefile
MovingBlocks,awesome-blockchains,MovingBlocks/awesome-blockchains,2633,eg,Java
baianat,vue-ydui,baianat/vue-ydui,2337,eg,JavaScript
aboul3la,sqlmap,aboul3la/sqlmap,2099,eg,Python
qgis,opencart,qgis/opencart,1950,eg,C++
Atom,CN-Chrome-DevTools,Atom/CN-Chrome-DevTools,1950,eg,JavaScript
LoGAReTM,swagger-codegen,LoGAReTM/swagger-codegen,1896,eg,JavaScript
Atom,circle-menu,Atom/circle-menu,1589,eg,CoffeeScript
openaddresses,belle,openaddresses/belle,1543,eg,JavaScript
jitsi,oauth2orize,jitsi/oauth2orize,1506,eg,Java
tarek360,Bootstrap-3-Typeahead,tarek360/Bootstrap-3-Typeahead,1407,eg,Java
AhmadElsagheer,NASA-3D-Resources,AhmadElsagheer/NASA-3D-Resources,1360,eg,
