owner,name,fullName,numberOfStars,country,language
kahun,320andup,kahun/320andup,16951,es,
erikras,awesome-ios-animation,erikras/awesome-ios-animation,11647,es,JavaScript
erikras,awesome-ios-ui,erikras/awesome-ios-ui,9516,es,JavaScript
navasmdc,Remodal,navasmdc/Remodal,9153,es,Java
markets,spock,markets/spock,8722,es,
react-toolbox,pretty-algorithms,react-toolbox/pretty-algorithms,8089,es,JavaScript
Nyr,browser-laptop,Nyr/browser-laptop,6566,es,Shell
squeaky-pl,gmvault,squeaky-pl/gmvault,5716,es,C
pedrovgs,mdwiki,pedrovgs/mdwiki,5621,es,Java
erikras,PHPWord,erikras/PHPWord,5351,es,
antoniolg,erpnext,antoniolg/erpnext,5289,es,Java
mezod,fontforge,mezod/fontforge,4489,es,
Juanpe,annotator,Juanpe/annotator,4195,es,Swift
GrenderG,editor,GrenderG/editor,4135,es,
icanzilb,DotNetOpenAuth,icanzilb/DotNetOpenAuth,4124,es,Objective-C
pedrovgs,git-quick-stats,pedrovgs/git-quick-stats,3739,es,Java
ngosang,react-scroll,ngosang/react-scroll,3557,es,
John-Lluch,yhosts,John-Lluch/yhosts,3552,es,Objective-C
vmg,dokku,vmg/dokku,3542,es,C
jlantunez,kea,jlantunez/kea,3397,es,
gchaincl,regulex,gchaincl/regulex,3090,es,Go
MiguelCatalan,PyTricks,MiguelCatalan/PyTricks,3045,es,Java
carloscuesta,openmct,carloscuesta/openmct,3039,es,
Karumi,_s,Karumi/_s,2950,es,Java
egulias,goleveldb,egulias/goleveldb,2782,es,PHP
pedrovgs,rtop,pedrovgs/rtop,2777,es,Java
mgp25,dagger,mgp25/dagger,2689,es,PHP
jonan,Email-Blueprints,jonan/Email-Blueprints,2668,es,JavaScript
yagop,Sortable,yagop/Sortable,2658,es,JavaScript
saulmm,papers,saulmm/papers,2658,es,Java
icanzilb,turf,icanzilb/turf,2648,es,Swift
saulmm,nova,saulmm/nova,2617,es,Java
gimenete,php-pm,gimenete/php-pm,2608,es,Objective-C
mgp25,bosh,mgp25/bosh,2597,es,PHP
maraujop,supercollider,maraujop/supercollider,2563,es,Python
src-d,awesome-android-performance,src-d/awesome-android-performance,2504,es,Go
pedrovgs,computer-science,pedrovgs/computer-science,2403,es,Java
Ereza,om,Ereza/om,2324,es,Java
bigardone,btcd,bigardone/btcd,2243,es,JavaScript
glomadrian,pics,glomadrian/pics,2218,es,Java
lmenezes,csv,lmenezes/csv,2201,es,JavaScript
picnicss,spark-cassandra-connector,picnicss/spark-cassandra-connector,2189,es,HTML
jagenjo,ievms,jagenjo/ievms,2123,es,JavaScript
YabataDesign,cas,YabataDesign/cas,2121,es,JavaScript
deivid-rodriguez,gitea,deivid-rodriguez/gitea,2109,es,Ruby
brunophilipe,sru,brunophilipe/sru,2099,es,Objective-C
scambra,dog-fucked-zhihu,scambra/dog-fucked-zhihu,2093,es,Ruby
ManuelPeinado,deep-residual-networks,ManuelPeinado/deep-residual-networks,2057,es,Java
javiereguiluz,grr,javiereguiluz/grr,2014,es,PHP
angelolloqui,debug,angelolloqui/debug,1974,es,
Karumi,znc,Karumi/znc,1930,es,Java
saulmm,react-native-material-design,saulmm/react-native-material-design,1867,es,Java
src-d,SublimeCodeIntel,src-d/SublimeCodeIntel,1866,es,
VictorAlbertos,glog,VictorAlbertos/glog,1832,es,Java
JorgeCastilloPrz,marko,JorgeCastilloPrz/marko,1799,es,Java
icanzilb,Cards,icanzilb/Cards,1760,es,Swift
poolqf,janus-gateway,poolqf/janus-gateway,1757,es,Swift
ngryman,connect-redis,ngryman/connect-redis,1713,es,
TapQuo,supertest,TapQuo/supertest,1713,es,CSS
dexafree,insomnia,dexafree/insomnia,1711,es,Java
torodb,shepherd,torodb/shepherd,1686,es,Java
APSL,node-glob,APSL/node-glob,1671,es,JavaScript
tombatossals,bad-data-guide,tombatossals/bad-data-guide,1619,es,JavaScript
antoniolg,react-refetch,antoniolg/react-refetch,1610,es,Kotlin
fasouto,prefixfree,fasouto/prefixfree,1607,es,
etrepat,engine,etrepat/engine,1606,es,PHP
fdzsergio,Snap.js,fdzsergio/Snap.js,1530,es,Swift
acacha,git-it-electron,acacha/git-it-electron,1526,es,JavaScript
LionSec,ScreenCat,LionSec/ScreenCat,1523,es,Python
antoniolg,wangle,antoniolg/wangle,1501,es,Kotlin
pilu,TypeScript-Node-Starter,pilu/TypeScript-Node-Starter,1497,es,Go
robotmedia,pev,robotmedia/pev,1482,es,C
ansistrano,firepad,ansistrano/firepad,1477,es,HTML
vmg,MaterialColorsApp,vmg/MaterialColorsApp,1477,es,C
lmenezes,Stringy,lmenezes/Stringy,1460,es,
antoniolg,fluentmigrator,antoniolg/fluentmigrator,1406,es,Java
damianavila,huey,damianavila/huey,1400,es,JavaScript
ConsoleTVs,workerize,ConsoleTVs/workerize,1399,es,
inorichi,node-memwatch,inorichi/node-memwatch,1373,es,Java
Foxandxss,mysql_perf_analyzer,Foxandxss/mysql_perf_analyzer,1365,es,JavaScript
twicketapp,webdis,twicketapp/webdis,1337,es,Swift
