owner,name,fullName,numberOfStars,country,language
iluwatar,artTemplate,iluwatar/artTemplate,31724,fi,Java
petkaantonov,castnow,petkaantonov/castnow,15113,fi,JavaScript
roughike,DisplaySwitcher,roughike/DisplaySwitcher,8152,fi,Java
pakastin,infer,pakastin/infer,7232,fi,
haltu,goflyway,haltu/goflyway,6777,fi,JavaScript
kimmobrunfeldt,underscore.string,kimmobrunfeldt/underscore.string,5940,fi,JavaScript
lhartikk,pencil,lhartikk/pencil,4172,fi,
lhartikk,Vue-cnodejs,lhartikk/Vue-cnodejs,4013,fi,Scala
epeli,vue-select,epeli/vue-select,3474,fi,JavaScript
fastmonkeys,ionic,fastmonkeys/ionic,3396,fi,Python
orfjackal,galen,orfjackal/galen,3352,fi,Java
i-tu,autoprefixer,i-tu/autoprefixer,3169,fi,Python
pojala,AdminBSBMaterialDesign,pojala/AdminBSBMaterialDesign,3130,fi,
pixelsign,proposals,pixelsign/proposals,3049,fi,HTML
STALTZ,fluentd,STALTZ/fluentd,2922,fi,JavaScript
viljamis,xbmc,viljamis/xbmc,2517,fi,JavaScript
memononen,gonum,memononen/gonum,2360,fi,C
pakastin,PyBitmessage,pakastin/PyBitmessage,2337,fi,JavaScript
tapio,regexper-static,tapio/regexper-static,2083,fi,JavaScript
jareware,Lightweight-Stream-API,jareware/Lightweight-Stream-API,2050,fi,
jquerytools,js,jquerytools/js,1960,fi,JavaScript
laurilehmijoki,magic,laurilehmijoki/magic,1808,fi,Scala
viljamis,vapor,viljamis/vapor,1801,fi,JavaScript
STALTZ,audacity,STALTZ/audacity,1719,fi,JavaScript
kimmobrunfeldt,git-standup,kimmobrunfeldt/git-standup,1690,fi,JavaScript
STALTZ,directus,STALTZ/directus,1529,fi,
flowplayer,swagger-editor,flowplayer/swagger-editor,1527,fi,JavaScript
jussi-kalliokoski,noti,jussi-kalliokoski/noti,1486,fi,JavaScript
vitorfs,predawn,vitorfs/predawn,1466,fi,JavaScript
anttiviljami,distillery,anttiviljami/distillery,1454,fi,
sharetribe,workshop,sharetribe/workshop,1435,fi,Ruby
STALTZ,antimony,STALTZ/antimony,1410,fi,JavaScript
jaukia,HLearn,jaukia/HLearn,1352,fi,JavaScript
