owner,name,fullName,numberOfStars,country,language
juliangarnier,anime,juliangarnier/anime,7977,fr,JavaScript
fzaninotto,Faker,fzaninotto/Faker,6921,fr,PHP
VincentGarreau,particles.js,VincentGarreau/particles.js,6835,fr,JavaScript
jordansissel,fpm,jordansissel/fpm,6570,fr,Ruby
n1k0,casperjs,n1k0/casperjs,5348,fr,JavaScript
aterrien,jQuery-Knob,aterrien/jQuery-Knob,5321,fr,JavaScript
florent37,MaterialViewPager,florent37/MaterialViewPager,5118,fr,Java
mgcrea,angular-strap,mgcrea/angular-strap,5041,fr,JavaScript
nicolargo,glances,nicolargo/glances,4699,fr,Python
ocornut,imgui,ocornut/imgui,4625,fr,C++
jacomyal,sigma.js,jacomyal/sigma.js,4233,fr,JavaScript
Swiip,generator-gulp-angular,Swiip/generator-gulp-angular,3851,fr,JavaScript
erikflowers,weather-icons,erikflowers/weather-icons,3611,fr,CSS
traex,RippleEffect,traex/RippleEffect,3579,fr,Java
ninenines,cowboy,ninenines/cowboy,3497,fr,Erlang
benoitc,gunicorn,benoitc/gunicorn,3466,fr,Python
louischatriot,nedb,louischatriot/nedb,3433,fr,JavaScript
JuanitoFatas,fast-ruby,JuanitoFatas/fast-ruby,3271,fr,Ruby
shipitjs,shipit,shipitjs/shipit,3264,fr,JavaScript
txthinking,google-hosts,txthinking/google-hosts,3051,fr,Shell
vvo,gifify,vvo/gifify,3035,fr,JavaScript
containous,traefik,containous/traefik,2929,fr,Go
Zhouzi,TheaterJS,Zhouzi/TheaterJS,2915,fr,JavaScript
nojhan,liquidprompt,nojhan/liquidprompt,2789,fr,Shell
Gwendall,way.js,Gwendall/way.js,2757,fr,JavaScript
guillaumepotier,Parsley.js,guillaumepotier/Parsley.js,2725,fr,JavaScript
cjdelisle,cjdns,cjdelisle/cjdns,2655,fr,Assembly
castorflex,SmoothProgressBar,castorflex/SmoothProgressBar,2601,fr,Java
HubPress,hubpress.io,HubPress/hubpress.io,2584,fr,CSS
jfrazelle,dockerfiles,jfrazelle/dockerfiles,2573,fr,Shell
fpillet,NSLogger,fpillet/NSLogger,2550,fr,Objective-C
happypoulp,redux-tutorial,happypoulp/redux-tutorial,2522,fr,JavaScript
Xfennec,cv,Xfennec/cv,2493,fr,C
steeve,france.code-civil,steeve/france.code-civil,2465,fr,
mledoze,countries,mledoze/countries,2385,fr,PHP
AliSoftware,SwiftGen,AliSoftware/SwiftGen,2346,fr,Swift
jedisct1,libsodium,jedisct1/libsodium,2327,fr,C
locomotivecms,engine,locomotivecms/engine,2322,fr,Ruby
gentilkiwi,mimikatz,gentilkiwi/mimikatz,2302,fr,C
JoanZapata,android-iconify,JoanZapata/android-iconify,2301,fr,Java
LaurentGomila,SFML,LaurentGomila/SFML,2250,fr,C++
ephread,Instructions,ephread/Instructions,2193,fr,Swift
Yomguithereal,baobab,Yomguithereal/baobab,2170,fr,JavaScript
