owner,name,fullName,numberOfStars,country,language
mrdoob,three.js,mrdoob/three.js,28999,gb,JavaScript
caolan,async,caolan/async,19548,gb,JavaScript
Automattic,socket.io,Automattic/socket.io,18609,gb,JavaScript
bayandin,awesome-awesomeness,bayandin/awesome-awesomeness,16963,gb,
tiimgreen,github-cheat-sheet,tiimgreen/github-cheat-sheet,15205,gb,
ripienaar,free-for-dev,ripienaar/free-for-dev,13617,gb,
photonstorm,phaser,photonstorm/phaser,13522,gb,JavaScript
alvarotrigo,fullPage.js,alvarotrigo/fullPage.js,12536,gb,JavaScript
nnnick,Chart.js,nnnick/Chart.js,11761,gb,JavaScript
TryGhost,Ghost,TryGhost/Ghost,11382,gb,JavaScript
Kickball,awesome-selfhosted,Kickball/awesome-selfhosted,11126,gb,
addyosmani,backbone-fundamentals,addyosmani/backbone-fundamentals,10850,gb,JavaScript
chriskempson,tomorrow-theme,chriskempson/tomorrow-theme,10780,gb,CSS
IanLunn,Hover,IanLunn/Hover,10630,gb,CSS
toddmotto,public-apis,toddmotto/public-apis,9436,gb,
reactjs,redux,reactjs/redux,9112,gb,JavaScript
zxing,zxing,zxing/zxing,8928,gb,Java
ftlabs,fastclick,ftlabs/fastclick,8138,gb,JavaScript
scrooloose,syntastic,scrooloose/syntastic,7482,gb,VimL
binux,pyspider,binux/pyspider,7284,gb,Python
Automattic,_s,Automattic/_s,7141,gb,CSS
nicklockwood,iCarousel,nicklockwood/iCarousel,7007,gb,Objective-C
remy,nodemon,remy/nodemon,6497,gb,JavaScript
lgvalle,Material-Animations,lgvalle/Material-Animations,6483,gb,Java
nickbutcher,plaid,nickbutcher/plaid,6380,gb,Java
maxwellito,vivus,maxwellito/vivus,6347,gb,JavaScript
jaywcjlove,awesome-mac,jaywcjlove/awesome-mac,6272,gb,
Automattic,wp-calypso,Automattic/wp-calypso,6222,gb,JavaScript
tomchristie,django-rest-framework,tomchristie/django-rest-framework,6145,gb,Python
piwik,piwik,piwik/piwik,6108,gb,PHP
ether,etherpad-lite,ether/etherpad-lite,5924,gb,JavaScript
chrisbanes,cheesesquare,chrisbanes/cheesesquare,5820,gb,Java
pokeb,asi-http-request,pokeb/asi-http-request,5626,gb,Objective-C
torch,torch7,torch/torch7,5361,gb,C
gaearon,redux-devtools,gaearon/redux-devtools,5361,gb,JavaScript
gaearon,react-hot-loader,gaearon/react-hot-loader,5270,gb,JavaScript
evilstreak,markdown-js,evilstreak/markdown-js,5259,gb,JavaScript
reactjs,react-router,reactjs/react-router,5088,gb,JavaScript
neutraltone,Awesome-Stock-Resources,neutraltone/Awesome-Stock-Resources,5082,gb,
mwaterfall,MWPhotoBrowser,mwaterfall/MWPhotoBrowser,5036,gb,Objective-C
WickyNilliams,headroom.js,WickyNilliams/headroom.js,5036,gb,JavaScript
componentjs,component,componentjs/component,4876,gb,JavaScript
Gazler,githug,Gazler/githug,4856,gb,Shell
MrRio,jsPDF,MrRio/jsPDF,4716,gb,JavaScript
csswizardry,inuit.css,csswizardry/inuit.css,4525,gb,CSS
santinic,how2,santinic/how2,4513,gb,JavaScript
jhipster,generator-jhipster,jhipster/generator-jhipster,4503,gb,JavaScript
wagerfield,parallax,wagerfield/parallax,4482,gb,JavaScript
scrooloose,nerdtree,scrooloose/nerdtree,4423,gb,VimL
timjacobi,angular2-education,timjacobi/angular2-education,4401,gb,
BrowserSync,browser-sync,BrowserSync/browser-sync,4354,gb,JavaScript
yabwe,medium-editor,yabwe/medium-editor,4167,gb,JavaScript
chrisjenx,Calligraphy,chrisjenx/Calligraphy,4145,gb,Java
hbons,SparkleShare,hbons/SparkleShare,4143,gb,C#
isohuntto,openbay,isohuntto/openbay,4119,gb,PHP
GoodBoyDigital,pixi.js,GoodBoyDigital/pixi.js,4092,gb,JavaScript
Automattic,mongoose,Automattic/mongoose,4056,gb,JavaScript
DataTables,DataTables,DataTables/DataTables,4050,gb,JavaScript
appium,appium,appium/appium,4006,gb,JavaScript
socketstream,socketstream,socketstream/socketstream,3857,gb,JavaScript
lucasr,twoway-view,lucasr/twoway-view,3849,gb,Java
daylerees,colour-schemes,daylerees/colour-schemes,3829,gb,CSS
remy,html5demos,remy/html5demos,3716,gb,HTML
p8952,bocker,p8952/bocker,3699,gb,Shell
gaearon,react-dnd,gaearon/react-dnd,3696,gb,JavaScript
thinkaurelius,titan,thinkaurelius/titan,3692,gb,Java
lovell,sharp,lovell/sharp,3617,gb,JavaScript
gaearon,redux,gaearon/redux,3587,gb,JavaScript
stig,json-framework,stig/json-framework,3573,gb,Objective-C
flatiron,director,flatiron/director,3535,gb,JavaScript
addyosmani,critical,addyosmani/critical,3529,gb,JavaScript
ncw,rclone,ncw/rclone,3498,gb,Go
MrSwitch,hello.js,MrSwitch/hello.js,3497,gb,JavaScript
duojs,duo,duojs/duo,3474,gb,JavaScript
Automattic,node-canvas,Automattic/node-canvas,3456,gb,C++
happyworm,jPlayer,happyworm/jPlayer,3430,gb,JavaScript
gaearon,react-transform-boilerplate,gaearon/react-transform-boilerplate,3429,gb,JavaScript
dbushell,Pikaday,dbushell/Pikaday,3330,gb,JavaScript
lukehaas,css-loaders,lukehaas/css-loaders,3329,gb,CSS
go-lang-plugin-org,go-lang-idea-plugin,go-lang-plugin-org/go-lang-idea-plugin,3317,gb,Java
reactjs,react-rails,reactjs/react-rails,3304,gb,JavaScript
raspberrypi,linux,raspberrypi/linux,3302,gb,C
chiraggude,awesome-laravel,chiraggude/awesome-laravel,3278,gb,
toddmotto,angularjs-styleguide,toddmotto/angularjs-styleguide,3266,gb,
liabru,matter-js,liabru/matter-js,3236,gb,JavaScript
sjwhitworth,golearn,sjwhitworth/golearn,3185,gb,Go
chriskempson,base16,chriskempson/base16,3183,gb,HTML
gaearon,normalizr,gaearon/normalizr,3173,gb,JavaScript
anchorcms,anchor-cms,anchorcms/anchor-cms,3168,gb,PHP
emilsjolander,StickyListHeaders,emilsjolander/StickyListHeaders,3157,gb,Java
jgilfelt,SystemBarTint,jgilfelt/SystemBarTint,3109,gb,Java
benpickles,peity,benpickles/peity,3067,gb,HTML
thephpleague,omnipay,thephpleague/omnipay,3056,gb,
Bearded-Hen,Android-Bootstrap,Bearded-Hen/Android-Bootstrap,3047,gb,Java
Automattic,socket.io-client,Automattic/socket.io-client,3018,gb,JavaScript
danielquinn,paperless,danielquinn/paperless,3015,gb,Python
openexchangerates,accounting.js,openexchangerates/accounting.js,3000,gb,JavaScript
guardian,frontend,guardian/frontend,2990,gb,HTML
zettio,weave,zettio/weave,2987,gb,Go
amlcurran,ShowcaseView,amlcurran/ShowcaseView,2974,gb,Java
codemix,fast.js,codemix/fast.js,2968,gb,JavaScript
nicklockwood,FXBlurView,nicklockwood/FXBlurView,2959,gb,Objective-C
gaearon,react-hot-boilerplate,gaearon/react-hot-boilerplate,2957,gb,JavaScript
trueadm,inferno,trueadm/inferno,2956,gb,JavaScript
s16h,py-must-watch,s16h/py-must-watch,2955,gb,HTML
nicklockwood,iRate,nicklockwood/iRate,2945,gb,Objective-C
jhollingworth,bootstrap-wysihtml5,jhollingworth/bootstrap-wysihtml5,2945,gb,JavaScript
philsquared,Catch,philsquared/Catch,2923,gb,C++
gaearon,redux-thunk,gaearon/redux-thunk,2876,gb,JavaScript
rubinius,rubinius,rubinius/rubinius,2857,gb,Ruby
Atmosphere,atmosphere,Atmosphere/atmosphere,2856,gb,Java
nomad,shenzhen,nomad/shenzhen,2842,gb,Ruby
winstonjs,winston,winstonjs/winston,2842,gb,JavaScript
matthew-andrews,isomorphic-fetch,matthew-andrews/isomorphic-fetch,2833,gb,JavaScript
reactjs,react-tutorial,reactjs/react-tutorial,2727,gb,JavaScript
ashleymills,Reachability.swift,ashleymills/Reachability.swift,2721,gb,Swift
addyosmani,es6-tools,addyosmani/es6-tools,2703,gb,
torchbox,wagtail,torchbox/wagtail,2608,gb,Python
alvarotrigo,pagePiling.js,alvarotrigo/pagePiling.js,2549,gb,JavaScript
snowplow,snowplow,snowplow/snowplow,2545,gb,Scala
Huddle,PhantomCSS,Huddle/PhantomCSS,2522,gb,JavaScript
gajus,react-css-modules,gajus/react-css-modules,2517,gb,JavaScript
mrdoob,stats.js,mrdoob/stats.js,2480,gb,HTML
phpbrew,phpbrew,phpbrew/phpbrew,2478,gb,PHP
ColinEberhardt,VCTransitionsLibrary,ColinEberhardt/VCTransitionsLibrary,2468,gb,Objective-C
tymondesigns,jwt-auth,tymondesigns/jwt-auth,2459,gb,PHP
IanLunn,Sequence,IanLunn/Sequence,2456,gb,JavaScript
mnielsen,neural-networks-and-deep-learning,mnielsen/neural-networks-and-deep-learning,2455,gb,Python
ClusterHQ,flocker,ClusterHQ/flocker,2454,gb,Python
weavejester,compojure,weavejester/compojure,2445,gb,Clojure
GetmeUK,ContentTools,GetmeUK/ContentTools,2438,gb,JavaScript
ivacf,archi,ivacf/archi,2422,gb,Java
michaeldfallen,git-radar,michaeldfallen/git-radar,2385,gb,Shell
reactjs,react-redux,reactjs/react-redux,2381,gb,JavaScript
powmedia,backbone-forms,powmedia/backbone-forms,2344,gb,JavaScript
reactjs,react-router-redux,reactjs/react-router-redux,2343,gb,JavaScript
frankiesardo,icepick,frankiesardo/icepick,2313,gb,Clojure
Sylius,Sylius,Sylius/Sylius,2312,gb,PHP
addyosmani,psi,addyosmani/psi,2311,gb,JavaScript
searchkit,searchkit,searchkit/searchkit,2285,gb,TypeScript
micro,micro,micro/micro,2271,gb,Go
aanand,git-up,aanand/git-up,2270,gb,Ruby
real-logic,Aeron,real-logic/Aeron,2250,gb,Java
electronicarts,EASTL,electronicarts/EASTL,2249,gb,C++
samdutton,simpl,samdutton/simpl,2239,gb,HTML
Automattic,engine.io,Automattic/engine.io,2233,gb,JavaScript
makeusabrew,bootbox,makeusabrew/bootbox,2232,gb,CoffeeScript
jasarien,Provenance,jasarien/Provenance,2226,gb,C
gontovnik,DGElasticPullToRefresh,gontovnik/DGElasticPullToRefresh,2221,gb,Swift
reactjs,reselect,reactjs/reselect,2193,gb,JavaScript
mattbryson,TouchSwipe-Jquery-Plugin,mattbryson/TouchSwipe-Jquery-Plugin,2191,gb,JavaScript
ribot,Android-Boilerplate,ribot/Android-Boilerplate,2172,gb,Java
WilsonPage,fastdom,WilsonPage/fastdom,2168,gb,JavaScript
Jermolene,TiddlyWiki5,Jermolene/TiddlyWiki5,2167,gb,JavaScript
playcanvas,engine,playcanvas/engine,2164,gb,JavaScript
idiot,Unslider,idiot/Unslider,2158,gb,JavaScript
benhowdle89,grade,benhowdle89/grade,2154,gb,
