owner,name,fullName,numberOfStars,country,language
Chalarangelo,react-icons,Chalarangelo/react-icons,19210,gr,JavaScript
kataras,visual-center,kataras/visual-center,11113,gr,Go
k4m4,cool-retro-term,k4m4/cool-retro-term,6574,gr,
k4m4,cropiwa,k4m4/cropiwa,6212,gr,
sophron,FLIF,sophron/FLIF,4901,gr,Groff
Agis-,kit,Agis-/kit,3689,gr,
malihu,h2o,malihu/h2o,2938,gr,JavaScript
sourceLair,google-maps-services-python,sourceLair/google-maps-services-python,2382,gr,JavaScript
Chalarangelo,VulApps,Chalarangelo/VulApps,2315,gr,
vorillaz,gops,vorillaz/gops,2013,gr,CSS
kasketis,Collections-C,kasketis/Collections-C,1906,gr,Swift
tyiannak,ReactFire,tyiannak/ReactFire,1412,gr,Python
iridakos,fb.resnet.torch,iridakos/fb.resnet.torch,1410,gr,CSS
