owner,name,fullName,numberOfStars,country,language
lhc70000,interview,lhc70000/interview,11551,hk,Swift
miloyip,alice,miloyip/alice,6083,hk,
miloyip,Github-Changelog-Generator,miloyip/Github-Changelog-Generator,4906,hk,C++
ziahamza,android-about-page,ziahamza/android-about-page,4620,hk,JavaScript
opencart,nose,opencart/nose,4324,hk,PHP
jamztang,AsyncDisplayKit,jamztang/AsyncDisplayKit,3876,hk,Objective-C
kahopoon,pentaho-kettle,kahopoon/pentaho-kettle,2511,hk,
hunkim,ducks-modular-redux,hunkim/ducks-modular-redux,2277,hk,
chiunam,DeepLearnToolbox,chiunam/DeepLearnToolbox,1979,hk,Objective-C
nickoala,rainbowstream,nickoala/rainbowstream,1968,hk,Python
miloyip,react-native-code-push,miloyip/react-native-code-push,1675,hk,
lcxfs1991,vim-multiple-cursors,lcxfs1991/vim-multiple-cursors,1668,hk,
7kfpun,jquery-backstretch,7kfpun/jquery-backstretch,1580,hk,JavaScript
hunkim,git-remote-dropbox,hunkim/git-remote-dropbox,1555,hk,
Kyle-Kyle,timber,Kyle-Kyle/timber,1496,hk,
mineschan,vuefire,mineschan/vuefire,1410,hk,Objective-C
bichenkk,wrk2,bichenkk/wrk2,1352,hk,
