owner,name,fullName,numberOfStars,country,language
usablica,LokiJS,usablica/LokiJS,10429,ie,JavaScript
jeromeetienne,android-async-http,jeromeetienne/android-async-http,10114,ie,HTML
Benweet,vimr,Benweet/vimr,8744,ie,JavaScript
oliver-moran,Docusaurus,oliver-moran/Docusaurus,5915,ie,JavaScript
MunGell,nodebeginner.org,MunGell/nodebeginner.org,5218,ie,
pbatard,SVProgressHUD,pbatard/SVProgressHUD,4879,ie,C
scrapinghub,data,scrapinghub/data,4094,ie,JavaScript
techfort,dashing,techfort/dashing,3871,ie,JavaScript
Tapadoo,computer-science,Tapadoo/computer-science,3628,ie,Java
cesanta,skaffold,cesanta/skaffold,3537,ie,C
jeromeetienne,collect.js,jeromeetienne/collect.js,3446,ie,JavaScript
Inversify,hipache,Inversify/hipache,2424,ie,TypeScript
padraic,nanomsg,padraic/nanomsg,2248,ie,PHP
oarrabi,wireshark,oarrabi/wireshark,2144,ie,Objective-C
Attendize,practical-programming-books,Attendize/practical-programming-books,2076,ie,PHP
mattdonnelly,electron-packager,mattdonnelly/electron-packager,1993,ie,Swift
satori,gost,satori/gost,1904,ie,Go
scrapinghub,awesome-android-tips,scrapinghub/awesome-android-tips,1817,ie,Python
vitaly-t,engine,vitaly-t/engine,1771,ie,JavaScript
DKirwan,english-level-up-tips-for-Chinese-programmers-and-designers,DKirwan/english-level-up-tips-for-Chinese-programmers-and-designers,1760,ie,
DamnWidget,adarkroom,DamnWidget/adarkroom,1725,ie,Python
wheybags,pattern_classification,wheybags/pattern_classification,1618,ie,C++
hidroh,osx-gcc-installer,hidroh/osx-gcc-installer,1607,ie,Java
usablica,Slidr,usablica/Slidr,1497,ie,JavaScript
usablica,arxiv-sanity-preserver,usablica/arxiv-sanity-preserver,1495,ie,
plattysoft,rust-algorithms,plattysoft/rust-algorithms,1465,ie,Java
jmcnamara,RKDropdownAlert,jmcnamara/RKDropdownAlert,1358,ie,Python
