owner,name,fullName,numberOfStars,country,language
jondot,understanding-es6,jondot/understanding-es6,18478,il,Ruby
yaronn,touchstonejs,yaronn/touchstonejs,11380,il,JavaScript
Danielgindi,Chameleon,Danielgindi/Chameleon,10120,il,Swift
Danielgindi,essential-javascript-links,Danielgindi/essential-javascript-links,8093,il,Swift
TalAter,MarqueeLabel,TalAter/MarqueeLabel,4125,il,HTML
TalAter,impress.js,TalAter/impress.js,3601,il,JavaScript
gabime,RecyclerView-FlexibleDivider,gabime/RecyclerView-FlexibleDivider,3364,il,C++
harelba,go-ethereum,harelba/go-ethereum,3347,il,Python
jondot,vue-objccn,jondot/vue-objccn,2700,il,
NoamB,memcached,NoamB/memcached,2619,il,Ruby
urish,EQGRP,urish/EQGRP,2569,il,JavaScript
yaronn,ImageOptim,yaronn/ImageOptim,2553,il,JavaScript
EladNava,php-xdg-base-dir,EladNava/php-xdg-base-dir,2192,il,
LeoNatan,ng-bootstrap,LeoNatan/ng-bootstrap,2192,il,Objective-C
jondot,lisp-koans,jondot/lisp-koans,2001,il,CSS
ronmamo,FrescoImageViewer,ronmamo/FrescoImageViewer,1938,il,Java
meirwah,monkberry,meirwah/monkberry,1828,il,
idan,clarity,idan/clarity,1626,il,Python
tomerfiliba,teletraan,tomerfiliba/teletraan,1516,il,Python
alongubkin,gopl.io,alongubkin/gopl.io,1507,il,JavaScript
smore-inc,Ono,smore-inc/Ono,1382,il,JavaScript
pojome,tini,pojome/tini,1328,il,JavaScript
