owner,name,fullName,numberOfStars,country,language
Hack-with-Github,Backbone-relational,Hack-with-Github/Backbone-relational,21515,in,
pallets,Swifter,pallets/Swifter,16888,in,Python
hemanth,DotFiles,hemanth/DotFiles,11995,in,
frappe,ng2-bootstrap,frappe/ng2-bootstrap,11041,in,
hackiftekhar,ng2-charts,hackiftekhar/ng2-charts,10965,in,Objective-C
transloadit,Tensorflow-101,transloadit/Tensorflow-101,10457,in,JavaScript
kailashahirwar,SwiftSpinner,kailashahirwar/SwiftSpinner,9265,in,
GeekyAnts,franc,GeekyAnts/franc,8385,in,
shekhargulati,php-code-coverage,shekhargulati/php-code-coverage,7332,in,HTML
satwikkansal,deap,satwikkansal/deap,6523,in,JavaScript
sitaramc,Timeline-View,sitaramc/Timeline-View,6460,in,Perl
aritraroy,FileSaver.js,aritraroy/FileSaver.js,5931,in,
chinchang,neofetch,chinchang/neofetch,5295,in,CSS
openebs,jQuery-Knob,openebs/jQuery-Knob,5210,in,
sameersbn,RxjavaRetrofitDemo,sameersbn/RxjavaRetrofitDemo,4977,in,Shell
naman14,mkloader,naman14/mkloader,4612,in,Java
TheAlgorithms,mycli,TheAlgorithms/mycli,4575,in,
dhamaniasad,her,dhamaniasad/her,4176,in,
metagrover,BrightFutures,metagrover/BrightFutures,4170,in,
kovidgoyal,sicp-pdf,kovidgoyal/sicp-pdf,4089,in,Python
AdonisJs,stb,AdonisJs/stb,3991,in,JavaScript
sachinchoolur,phpseclib,sachinchoolur/phpseclib,3961,in,
amitshekhariitbhu,jeet,amitshekhariitbhu/jeet,3960,in,
deviantony,thegreatsuspender,deviantony/thegreatsuspender,3931,in,Shell
ApoorvSaxena,node-restify,ApoorvSaxena/node-restify,3798,in,
rishabhp,mongoengine,rishabhp/mongoengine,3671,in,JavaScript
ghosh,UglifyJS,ghosh/UglifyJS,3626,in,JavaScript
koreader,newspaper,koreader/newspaper,3511,in,Lua
OmkarPathak,FlowLayout,OmkarPathak/FlowLayout,3413,in,Python
hackerkid,wiki,hackerkid/wiki,3343,in,
sachinchoolur,spring-security,sachinchoolur/spring-security,3156,in,JavaScript
amitshekhariitbhu,boot,amitshekhariitbhu/boot,3150,in,
frappe,kss-node,frappe/kss-node,3108,in,Python
TheAlgorithms,FinanceReactNative,TheAlgorithms/FinanceReactNative,3072,in,Java
Ashok-Varma,etcd,Ashok-Varma/etcd,3070,in,
vicky002,impulse,vicky002/impulse,3010,in,HTML
threepointone,luxon,threepointone/luxon,2976,in,JavaScript
amitshekhariitbhu,Karabiner-Elements,amitshekhariitbhu/Karabiner-Elements,2921,in,Java
swapagarwal,kafka,swapagarwal/kafka,2769,in,
nisrulz,java-code-styles,nisrulz/java-code-styles,2686,in,
hanc00l,playframework,hanc00l/playframework,2607,in,Python
ragunathjawahar,sway,ragunathjawahar/sway,2558,in,Java
shekhargulati,puer,shekhargulati/puer,2556,in,Java
siddharthkp,gulp-imagemin,siddharthkp/gulp-imagemin,2535,in,JavaScript
pallets,OpenELEC.tv,pallets/OpenELEC.tv,2531,in,Python
kovidgoyal,rematch,kovidgoyal/rematch,2528,in,
vi3k6i5,frege,vi3k6i5/frege,2457,in,
princejwesley,es6-features,princejwesley/es6-features,2455,in,JavaScript
janishar,blockstack,janishar/blockstack,2454,in,
jarun,vue2-demo,jarun/vue2-demo,2340,in,Python
ramitsurana,lektor,ramitsurana/lektor,2330,in,
webkul,velocity-react,webkul/velocity-react,2278,in,
nisrulz,SuperCalendar,nisrulz/SuperCalendar,2258,in,Java
jpuri,Front-end-tutorial,jpuri/Front-end-tutorial,2210,in,
pallets,GoCD,pallets/GoCD,2143,in,Python
farizrahman4u,angular-local-storage,farizrahman4u/angular-local-storage,2112,in,Python
hindupuravinash,react-native-i18n,hindupuravinash/react-native-i18n,2094,in,
sharish,Toucan,sharish/Toucan,2054,in,
aritraroy,seq2seq,aritraroy/seq2seq,2021,in,Java
sripathikrishnan,awesome-resources,sripathikrishnan/awesome-resources,1964,in,Python
Zomato,kala,Zomato/kala,1944,in,
esoxjem,oneget,esoxjem/oneget,1927,in,Java
vipulasri,cropper,vipulasri/cropper,1920,in,Java
KunalKapadia,open-paperless,KunalKapadia/open-paperless,1908,in,JavaScript
nitin42,stan,nitin42/stan,1901,in,
Roshanjossey,vee-validate,Roshanjossey/vee-validate,1897,in,
InfyOmLabs,refluxjs,InfyOmLabs/refluxjs,1875,in,
harshilshah,libreboard,harshilshah/libreboard,1869,in,Swift
siddharthkp,Concorde,siddharthkp/Concorde,1866,in,
balsikandar,Typhoon,balsikandar/Typhoon,1861,in,
jarun,fission,jarun/fission,1799,in,Python
ganapativs,article,ganapativs/article,1775,in,
hemanth,cc,hemanth/cc,1773,in,
webkul,tmux-resurrect,webkul/tmux-resurrect,1752,in,
amitshekhariitbhu,crypto-js,amitshekhariitbhu/crypto-js,1701,in,
ironmaniiith,records,ironmaniiith/records,1673,in,Python
harshilshah,go-fundamental-programming,harshilshah/go-fundamental-programming,1654,in,Swift
kirang89,optimize-js,kirang89/optimize-js,1650,in,
ManrajGrover,kinto,ManrajGrover/kinto,1644,in,
sachinchoolur,vscode-go,sachinchoolur/vscode-go,1639,in,JavaScript
pallets,node-restify,pallets/node-restify,1624,in,Python
chinchang,image-analogies,chinchang/image-analogies,1623,in,JavaScript
nitin42,evercookie,nitin42/evercookie,1593,in,
rohitkrai03,paip-lisp,rohitkrai03/paip-lisp,1583,in,CSS
debugger22,source-sans-pro,debugger22/source-sans-pro,1551,in,JavaScript
