owner,name,fullName,numberOfStars,country,language
antirez,redis,antirez/redis,20647,it,C
FezVrasta,bootstrap-material-design,FezVrasta/bootstrap-material-design,14858,it,CSS
matteocrippa,awesome-swift,matteocrippa/awesome-swift,9445,it,Swift
equinusocio,material-theme,equinusocio/material-theme,7659,it,JavaScript
antirez,disque,antirez/disque,5370,it,C
Swordfish90,cool-retro-term,Swordfish90/cool-retro-term,4983,it,QML
PaoloRotolo,appIntro,PaoloRotolo/appIntro,4865,it,Java
gabrielecirulli,2048,gabrielecirulli/2048,4316,it,CSS
riccardoscalco,textures,riccardoscalco/textures,3939,it,CoffeeScript
andreamazz,AMScrollingNavbar,andreamazz/AMScrollingNavbar,3371,it,Swift
gabrielemariotti,cardslib,gabrielemariotti/cardslib,3220,it,Java
FezVrasta,popper.js,FezVrasta/popper.js,3090,it,JavaScript
antirez,kilo,antirez/kilo,2809,it,C
cyrus-and,gdb-dashboard,cyrus-and/gdb-dashboard,2693,it,
nrk,predis,nrk/predis,2511,it,PHP
miniMAC,magic,miniMAC/magic,2426,it,CSS
nicolaiarocci,eve,nicolaiarocci/eve,2265,it,Python
arialdomartini,oh-my-git,arialdomartini/oh-my-git,2175,it,Shell
densitydesign,raw,densitydesign/raw,2150,it,JavaScript
andreamazz,BubbleTransition,andreamazz/BubbleTransition,2090,it,Swift
ariok,BWWalkthrough,ariok/BWWalkthrough,2076,it,Swift
nostalgiaz,bootstrap-switch,nostalgiaz/bootstrap-switch,2051,it,HTML
gali8,Tesseract-OCR-iOS,gali8/Tesseract-OCR-iOS,2031,it,C
magomimmo,modern-cljs,magomimmo/modern-cljs,2013,it,Clojure
gabrielemariotti,RecyclerViewItemAnimators,gabrielemariotti/RecyclerViewItemAnimators,1999,it,Java
joke2k,Faker,joke2k/Faker,1947,it,Python
lucadegasperi,oauth2-server-laravel,lucadegasperi/oauth2-server-laravel,1936,it,PHP
andreamazz,AMWaveTransition,andreamazz/AMWaveTransition,1826,it,Objective-C
jnordberg,wintersmith,jnordberg/wintersmith,1805,it,CoffeeScript
giampaolo,psutil,giampaolo/psutil,1791,it,Python
evilsocket,bettercap,evilsocket/bettercap,1650,it,Ruby
neokree,MaterialNavigationDrawer,neokree/MaterialNavigationDrawer,1632,it,Java
malcommac,SwiftDate,malcommac/SwiftDate,1625,it,Swift
felicegattuso,dateDropper,felicegattuso/dateDropper,1618,it,JavaScript
elrumordelaluz,csshake,elrumordelaluz/csshake,1580,it,CSS
andreamazz,AMPopTip,andreamazz/AMPopTip,1508,it,Objective-C
SalGnt,cscs,SalGnt/cscs,1458,it,
artf,grapesjs,artf/grapesjs,1410,it,JavaScript
jnordberg,gif.js,jnordberg/gif.js,1364,it,JavaScript
gcanti,tcomb-form-native,gcanti/tcomb-form-native,1229,it,JavaScript
Swordfish90,cool-old-term,Swordfish90/cool-old-term,1215,it,QML
andreareginato,betterspecs,andreareginato/betterspecs,1207,it,HTML
neokree,MaterialTabs,neokree/MaterialTabs,1155,it,Java
andreaferretti,paths-js,andreaferretti/paths-js,1139,it,JavaScript
nostalgiaz,bootstrap-toggle-buttons,nostalgiaz/bootstrap-toggle-buttons,1137,it,JavaScript
Codeido,PMAlertController,Codeido/PMAlertController,1096,it,Swift
imatix,zguide,imatix/zguide,1041,it,PHP
theironcook,Backbone.ModelBinder,theironcook/Backbone.ModelBinder,997,it,JavaScript
unbit,uwsgi,unbit/uwsgi,981,it,C
alexrj,Slic3r,alexrj/Slic3r,963,it,Perl
orlandotm,payment-webfont,orlandotm/payment-webfont,956,it,CSS
gcanti,tcomb,gcanti/tcomb,939,it,JavaScript
antirez,sds,antirez/sds,893,it,C
gpbl,isomorphic500,gpbl/isomorphic500,884,it,JavaScript
lmatteis,peer-tweet,lmatteis/peer-tweet,871,it,JavaScript
gcanti,tcomb-form,gcanti/tcomb-form,859,it,JavaScript
welaika,wordmove,welaika/wordmove,856,it,HTML
sniperwolf,taggingJS,sniperwolf/taggingJS,840,it,JavaScript
antirez,linenoise,antirez/linenoise,814,it,C
gsscoder,commandline,gsscoder/commandline,810,it,C#
antirez,redis-doc,antirez/redis-doc,798,it,Ruby
lballabio,quantlib,lballabio/quantlib,774,it,C++
guari,eclipse-ui-theme,guari/eclipse-ui-theme,773,it,CSS
felicegattuso,timedropper,felicegattuso/timedropper,752,it,JavaScript
weppos,whois,weppos/whois,741,it,Ruby
evonove,django-oauth-toolkit,evonove/django-oauth-toolkit,741,it,Python
malcommac,SwiftLocation,malcommac/SwiftLocation,734,it,Swift
lelylan,lelylan,lelylan/lelylan,734,it,
uraimo,Awesome-Swift-Playgrounds,uraimo/Awesome-Swift-Playgrounds,725,it,Swift
miromannino,Justified-Gallery,miromannino/Justified-Gallery,714,it,HTML
FancyPixel,gulps,FancyPixel/gulps,699,it,Swift
arialdomartini,Back-End-Developer-Interview-Questions,arialdomartini/Back-End-Developer-Interview-Questions,696,it,
magnumripper,JohnTheRipper,magnumripper/JohnTheRipper,690,it,C
FabrizioBrancati,BFKit,FabrizioBrancati/BFKit,684,it,Objective-C
pupunzi,jquery.mb.YTPlayer,pupunzi/jquery.mb.YTPlayer,679,it,JavaScript
