owner,name,fullName,numberOfStars,country,language
wasabeef,awesome-android-ui,wasabeef/awesome-android-ui,17188,jp,
cjwirth,awesome-ios-ui,cjwirth/awesome-ios-ui,8533,jp,
ksoichiro,Android-ObservableScrollView,ksoichiro/Android-ObservableScrollView,6464,jp,Java
nagadomi,waifu2x,nagadomi/waifu2x,6437,jp,Lua
amatsuda,kaminari,amatsuda/kaminari,6105,jp,Ruby
onevcat,VVDocumenter-Xcode,onevcat/VVDocumenter-Xcode,5988,jp,Objective-C
onevcat,Kingfisher,onevcat/Kingfisher,5619,jp,Swift
masayuki0812,c3,masayuki0812/c3,5226,jp,JavaScript
wasabeef,recyclerview-animators,wasabeef/recyclerview-animators,4377,jp,Java
yyuu,pyenv,yyuu/pyenv,4204,jp,C
matz,streem,matz/streem,4071,jp,C
openstf,stf,openstf/stf,3597,jp,JavaScript
yhatt,marp,yhatt/marp,3591,jp,
shu223,iOS-9-Sampler,shu223/iOS-9-Sampler,3565,jp,Swift
andrewplummer,Sugar,andrewplummer/Sugar,3456,jp,JavaScript
ogaclejapan,SmartTabLayout,ogaclejapan/SmartTabLayout,3285,jp,Java
shu223,iOS8-Sampler,shu223/iOS8-Sampler,3045,jp,Objective-C
brettwooldridge,HikariCP,brettwooldridge/HikariCP,2913,jp,Java
blivesta,animsition,blivesta/animsition,2790,jp,CSS
wasabeef,awesome-android-libraries,wasabeef/awesome-android-libraries,2702,jp,
yoavlt,LiquidFloatingActionButton,yoavlt/LiquidFloatingActionButton,2615,jp,Swift
ninjinkun,NJKWebViewProgress,ninjinkun/NJKWebViewProgress,2485,jp,Objective-C
hotchemi,PermissionsDispatcher,hotchemi/PermissionsDispatcher,2469,jp,Java
okmr-d,DOFavoriteButton,okmr-d/DOFavoriteButton,2431,jp,Swift
h6ah4i,android-advancedrecyclerview,h6ah4i/android-advancedrecyclerview,2430,jp,Java
nghialv,MaterialKit,nghialv/MaterialKit,2391,jp,Swift
what-studio,profiling,what-studio/profiling,2308,jp,Python
