owner,name,fullName,numberOfStars,country,language
junegunn,fzf,junegunn/fzf,5630,kr,Go
junegunn,vim-plug,junegunn/vim-plug,5188,kr,VimL
summernote,summernote,summernote/summernote,5004,kr,JavaScript
ipkn,crow,ipkn/crow,2401,kr,C++
pocorall,scaloid,pocorall/scaloid,1393,kr,Scala
devxoul,Then,devxoul/Then,1224,kr,Swift
junegunn,vim-easy-align,junegunn/vim-easy-align,1176,kr,VimL
kmshack,Android-ParallaxHeaderViewPager,kmshack/Android-ParallaxHeaderViewPager,1172,kr,Java
sjchoi86,dl_tutorials,sjchoi86/dl_tutorials,1149,kr,
dahlia,awesome-sqlalchemy,dahlia/awesome-sqlalchemy,1127,kr,Python
TheFinestArtist,FinestWebView-Android,TheFinestArtist/FinestWebView-Android,1079,kr,Java
kewlbear,FFmpeg-iOS-build-script,kewlbear/FFmpeg-iOS-build-script,1068,kr,Shell
junegunn,goyo.vim,junegunn/goyo.vim,1029,kr,VimL
junegunn,redis-stat,junegunn/redis-stat,1018,kr,Ruby
golbin,git-commander,golbin/git-commander,980,kr,JavaScript
ncsoft,Unreal.js,ncsoft/Unreal.js,938,kr,C++
rhiokim,haroopad,rhiokim/haroopad,846,kr,CSS
nacyot,awesome-opensource-documents,nacyot/awesome-opensource-documents,831,kr,
tubie,JFQiXin,tubie/JFQiXin,810,kr,Objective-C
Nicejinux,NXDrawKit,Nicejinux/NXDrawKit,784,kr,
devxoul,URLNavigator,devxoul/URLNavigator,769,kr,
carpedm20,awesome-hacking,carpedm20/awesome-hacking,753,kr,
sjchoi86,Tensorflow-101,sjchoi86/Tensorflow-101,751,kr,Jupyter Notebook
nsdictionary,CorePhotoBroswerVC,nsdictionary/CorePhotoBroswerVC,714,kr,Objective-C
