owner,name,fullName,numberOfStars,country,language
nvbn,illustrated-algorithms,nvbn/illustrated-algorithms,36121,nl,Python
nvie,gitlabhq,nvie/gitlabhq,20542,nl,Shell
hammerjs,butterknife,hammerjs/butterknife,18696,nl,JavaScript
ajaxorg,jOOR,ajaxorg/jOOR,18507,nl,JavaScript
faif,lottie-ios,faif/lottie-ios,12787,nl,Python
NikitaVoloboev,backbone-fundamentals,NikitaVoloboev/backbone-fundamentals,10157,nl,
ajaxorg,mlcourse_open,ajaxorg/mlcourse_open,6278,nl,
MichMich,awesome-sysadmin,MichMich/awesome-sysadmin,6206,nl,JavaScript
ejci,volkswagen,ejci/volkswagen,5865,nl,JavaScript
rzwitserloot,websocketd,rzwitserloot/websocketd,5758,nl,Java
hollance,ocmock,hollance/ocmock,5505,nl,Swift
dutchcoders,FiraCode,dutchcoders/FiraCode,5275,nl,CSS
mislav,blueprint-css,mislav/blueprint-css,5198,nl,Ruby
mac-cain13,SingleDivProject,mac-cain13/SingleDivProject,4848,nl,Swift
Maatwebsite,flag-icon-css,Maatwebsite/flag-icon-css,4773,nl,PHP
nhaarman,http-message,nhaarman/http-message,4580,nl,Java
CISOfy,cocos2d-html5,CISOfy/cocos2d-html5,4563,nl,Shell
jariz,SmartDeblur,jariz/SmartDeblur,4349,nl,JavaScript
josdejong,hamcrest-php,josdejong/hamcrest-php,4343,nl,JavaScript
nvie,cglib,nvie/cglib,4338,nl,Python
makovkastar,dmd,makovkastar/dmd,4261,nl,Java
NikitaVoloboev,rainmeter,NikitaVoloboev/rainmeter,4159,nl,
pennersr,reason-react,pennersr/reason-react,3948,nl,Python
mweststrate,malihu-custom-scrollbar-plugin,mweststrate/malihu-custom-scrollbar-plugin,3889,nl,
koenbok,server-configs-apache,koenbok/server-configs-apache,3853,nl,JavaScript
noodlewerk,unite.vim,noodlewerk/unite.vim,3832,nl,Objective-C
timuric,Flotr2,timuric/Flotr2,3727,nl,JavaScript
keeweb,hapi,keeweb/hapi,3496,nl,JavaScript
josdejong,android_design_patterns_analysis,josdejong/android_design_patterns_analysis,3375,nl,JavaScript
