owner,name,fullName,numberOfStars,country,language
tipsy,glamor,tipsy/glamor,20235,no,
gnab,vim-go-tutorial,gnab/vim-go-tutorial,6786,no,JavaScript
ChrisRM,proxychains,ChrisRM/proxychains,5854,no,Java
danielzeller,klib,danielzeller/klib,4372,no,
prasmussen,ammo.js,prasmussen/ammo.js,4146,no,Go
koekeishiya,object-fit-images,koekeishiya/object-fit-images,3742,no,C++
hyperoslo,gdocs2md,hyperoslo/gdocs2md,3627,no,Swift
hyperoslo,resque,hyperoslo/resque,3406,no,Swift
highcharts,vim-airline,highcharts/vim-airline,3378,no,JavaScript
onmyway133,spring-boot,onmyway133/spring-boot,3157,no,
ecrmnn,spring-security-oauth,ecrmnn/spring-security-oauth,3157,no,
mikaelbr,react-js-tutorials,mikaelbr/react-js-tutorials,2960,no,JavaScript
subtlepatterns,pgx,subtlepatterns/pgx,2926,no,PHP
hioa-cs,toolbox,hioa-cs/toolbox,2869,no,C
Lokaltog,vimperator-labs,Lokaltog/vimperator-labs,2789,no,VimL
olefredrik,pyalgotrade,olefredrik/pyalgotrade,2605,no,PHP
hyperoslo,magento2,hyperoslo/magento2,2530,no,Swift
christianalfoni,es6-promise,christianalfoni/es6-promise,2523,no,JavaScript
hyperoslo,gekko,hyperoslo/gekko,2509,no,Swift
cjohansen,page-monitor,cjohansen/page-monitor,2411,no,JavaScript
eirslett,Moya,eirslett/Moya,2314,no,Java
somebee,PageTransitions,somebee/PageTransitions,2091,no,JavaScript
onmyway133,enjarify,onmyway133/enjarify,2012,no,
raphw,ZLayoutManager,raphw/ZLayoutManager,1940,no,Java
rexxars,Nestable,rexxars/Nestable,1939,no,JavaScript
koekeishiya,indentLine,koekeishiya/indentLine,1903,no,
os-js,ember-cli,os-js/ember-cli,1770,no,JavaScript
hyperoslo,FBMemoryProfiler,hyperoslo/FBMemoryProfiler,1604,no,Objective-C
christianalfoni,flow-typed,christianalfoni/flow-typed,1555,no,JavaScript
hyperoslo,icmptunnel,hyperoslo/icmptunnel,1548,no,Swift
mewwts,vizceral,mewwts/vizceral,1531,no,Python
edvin,ribbon,edvin/ribbon,1504,no,Kotlin
christianalfoni,nodejstools,christianalfoni/nodejstools,1467,no,JavaScript
mifi,spine-runtimes,mifi/spine-runtimes,1401,no,
kjbekkelund,delayed_job,kjbekkelund/delayed_job,1397,no,
eidheim,gradle-versions-plugin,eidheim/gradle-versions-plugin,1351,no,C++
