owner,name,fullName,numberOfStars,country,language
portainer,Respond,portainer/Respond,7415,nz,JavaScript
JamesNK,ChatterBot,JamesNK/ChatterBot,5055,nz,C#
purcell,disunity,purcell/disunity,3790,nz,Emacs Lisp
majutsushi,mybatis-3,majutsushi/mybatis-3,3103,nz,VimL
Mooophy,Relativ,Mooophy/Relativ,3090,nz,C++
zeman,picasso,zeman/picasso,2689,nz,JavaScript
cortesi,FluentValidation,cortesi/FluentValidation,2619,nz,Go
tomdionysus,svgedit,tomdionysus/svgedit,1903,nz,CoffeeScript
sideshow,ampache,sideshow/ampache,1819,nz,Go
ketoo,react-responsive,ketoo/react-responsive,1547,nz,C++
mikespook,dex-ui,mikespook/dex-ui,1423,nz,TeX
MostafaGazar,StreetMap,MostafaGazar/StreetMap,1357,nz,Java
edgurgel,sublimetext-markdown-preview,edgurgel/sublimetext-markdown-preview,1329,nz,Elixir
