owner,name,fullName,numberOfStars,country,language
ruipgil,scraperjs,ruipgil/scraperjs,3223,pt,JavaScript
pgte,nock,pgte/nock,2206,pt,JavaScript
dresende,node-orm2,dresende/node-orm2,2144,pt,JavaScript
filp,whoops,filp/whoops,2125,pt,PHP
rafaelconde,ios8-ui-kit,rafaelconde/ios8-ui-kit,2022,pt,
sapo,Ink,sapo/Ink,1829,pt,JavaScript
whitesmith,rubycritic,whitesmith/rubycritic,1513,pt,JavaScript
rubensousa,ViewPagerCards,rubensousa/ViewPagerCards,1431,pt,
rubensousa,RecyclerViewSnap,rubensousa/RecyclerViewSnap,1091,pt,Java
capitaomorte,yasnippet,capitaomorte/yasnippet,999,pt,Emacs Lisp
XLabs,Xamarin-Forms-Labs,XLabs/Xamarin-Forms-Labs,934,pt,C#
apocas,dockerode,apocas/dockerode,919,pt,JavaScript
rubensousa,FloatingToolbar,rubensousa/FloatingToolbar,873,pt,Java
fntneves,jquery-labelauty,fntneves/jquery-labelauty,739,pt,CSS
SupSuper,OpenXcom,SupSuper/OpenXcom,686,pt,C++
