owner,name,fullName,numberOfStars,country,language
serbanghita,Mobile-Detect,serbanghita/Mobile-Detect,3874,ro,PHP
IonicaBizau,git-stats,IonicaBizau/git-stats,3803,ro,JavaScript
alexandru,scala-best-practices,alexandru/scala-best-practices,2305,ro,
sebyddd,YouAreAwesome,sebyddd/YouAreAwesome,2219,ro,
IonicaBizau,scrape-it,IonicaBizau/scrape-it,2201,ro,JavaScript
skidding,cosmos,skidding/cosmos,1536,ro,JavaScript
timcreative,material-kit,timcreative/material-kit,1402,ro,
mpospese,MPFoldTransition,mpospese/MPFoldTransition,1396,ro,Objective-C
catalinmiron,react-native-dribbble-app,catalinmiron/react-native-dribbble-app,1286,ro,JavaScript
PressLabs,gitfs,PressLabs/gitfs,1073,ro,Python
spockframework,spock,spockframework/spock,1067,ro,Java
IonicaBizau,github-contributions,IonicaBizau/github-contributions,971,ro,HTML
gamelab,kiwi.js,gamelab/kiwi.js,948,ro,JavaScript
eugenp,tutorials,eugenp/tutorials,948,ro,XSLT
IonicaBizau,gridly,IonicaBizau/gridly,877,ro,HTML
zippyui,react-datagrid,zippyui/react-datagrid,797,ro,JavaScript
froala,wysiwyg-editor,froala/wysiwyg-editor,765,ro,HTML
skidding,dragdealer,skidding/dragdealer,725,ro,JavaScript
icebreaker,floppybird,icebreaker/floppybird,722,ro,Assembly
victorstanciu,dbv,victorstanciu/dbv,710,ro,JavaScript
bpkg,bpkg,bpkg/bpkg,703,ro,Shell
