owner,name,fullName,numberOfStars,country,language
tonsky,socket.io,tonsky/socket.io,22298,ru,Clojure
kriasoft,jcarousel,kriasoft/jcarousel,18153,ru,JavaScript
symfony,static-site-generator-webpack-plugin,symfony/static-site-generator-webpack-plugin,16294,ru,PHP
angular-ui,kphp-kdb,angular-ui/kphp-kdb,15481,ru,JavaScript
nolimits4web,aptly,nolimits4web/aptly,14868,ru,JavaScript
angular-ui,SVPullToRefresh,angular-ui/SVPullToRefresh,14467,ru,JavaScript
fatedier,fela,fatedier/fela,10809,ru,Go
PHPOffice,react-dropzone,PHPOffice/react-dropzone,10142,ru,PHP
nolimits4web,jQuery-slimScroll,nolimits4web/jQuery-slimScroll,9138,ru,JavaScript
js-cookie,butterfly,js-cookie/butterfly,9108,ru,JavaScript
mxgmn,attendize,mxgmn/attendize,8492,ru,C#
marionettejs,sanic,marionettejs/sanic,8085,ru,JavaScript
ptmt,global-state,ptmt/global-state,7278,ru,Objective-C
Miserlou,image,Miserlou/image,6786,ru,Python
owncloud,tween.js,owncloud/tween.js,6664,ru,PHP
zloirock,RxBinding,zloirock/RxBinding,5943,ru,JavaScript
arut,keymaster,arut/keymaster,5684,ru,C
buger,enquire.js,buger/enquire.js,5231,ru,Go
yandex,awesomplete,yandex/awesomplete,5228,ru,Python
lk-geimfari,Async,lk-geimfari/Async,4862,ru,Erlang
KELiON,click,KELiON/click,4761,ru,JavaScript
Wolg,Live-Charts,Wolg/Live-Charts,4697,ru,
skywinder,gperftools,skywinder/gperftools,4571,ru,Ruby
tonsky,material,tonsky/material,4558,ru,Objective-C
rushter,gulp-cheatsheet,rushter/gulp-cheatsheet,4313,ru,Python
TrinityCore,ring-ui,TrinityCore/ring-ui,4272,ru,C++
andrew--r,docsify,andrew--r/docsify,4242,ru,
medcl,Provenance,medcl/Provenance,4058,ru,Java
morhetz,termux-packages,morhetz/termux-packages,4045,ru,VimL
serge-rider,GCViewer,serge-rider/GCViewer,4006,ru,Java
OutPunk,qBittorrent,OutPunk/qBittorrent,3933,ru,Ruby
yandex,calabash-android,yandex/calabash-android,3909,ru,C++
ai,gorm,ai/gorm,3893,ru,
vk-com,tornado,vk-com/tornado,3790,ru,C
videolan,primer,videolan/primer,3735,ru,C
vitalets,kartograph.js,vitalets/kartograph.js,3653,ru,JavaScript
exyte,wx-charts,exyte/wx-charts,3555,ru,Swift
nsf,firefly-proxy,nsf/firefly-proxy,3542,ru,Go
VodkaBears,mimikatz,VodkaBears/mimikatz,3416,ru,JavaScript
sergeche,octobox,sergeche/octobox,3398,ru,JavaScript
redisson,articles,redisson/articles,3329,ru,Java
nervgh,react-pxq,nervgh/react-pxq,3310,ru,JavaScript
angular-ui,wechat-h5-boilerplate,angular-ui/wechat-h5-boilerplate,3296,ru,JavaScript
badoo,labrador,badoo/labrador,3280,ru,Swift
tweenjs,prettier,tweenjs/prettier,3271,ru,JavaScript
jruby,libpostal,jruby/libpostal,3232,ru,Ruby
symfony,storybook,symfony/storybook,3229,ru,PHP
artemnovichkov,awesome-kubernetes,artemnovichkov/awesome-kubernetes,3208,ru,Swift
symfony,rainyday.js,symfony/rainyday.js,3172,ru,PHP
NekR,angular-translate,NekR/angular-translate,3074,ru,JavaScript
andrew--r,ormlite-android,andrew--r/ormlite-android,3052,ru,
ai,amazon-dsstne,ai/amazon-dsstne,3011,ru,JavaScript
luvit,ios-app-signer,luvit/ios-app-signer,2972,ru,Lua
ptmt,wing,ptmt/wing,2971,ru,JavaScript
ai,martini,ai/martini,2941,ru,CSS
Studio-42,boxing,Studio-42/boxing,2924,ru,JavaScript
symfony,easypermissions,symfony/easypermissions,2903,ru,PHP
symfony,boot2docker,symfony/boot2docker,2889,ru,PHP
PHPOffice,werkzeug,PHPOffice/werkzeug,2887,ru,PHP
symfony,ruby-warrior,symfony/ruby-warrior,2833,ru,PHP
symfony,docopt,symfony/docopt,2832,ru,PHP
ealeksandrov,accessibility-developer-tools,ealeksandrov/accessibility-developer-tools,2823,ru,Objective-C
DmitryUlyanov,animateplus,DmitryUlyanov/animateplus,2808,ru,Python
symfony,unit,symfony/unit,2790,ru,PHP
symfony,ansible-examples,symfony/ansible-examples,2787,ru,PHP
xdan,vue-material,xdan/vue-material,2784,ru,JavaScript
angular-ui,og-aws,angular-ui/og-aws,2777,ru,JavaScript
angular-ui,abu,angular-ui/abu,2773,ru,CoffeeScript
symfony,incubator-mxnet,symfony/incubator-mxnet,2765,ru,PHP
symfony,hive,symfony/hive,2754,ru,PHP
kean,caniuse-cmd,kean/caniuse-cmd,2747,ru,Swift
symfony,BarrageRenderer,symfony/BarrageRenderer,2721,ru,PHP
VodkaBears,changelog.com,VodkaBears/changelog.com,2710,ru,JavaScript
mailpile,kingshard,mailpile/kingshard,2710,ru,Python
istarkov,google-drive-ocamlfuse,istarkov/google-drive-ocamlfuse,2680,ru,JavaScript
tonsky,osu,tonsky/osu,2657,ru,Clojure
isRuslan,disque,isRuslan/disque,2656,ru,
nsf,Codeception,nsf/Codeception,2653,ru,Go
owncloud,tilt.js,owncloud/tilt.js,2648,ru,Java
primus,VVV,primus/VVV,2639,ru,JavaScript
angular-ui,zhao,angular-ui/zhao,2611,ru,JavaScript
symfony,obs-studio,symfony/obs-studio,2599,ru,PHP
centrifugal,IBAnimatable,centrifugal/IBAnimatable,2594,ru,Go
evgenyrodionov,keepasshttp,evgenyrodionov/keepasshttp,2591,ru,JavaScript
getbem,delve,getbem/delve,2588,ru,JavaScript
stascorp,NLog,stascorp/NLog,2528,ru,Pascal
olebedev,SkyFloatingLabelTextField,olebedev/SkyFloatingLabelTextField,2441,ru,JavaScript
comfy,eureka,comfy/eureka,2396,ru,Ruby
symfony,GoogleScraper,symfony/GoogleScraper,2388,ru,PHP
PHPOffice,android-samples,PHPOffice/android-samples,2382,ru,
buger,upx,buger/upx,2327,ru,Go
Mila432,SweetAlert-iOS,Mila432/SweetAlert-iOS,2323,ru,Python
lysyi3m,bouncer,lysyi3m/bouncer,2253,ru,Swift
klen,CppCon2014,klen/CppCon2014,2193,ru,Python
lorien,XRecyclerView,lorien/XRecyclerView,2188,ru,Makefile
kolyvan,spree,kolyvan/spree,2168,ru,Objective-C
ClusterM,react-native-material-kit,ClusterM/react-native-material-kit,2104,ru,
Freeyourgadget,jadx,Freeyourgadget/jadx,1971,ru,Java
kriasoft,react-native-video,kriasoft/react-native-video,1926,ru,JavaScript
gazay,react-styleguidist,gazay/react-styleguidist,1864,ru,Ruby
medcl,mobile,medcl/mobile,1833,ru,JavaScript
mailru,Gazelle,mailru/Gazelle,1831,ru,JavaScript
XProger,ProtoBuf.js,XProger/ProtoBuf.js,1825,ru,
yandexdataschool,iOS-Weekly,yandexdataschool/iOS-Weekly,1813,ru,
lavrton,noto-fonts,lavrton/noto-fonts,1805,ru,JavaScript
emmetio,telegram,emmetio/telegram,1764,ru,CSS
wsdjeg,gvr-unity-sdk,wsdjeg/gvr-unity-sdk,1762,ru,
vitalets,vx,vitalets/vx,1755,ru,JavaScript
ApmeM,awesome-sec-talks,ApmeM/awesome-sec-talks,1744,ru,Java
symfony,WordPress,symfony/WordPress,1726,ru,PHP
posthtml,python3-in-one-pic,posthtml/python3-in-one-pic,1721,ru,JavaScript
dani-gavrilov,SJSJ,dani-gavrilov/SJSJ,1696,ru,
akxcv,electron-quick-start,akxcv/electron-quick-start,1621,ru,
Miserlou,Jcrop,Miserlou/Jcrop,1621,ru,JavaScript
symfony,flockdb,symfony/flockdb,1594,ru,PHP
okfn,compat-table,okfn/compat-table,1586,ru,JavaScript
symfony,parallax.js,symfony/parallax.js,1585,ru,PHP
Miserlou,lib,Miserlou/lib,1581,ru,JavaScript
buger,security_monkey,buger/security_monkey,1572,ru,
Azoft,appscale,Azoft/appscale,1555,ru,
django,textract,django/textract,1542,ru,Python
ermouth,AtomicGameEngine,ermouth/AtomicGameEngine,1523,ru,JavaScript
lorien,glow,lorien/glow,1515,ru,Python
Friend-LGA,dinghy,Friend-LGA/dinghy,1474,ru,Objective-C
meefik,Blotter,meefik/Blotter,1471,ru,JavaScript
anjlab,routable-ios,anjlab/routable-ios,1455,ru,Java
yandex,front-end-handbook,yandex/front-end-handbook,1455,ru,Python
romashamin,chromedp,romashamin/chromedp,1441,ru,JavaScript
koistya,TensorFlowSharp,koistya/TensorFlowSharp,1437,ru,JavaScript
mancj,fcn.berkeleyvision.org,mancj/fcn.berkeleyvision.org,1434,ru,Java
exakat,xsv,exakat/xsv,1432,ru,
igorbarinov,aesthetic,igorbarinov/aesthetic,1430,ru,
lazychaser,tensorflow-on-raspberry-pi,lazychaser/tensorflow-on-raspberry-pi,1429,ru,PHP
stocksharp,real-world-react,stocksharp/real-world-react,1428,ru,C#
terrakok,AirMapView,terrakok/AirMapView,1427,ru,Java
dreikanter,OwlCarousel2,dreikanter/OwlCarousel2,1410,ru,
kriasoft,vagrant-manager,kriasoft/vagrant-manager,1404,ru,JavaScript
Yorko,black,Yorko/black,1376,ru,Jupyter Notebook
smira,backbone-directory,smira/backbone-directory,1372,ru,Go
mancj,pytesseract,mancj/pytesseract,1367,ru,
TheMozg,premonish,TheMozg/premonish,1366,ru,Awk
mailru,promise-cookbook,mailru/promise-cookbook,1357,ru,
DarthSim,CaffeOnSpark,DarthSim/CaffeOnSpark,1353,ru,
vitalets,sops,vitalets/sops,1350,ru,
angular-ui,Adafruit_NeoPixel,angular-ui/Adafruit_NeoPixel,1349,ru,JavaScript
kolyvan,workly,kolyvan/workly,1340,ru,Objective-C
PavelKatunin,bootstrap-toggle,PavelKatunin/bootstrap-toggle,1335,ru,Objective-C
razum2um,markdown-resume,razum2um/markdown-resume,1331,ru,
exyte,holmes,exyte/holmes,1320,ru,Swift
