owner,name,fullName,numberOfStars,country,language
hakimel,reveal.js,hakimel/reveal.js,20996,se,JavaScript
t4t5,sweetalert,t4t5/sweetalert,12982,se,JavaScript
grafana,grafana,grafana/grafana,9397,se,Go
electron,electron,electron/electron,9202,se,C++
thoughtbot,paperclip,thoughtbot/paperclip,8976,se,Ruby
thoughtbot,bourbon,thoughtbot/bourbon,7415,se,Ruby
jnicklas,capybara,jnicklas/capybara,7393,se,Ruby
akka,akka,akka/akka,6332,se,Scala
tobiasahlin,SpinKit,tobiasahlin/SpinKit,6180,se,CSS
thoughtbot,factory_girl,thoughtbot/factory_girl,5450,se,Ruby
erlang,otp,erlang/otp,5206,se,Erlang
daniel-lundin,snabbt.js,daniel-lundin/snabbt.js,4990,se,JavaScript
tictail,bounce.js,tictail/bounce.js,4667,se,CSS
thoughtbot,laptop,thoughtbot/laptop,4183,se,Shell
arvida,emoji-cheat-sheet.com,arvida/emoji-cheat-sheet.com,4170,se,HTML
perwendel,spark,perwendel/spark,4097,se,Java
moxiecode,plupload,moxiecode/plupload,4069,se,JavaScript
thoughtbot,guides,thoughtbot/guides,3832,se,Ruby
ubuwaits,beautiful-web-type,ubuwaits/beautiful-web-type,3771,se,CSS
erming,shout,erming/shout,3771,se,JavaScript
thoughtbot,til,thoughtbot/til,3476,se,
spoike,refluxjs,spoike/refluxjs,3180,se,JavaScript
elabs,pundit,elabs/pundit,3117,se,Ruby
JoelBesada,activate-power-mode,JoelBesada/activate-power-mode,3020,se,CoffeeScript
dularion,streama,dularion/streama,2895,se,HTML
javve,list.js,javve/list.js,2746,se,JavaScript
thoughtbot,administrate,thoughtbot/administrate,2735,se,Ruby
hrydgard,ppsspp,hrydgard/ppsspp,2589,se,C++
thoughtbot,neat,thoughtbot/neat,2588,se,CSS
chrippa,livestreamer,chrippa/livestreamer,2581,se,Python
thoughtbot,clearance,thoughtbot/clearance,2563,se,Ruby
thoughtbot,Argo,thoughtbot/Argo,2558,se,Swift
thoughtbot,suspenders,thoughtbot/suspenders,2501,se,Ruby
hakimel,css,hakimel/css,2478,se,JavaScript
thoughtbot,dotfiles,thoughtbot/dotfiles,2446,se,Shell
oblador,react-native-vector-icons,oblador/react-native-vector-icons,2403,se,JavaScript
bagder,curl,bagder/curl,2296,se,C
felipernb,algorithms.js,felipernb/algorithms.js,2259,se,JavaScript
hakimel,Ladda,hakimel/Ladda,2231,se,HTML
JoelBesada,scrollpath,JoelBesada/scrollpath,2118,se,JavaScript
hakimel,stroll.js,hakimel/stroll.js,2081,se,HTML
DanielRapp,doppler,DanielRapp/doppler,2025,se,JavaScript
jorisvink,kore,jorisvink/kore,1950,se,C
olov,ng-annotate,olov/ng-annotate,1888,se,JavaScript
johannilsson,android-pulltorefresh,johannilsson/android-pulltorefresh,1877,se,Java
