owner,name,fullName,numberOfStars,country,language
arasatasaygin,is.js,arasatasaygin/is.js,7625,tr,JavaScript
fatih,vim-go,fatih/vim-go,5273,tr,VimL
seyhunak,twitter-bootstrap-rails,seyhunak/twitter-bootstrap-rails,4756,tr,HTML
needim,noty,needim/noty,3852,tr,JavaScript
okulbilisim,awesome-datascience,okulbilisim/awesome-datascience,2701,tr,
ademilter,bricklayer,ademilter/bricklayer,2032,tr,JavaScript
emre,storm,emre/storm,1569,tr,Python
iammert,MaterialIntroView,iammert/MaterialIntroView,1382,tr,Java
eluleci,FlatUI,eluleci/FlatUI,1378,tr,Java
ArslanBilal,Git-Cheat-Sheet,ArslanBilal/Git-Cheat-Sheet,1248,tr,
tmrts,go-patterns,tmrts/go-patterns,1172,tr,Go
flexiblegs,flexiblegs-scss,flexiblegs/flexiblegs-scss,1076,tr,CSS
fatih,color,fatih/color,1058,tr,Go
onokumus,Bootstrap-Admin-Template,onokumus/Bootstrap-Admin-Template,1044,tr,JavaScript
Cutta,GifView,Cutta/GifView,1018,tr,Java
fatih,structs,fatih/structs,1012,tr,Go
IkiMuhendis,LDrawer,IkiMuhendis/LDrawer,1009,tr,Java
iltercengiz,ICViewPager,iltercengiz/ICViewPager,980,tr,Objective-C
ekremkaraca,awesome-rails,ekremkaraca/awesome-rails,965,tr,
onokumus,metisMenu,onokumus/metisMenu,935,tr,HTML
flexiblegs,flexiblegs,flexiblegs/flexiblegs,923,tr,CSS
Sdogruyol,kemal,Sdogruyol/kemal,869,tr,Crystal
Sdogruyol,awesome-ruby,Sdogruyol/awesome-ruby,865,tr,
iammert,MusicPlayerView,iammert/MusicPlayerView,864,tr,Java
utkusen,hidden-tear,utkusen/hidden-tear,832,tr,
boramalper,himawaripy,boramalper/himawaripy,818,tr,Python
lab2023,hierapolis,lab2023/hierapolis,817,tr,CSS
rsercano,mongoclient,rsercano/mongoclient,785,tr,JavaScript
gmertk,ParkedTextField,gmertk/ParkedTextField,732,tr,Swift
tekinarslan,AndroidMaterialDesignToolbar,tekinarslan/AndroidMaterialDesignToolbar,707,tr,Java
gmertk,BusyNavigationBar,gmertk/BusyNavigationBar,680,tr,Swift
