owner,name,fullName,numberOfStars,country,language
shockone,black-screen,shockone/black-screen,9896,ua,TypeScript
xgrommx,awesome-redux,xgrommx/awesome-redux,6044,ua,
NeXTs,Clusterize.js,NeXTs/Clusterize.js,4649,ua,JavaScript
makovkastar,FloatingActionButton,makovkastar/FloatingActionButton,3631,ua,Java
Yalantis,uCrop,Yalantis/uCrop,3591,ua,Java
ipselon,react-ui-builder,ipselon/react-ui-builder,3543,ua,JavaScript
dmytrodanylyk,circular-progress-button,dmytrodanylyk/circular-progress-button,3501,ua,Java
olton,Metro-UI-CSS,olton/Metro-UI-CSS,3310,ua,JavaScript
ipselon,structor,ipselon/structor,3307,ua,JavaScript
Yalantis,Side-Menu.Android,Yalantis/Side-Menu.Android,3274,ua,Java
dennis714,RE-for-beginners,dennis714/RE-for-beginners,3089,ua,TeX
uglide,RedisDesktopManager,uglide/RedisDesktopManager,3021,ua,C++
Yalantis,FoldingTabBar.iOS,Yalantis/FoldingTabBar.iOS,2699,ua,Objective-C
Yalantis,Phoenix,Yalantis/Phoenix,2693,ua,Java
likeastore,ngDialog,likeastore/ngDialog,2623,ua,JavaScript
valyala,fasthttp,valyala/fasthttp,2575,ua,Go
Yalantis,StarWars.iOS,Yalantis/StarWars.iOS,2556,ua,Swift
Yalantis,Context-Menu.Android,Yalantis/Context-Menu.Android,2499,ua,Java
denysdovhan,bash-handbook,denysdovhan/bash-handbook,2495,ua,JavaScript
voronianski,flux-comparison,voronianski/flux-comparison,2461,ua,JavaScript
NeXTs,Jets.js,NeXTs/Jets.js,2327,ua,JavaScript
dmytrodanylyk,android-process-button,dmytrodanylyk/android-process-button,2274,ua,Java
zloirock,core-js,zloirock/core-js,2258,ua,JavaScript
Yalantis,Koloda,Yalantis/Koloda,2251,ua,Swift
Yalantis,GuillotineMenu,Yalantis/GuillotineMenu,2224,ua,Swift
Yalantis,Persei,Yalantis/Persei,2180,ua,Swift
Cleveroad,slidingtutorial-android,Cleveroad/slidingtutorial-android,2106,ua,Java
esvit,ng-table,esvit/ng-table,2042,ua,JavaScript
Yalantis,Side-Menu.iOS,Yalantis/Side-Menu.iOS,1972,ua,Swift
Yalantis,Pull-to-Refresh.Rentals-iOS,Yalantis/Pull-to-Refresh.Rentals-iOS,1904,ua,Objective-C
Yalantis,GuillotineMenu-Android,Yalantis/GuillotineMenu-Android,1886,ua,Java
Yalantis,Euclid,Yalantis/Euclid,1608,ua,Java
Yalantis,FlipViewPager.Draco,Yalantis/FlipViewPager.Draco,1550,ua,Java
Yalantis,Context-Menu.iOS,Yalantis/Context-Menu.iOS,1508,ua,Objective-C
Dimezis,BlurView,Dimezis/BlurView,1408,ua,Java
danylovolokh,VideoPlayerManager,danylovolokh/VideoPlayerManager,1396,ua,Java
valor-software,ng2-bootstrap,valor-software/ng2-bootstrap,1395,ua,TypeScript
bmelnychuk,AndroidTreeView,bmelnychuk/AndroidTreeView,1313,ua,Java
galetahub,ckeditor,galetahub/ckeditor,1292,ua,Ruby
Yalantis,StarWars.Android,Yalantis/StarWars.Android,1275,ua,Java
Yalantis,PullToMakeSoup,Yalantis/PullToMakeSoup,1264,ua,Objective-C
Yalantis,Taurus,Yalantis/Taurus,1232,ua,Java
kachayev,fn.py,kachayev/fn.py,1188,ua,Python
Yalantis,DisplaySwitcher,Yalantis/DisplaySwitcher,1145,ua,Swift
Yalantis,Horizon,Yalantis/Horizon,1110,ua,
Yalantis,pull-to-make-soup,Yalantis/pull-to-make-soup,1055,ua,Java
ArtFeel,AFViewShaker,ArtFeel/AFViewShaker,1030,ua,Objective-C
voronianski,jquery.avgrund.js,voronianski/jquery.avgrund.js,1005,ua,JavaScript
Cleveroad,CRParticleEffect,Cleveroad/CRParticleEffect,978,ua,
tailhook,vagga,tailhook/vagga,906,ua,Rust
dmytrodanylyk,folding-plugin,dmytrodanylyk/folding-plugin,905,ua,Java
Yalantis,Pull-to-Refresh.Rentals-Android,Yalantis/Pull-to-Refresh.Rentals-Android,862,ua,Java
dmytrodanylyk,shadow-layout,dmytrodanylyk/shadow-layout,804,ua,Java
igorkasyanchuk,rails_db,igorkasyanchuk/rails_db,772,ua,Ruby
shell-software,fab,shell-software/fab,742,ua,Java
Yalantis,Preloader.Ophiuchus,Yalantis/Preloader.Ophiuchus,738,ua,Objective-C
ytiurin,html5tooltipsjs,ytiurin/html5tooltipsjs,735,ua,JavaScript
voronianski,ngActivityIndicator,voronianski/ngActivityIndicator,716,ua,CSS
DenHeadless,Shapes,DenHeadless/Shapes,710,ua,Objective-C
AChep,AcDisplay,AChep/AcDisplay,709,ua,Java
retspen,webvirtmgr,retspen/webvirtmgr,700,ua,JavaScript
naspeh,mailur,naspeh/mailur,690,ua,Python
