owner,name,fullName,numberOfStars,country,language
FreeCodeCamp,nwb,FreeCodeCamp/nwb,218166,us,JavaScript
facebook,freecodecamp,facebook/freecodecamp,87948,us,JavaScript
vuejs,doppler,vuejs/doppler,84975,us,JavaScript
getify,django-grappelli,getify/django-grappelli,76734,us,JavaScript
twbs,rewire,twbs/rewire,74394,us,CSS
robbyrussell,serenity,robbyrussell/serenity,72362,us,Shell
airbnb,uppy,airbnb/uppy,69331,us,JavaScript
facebook,BottomBar,facebook/BottomBar,64194,us,Java
github,vue,github/vue,57779,us,
torvalds,medium-editor,torvalds/medium-editor,55361,us,C
daneden,jQuery-Validation-Engine,daneden/jQuery-Validation-Engine,52483,us,CSS
Microsoft,ckeditor,Microsoft/ckeditor,48445,us,TypeScript
Apple,bootstrap,Apple/bootstrap,45890,us,C++
FortAwesome,devise,FortAwesome/devise,43429,us,HTML
facebookincubator,simplecov,facebookincubator/simplecov,42595,us,JavaScript
mbostock,slugify,mbostock/slugify,38326,us,JavaScript
Semantic-Org,moco,Semantic-Org/moco,34921,us,JavaScript
electron,gitignore,electron/gitignore,34734,us,C++
jlevy,Sinon.JS,jlevy/Sinon.JS,34490,us,
Microsoft,calendar-heatmap,Microsoft/calendar-heatmap,33767,us,TypeScript
adobe,HTML-GL,adobe/HTML-GL,33490,us,JavaScript
josephmisiti,vscode,josephmisiti/vscode,32193,us,Python
necolas,Font-Awesome,necolas/Font-Awesome,31932,us,HTML
vuejs,art-template,vuejs/art-template,31276,us,
callemall,notejam,callemall/notejam,30874,us,JavaScript
mzabriskie,the-art-of-command-line,mzabriskie/the-art-of-command-line,27698,us,JavaScript
creationix,react-flip-move,creationix/react-flip-move,26888,us,Shell
d3,backbonetutorials,d3/backbonetutorials,26814,us,JavaScript
kennethreitz,awesome-vue,kennethreitz/awesome-vue,25303,us,Python
donnemartin,axios,donnemartin/axios,25230,us,Python
prakhar1989,iota,prakhar1989/iota,24499,us,
BVLC,awesome-courses,BVLC/awesome-courses,24336,us,C++
joshbuchea,ultrajson,joshbuchea/ultrajson,23966,us,
minimaxir,through2,minimaxir/through2,23942,us,Python
socketio,resize,socketio/resize,23600,us,JavaScript
facebook,big-list-of-naughty-strings,facebook/big-list-of-naughty-strings,23485,us,JavaScript
fchollet,MaterialShowcaseView,fchollet/MaterialShowcaseView,23304,us,Python
nylas,tutorials,nylas/tutorials,23244,us,CoffeeScript
lukehoban,BWWalkthrough,lukehoban/BWWalkthrough,23189,us,
mozilla,Swiper,mozilla/Swiper,23101,us,JavaScript
papers-we-love,responsive-nav.js,papers-we-love/responsive-nav.js,22335,us,
almasaeed2010,storm,almasaeed2010/storm,21887,us,HTML
zenorocha,wysiwyg-editor,zenorocha/wysiwyg-editor,21862,us,JavaScript
gitlabhq,immutable-js,gitlabhq/immutable-js,21764,us,Ruby
videojs,keras,videojs/keras,21699,us,JavaScript
kdn251,MTuner,kdn251/MTuner,21690,us,Java
bumptech,pdf.js,bumptech/pdf.js,21114,us,Java
alex,scribe-java,alex/scribe-java,21010,us,
yangshun,video.js,yangshun/video.js,20424,us,Python
JakeWharton,glide,JakeWharton/glide,19958,us,Java
k88hudson,RMStore,k88hudson/RMStore,19906,us,
balderdashy,plupload,balderdashy/plupload,19868,us,JavaScript
kelseyhightower,MagicMirror,kelseyhightower/MagicMirror,19860,us,
rs,FastAdapter,rs/FastAdapter,19750,us,Objective-C
EbookFoundation,LollipopShowcase,EbookFoundation/LollipopShowcase,19620,us,
airbnb,Android-ActionItemBadge,airbnb/Android-ActionItemBadge,19619,us,Java
karan,channels,karan/channels,19329,us,
yahoo,Android-SlideExpandableListView,yahoo/Android-SlideExpandableListView,19275,us,HTML
johnpapa,tech-interview-handbook,johnpapa/tech-interview-handbook,19104,us,
github,jOOL,github/jOOL,18495,us,JavaScript
ryanmcdermott,friendly_id,ryanmcdermott/friendly_id,18400,us,
serverless,jwt,serverless/jwt,17639,us,JavaScript
defunkt,shout,defunkt/shout,17295,us,JavaScript
spf13,XCDYouTubeKit,spf13/XCDYouTubeKit,17039,us,Go
facebook,selectToAutocomplete,facebook/selectToAutocomplete,16665,us,OCaml
dkhamsing,piskel,dkhamsing/piskel,16629,us,Objective-C
facebook,react-native-image-crop-picker,facebook/react-native-image-crop-picker,16614,us,Objective-C++
facebook,spark,facebook/spark,16601,us,C++
gin-gonic,MeiTuan,gin-gonic/MeiTuan,16600,us,Go
facebook,clean-code-javascript,facebook/clean-code-javascript,16243,us,JavaScript
jashkenas,XcodeSwiftSnippets,jashkenas/XcodeSwiftSnippets,16221,us,CoffeeScript
rethinkdb,QBImagePicker,rethinkdb/QBImagePicker,16152,us,C++
facebook,isso,facebook/isso,15673,us,JavaScript
ggreer,Begin-Latex-in-minutes,ggreer/Begin-Latex-in-minutes,15425,us,C
mitchellh,CreepyCodeCollection,mitchellh/CreepyCodeCollection,15146,us,Ruby
reddit,xdomain,reddit/xdomain,15023,us,Python
segmentio,cloud-torrent,segmentio/cloud-torrent,14996,us,JavaScript
Microsoft,Then,Microsoft/Then,14838,us,C++
facebook,gin,facebook/gin,14717,us,Java
madrobby,jest,madrobby/jest,14614,us,HTML
ReactTraining,fb-sleep-stats,ReactTraining/fb-sleep-stats,14551,us,JavaScript
vuejs,will_paginate,vuejs/will_paginate,13966,us,JavaScript
kennethreitz,playback,kennethreitz/playback,13832,us,Batchfile
zurb,frp,zurb/frp,13705,us,JavaScript
markerikson,Scrollable-GraphView,markerikson/Scrollable-GraphView,13693,us,
ParsePlatform,calibre,ParsePlatform/calibre,13578,us,JavaScript
naptha,ssh-audit,naptha/ssh-audit,13562,us,JavaScript
etsy,awesome-indie,etsy/awesome-indie,13346,us,JavaScript
jashkenas,atom,jashkenas/atom,13342,us,JavaScript
yangshun,foaas,yangshun/foaas,13239,us,
adobe-fonts,dockerfiles,adobe-fonts/dockerfiles,13218,us,Python
Netflix,swag-for-dev,Netflix/swag-for-dev,13213,us,Java
ccgus,parse-server,ccgus/parse-server,13112,us,Objective-C
donnemartin,statsd,donnemartin/statsd,13023,us,Python
airbnb,balloon.css,airbnb/balloon.css,13020,us,Objective-C
julianshapiro,source-code-pro,julianshapiro/source-code-pro,12977,us,JavaScript
wsargent,vue-meta,wsargent/vue-meta,12968,us,
spf13,IQKeyboardManager,spf13/IQKeyboardManager,12948,us,VimL
npm,cardslib,npm/cardslib,12896,us,JavaScript
facebook,MJParallaxCollectionView,facebook/MJParallaxCollectionView,12813,us,JavaScript
fffaraz,goxc,fffaraz/goxc,12751,us,
yiisoft,dbeaver,yiisoft/dbeaver,12735,us,PHP
Valloric,DownloadButton,Valloric/DownloadButton,12683,us,Python
FormidableLabs,Coding-iOS,FormidableLabs/Coding-iOS,12639,us,
isagalaev,transitioner,isagalaev/transitioner,12510,us,JavaScript
airbnb,npm,airbnb/npm,12451,us,JavaScript
feross,mailgen,feross/mailgen,12443,us,JavaScript
fbsamples,Compressor,fbsamples/Compressor,12432,us,JavaScript
chenglou,banner,chenglou/banner,12417,us,JavaScript
danielmiessler,ShimmerRecyclerView,danielmiessler/ShimmerRecyclerView,12407,us,Groff
donnemartin,draft-js,donnemartin/draft-js,12373,us,Python
octocat,webpack-dashboard,octocat/webpack-dashboard,12275,us,HTML
facebook,dateDropper,facebook/dateDropper,12269,us,C++
jashkenas,hermes,jashkenas/hermes,12123,us,JavaScript
rapid7,deepschool.io,rapid7/deepschool.io,12098,us,Ruby
legomushroom,enzyme,legomushroom/enzyme,11992,us,JavaScript
Marak,GDPerformanceView-Swift,Marak/GDPerformanceView-Swift,11816,us,JavaScript
thedillonb,wtfPython,thedillonb/wtfPython,11810,us,C#
hashicorp,mux,hashicorp/mux,11807,us,Go
alebcay,websocket,alebcay/websocket,11806,us,
facebook,Spoon-Knife,facebook/Spoon-Knife,11755,us,JavaScript
buunguyen,leetcode,buunguyen/leetcode,11712,us,JavaScript
hashicorp,uWebSockets,hashicorp/uWebSockets,11649,us,Go
jlund,WeChatRedEnvelop,jlund/WeChatRedEnvelop,11536,us,Python
Flipboard,react-select,Flipboard/react-select,11430,us,JavaScript
ipfs,electrino,ipfs/electrino,11359,us,
colebemis,android-signaturepad,colebemis/android-signaturepad,11358,us,Shell
wycats,mojs,wycats/mojs,11333,us,JavaScript
airbnb,twitter-api-php,airbnb/twitter-api-php,11317,us,JavaScript
loverajoel,really-awesome-gan,loverajoel/really-awesome-gan,11314,us,CSS
feross,Gadgetbridge,feross/Gadgetbridge,11306,us,JavaScript
drone,EffectiveAndroidUI,drone/EffectiveAndroidUI,11288,us,Go
jdg,Algorithms,jdg/Algorithms,11253,us,Objective-C
Keon,CodeHub,Keon/CodeHub,11239,us,Python
facebook,react-native-macos,facebook/react-native-macos,11182,us,JavaScript
addyosmani,Competitive-programming-library,addyosmani/Competitive-programming-library,11177,us,JavaScript
cantino,icono,cantino/icono,11156,us,Ruby
ViccAlexander,ColorfulNews,ViccAlexander/ColorfulNews,11139,us,Objective-C
loopj,awesome-shell,loopj/awesome-shell,11109,us,Java
begriffs,100days,begriffs/100days,10942,us,Haskell
Minio,hydra,Minio/hydra,10917,us,Go
leereilly,jupyter,leereilly/jupyter,10872,us,
