owner,name,fullName,numberOfStars,country,language
xmartlabs,Eureka,xmartlabs/Eureka,3846,uy,Swift
olistic,warriorjs,olistic/warriorjs,3821,uy,JavaScript
xmartlabs,XLForm,xmartlabs/XLForm,3726,uy,Objective-C
xmartlabs,XLPagerTabStrip,xmartlabs/XLPagerTabStrip,3022,uy,Swift
omab,django-social-auth,omab/django-social-auth,2622,uy,Python
omab,python-social-auth,omab/python-social-auth,2513,uy,Python
xmartlabs,XLActionController,xmartlabs/XLActionController,1278,uy,Swift
titoBouzout,SideBarEnhancements,titoBouzout/SideBarEnhancements,1101,uy,Python
jacoborus,nanobar,jacoborus/nanobar,974,uy,JavaScript
smartinez87,exception_notification,smartinez87/exception_notification,948,uy,Ruby
pote,gpm,pote/gpm,834,uy,Shell
