id,name,location,num_watchers,language,newLanguage
28054298,godot,Buenos Aires,9451,C,c
15816138,slideout,"Buenos Aires, Argentina",7251,JavaScript,javascript
12759718,synaptic,"Buenos Aires, Argentina",5905,JavaScript,javascript
3266636,restangular,"Buenos Aires, Argentina",5581,JavaScript,javascript
1091,friendly_id,"Buenos Aires, Argentina",4923,Ruby,ruby
1892534,crystal,"Buenos Aires, Argentina",3873,Crystal,crystal
11854669,midnight.js,"Buenos Aires, Argentina",2926,JavaScript,javascript
7317,scribe-java,"Buenos Aires, Argentina",2779,Java,java
4850,jquery.scrollTo,"Buenos Aires, Argentina",2362,JavaScript,javascript
25558,JsonDiffPatch,"Buenos Aires, Argentina",2074,JavaScript,javascript
41119,xmltodict,"Buenos Aires, Argentina",1743,Python,python
2261072,w3af,Buenos Aires,1694,Python,python
16734996,RISE,Buenos Aires,1318,JavaScript,javascript
18631785,rsedis,"Buenos Aires, Argentina",1205,Rust,rust
