id,name,location,num_watchers,language,newLanguage
9511697,MPAndroidChart,Austria,20971,Java,java
1085,flask,Austria,19040,Python,python
22042207,react-boilerplate,"Vienna, Austria",12018,JavaScript,javascript
15778405,MaterialDrawer,"Linz, Austria",9173,Java,java
1972576,dropzone,"Vienna, Austria",8579,JavaScript,javascript
9570005,Aspects,"Vienna, Austria",5442,Objective-C,objective-c
13069452,Android-Iconics,"Linz, Austria",3601,Java,java
50875,jinja2,Austria,3197,Python,python
9318494,click,Austria,3007,Python,python
28867569,lektor,Austria,2839,Python,python
14340368,google-webfonts-helper,Austria,2750,JavaScript,javascript
51900,werkzeug,Austria,2714,Python,python
882750,PSTCollectionView,"Vienna, Austria",2697,Objective-C,objective-c
34709,django-grappelli,"Vienna, Austria",2561,HTML,javascript
25002104,react-dropzone,"Vienna, Austria",2509,JavaScript,javascript
13564921,quaggaJS,"Graz, Austria",2438,JavaScript,javascript
21239186,lego,Austria,2422,Go,go
9895285,Starling-Framework,Austria,2381,ActionScript,actionscript
16882,lsyncd,Vienna,2365,Lua,lua
12222786,android-ui,Austria,2131,Java,java
30959143,lint-staged,"Vienna, Austria",2129,Shell,shell
4586174,AboutLibraries,"Linz, Austria",2119,Java,java
30309115,FastAdapter,"Linz, Austria",2107,Java,java
7500393,angularUtils,"Vienna, Austria",2067,JavaScript,javascript
14230337,assert,"Vienna, Austria",1932,PHP,php
13593152,LollipopShowcase,"Linz, Austria",1919,Java,java
12238333,StatefulViewController,"Vienna, Austria",1875,Swift,swift
22048081,Debloat-Windows-10,Innsbruck,1797,PowerShell,powershell
25838976,redux-undo,"Vienna, Austria",1795,JavaScript,javascript
23122,PSStackedView,"Vienna, Austria",1678,Objective-C,objective-c
15355,MTStatusBarOverlay,Vienna,1664,Objective-C,objective-c
1291942,jsfeat,"Vienna, Austria",1654,JavaScript,javascript
39873,flask-sqlalchemy,Austria,1651,Python,python
7303324,MHVideoPhotoGallery,Vienna ,1538,Objective-C,objective-c
29930253,login-flow,"Vienna, Austria",1484,JavaScript,javascript
30745235,ScpToolkit,Austria,1420,C#,c#
11321461,pipsi,Austria,1363,Python,python
84412,slugify,"Vienna, Europe",1336,PHP,php
30407756,emojicode,Austria,1257,C,c
8033833,android-circlebutton,Austria,1249,Java,java
10981617,Android-ActionItemBadge,"Linz, Austria",1210,Java,java
