id,name,location,num_watchers,language,newLanguage
11611140,react-select,Sydney,10704,JavaScript,javascript
8514,raphael,"Sydney, Australia",10476,JavaScript,javascript
16415055,plyr,Sydney,9361,JavaScript,javascript
14609176,flarum,Australia,7456,ApacheConf,shell
13566846,classnames,Sydney,7355,JavaScript,javascript
1651970,better_errors,"Melbourne, Australia",6876,Ruby,ruby
22528,formtastic,"Melbourne, Australia",5677,Ruby,ruby
29004811,IBAnimatable,"Melbourne, Australia",5246,Swift,swift
10192171,SwiftWeather,"Melbourne, Australia",4742,Swift,swift
1911,PHP_CodeSniffer,"Sydney, Australia",4560,PHP,php
36638371,choo,"Sydney, Australia",4277,JavaScript,javascript
14294826,core,Australia,3878,JavaScript,javascript
7803,mezzanine,"Sydney, Australia",3589,Python,python
31382391,You-Dont-Need-Lodash-Underscore,Sydney,3524,JavaScript,javascript
72497,mailcatcher,"Perth, Western Australia",3343,Ruby,ruby
3671423,scoop,"Brisbane, Australia",3290,PowerShell,powershell
28687941,nwb,"Brisbane, Australia",3113,JavaScript,javascript
16792234,Wappalyzer,"Melbourne, Australia",3058,JavaScript,javascript
8866,stellar.js,"Melbourne, Australia",3044,JavaScript,javascript
56547912,AnimatedCollectionViewLayout,Melbourne,2992,Swift,swift
2705,mail,"Sydney, Australia",2966,Ruby,ruby
5672,backbonetutorials,"Melbourne, Australia",2738,JavaScript,javascript
10935210,angular-chart.js,"Sydney, Australia",2664,JavaScript,javascript
17763627,typescript-book,"Melbourne, Australia",2630,JavaScript,javascript
12275209,Locksmith,"Sydney, Australia",2579,Swift,swift
11344563,html-webpack-plugin,"Sydney, Australia",2553,JavaScript,javascript
35250605,Modaal,"Perth, Western Australia",2543,CSS,javascript
16493533,material,"Sydney, Australia",2515,HTML,javascript
11194862,gometalinter,"Sydney, Australia",2423,Go,go
25323,log4js-node,"Melbourne, Australia",2379,JavaScript,javascript
31786185,diff-so-fancy,Sydney,2377,Perl,perl
27918,jsPlumb,"Sydney, Australia",2295,HTML,javascript
3524332,xdomain,"Sydney, Australia",2216,JavaScript,javascript
12216920,BottomSheet,Sydney,2116,Java,java
16773123,chisel,"Sydney, Australia",2055,Go,go
20970787,TOCropViewController,"Perth, Australia",2020,Objective-C,objective-c
13600834,touchstonejs,Sydney,1972,CSS,javascript
326380,ImageProcessor,Sydney,1870,C#,c#
22042349,WebFrontEndStack,"Sydney, Australia",1859,JavaScript,javascript
20687813,cloud-torrent,"Sydney, Australia",1850,Go,go
12466415,react-hn,"Brisbane, Australia",1843,JavaScript,javascript
8861711,asyncawait,Australia,1796,JavaScript,javascript
9751289,kingpin,"Sydney, Australia",1769,Go,go
21020742,rucksack,"Sydney, Australia",1748,JavaScript,javascript
6293,DCIntrospect,"Melbourne, Australia",1659,Objective-C,objective-c
10856,forem,"Melbourne, Australia",1592,Ruby,ruby
10934,jQuery-slimScroll,"Melbourne, Australia",1584,JavaScript,javascript
11442461,particleground,"Melbourne, Australia",1577,JavaScript,javascript
13539138,react-webpack-node,Australia,1478,JavaScript,javascript
1851250,acf,"Melbourne, Australia",1429,PHP,php
2982299,revisionable,"Melbourne, Australia",1423,PHP,php
14446753,picoc,"Melbourne, Australia",1399,C,c
22074901,knock,"Melbourne, Australia",1398,Ruby,ruby
2796215,bespoke.js,"Melbourne, Australia",1395,JavaScript,javascript
16389368,plyr,"Sydney, Australia",1384,JavaScript,javascript
3853353,TOWebViewController,"Perth, Australia",1324,Objective-C,objective-c
27395581,react-native-starter-app,"Gold Coast, Australia",1265,JavaScript,javascript
1933699,course,Australia,1261,Haskell,haskell
36900,gitx,"Hobart, Australia",1259,Objective-C,objective-c
18697387,static-site-generator-webpack-plugin,"Melbourne, Australia",1249,JavaScript,javascript
6959914,simple_token_authentication,"Melbourne, Australia",1226,Ruby,ruby
14844,audiojs,"Melbourne, Australia",1223,JavaScript,javascript
3726239,message_bus,"Sydney, Australia",1179,JavaScript,javascript
24889,machinist,"Melbourne, Australia",1178,Ruby,ruby
18614462,marx,"Melbourne, Australia",1167,CSS,javascript
