id,name,location,num_watchers,language,newLanguage
687922,rubocop,"Sofia, Bulgaria",9247,Ruby,ruby
19317,prelude,"Sofia, Bulgaria",4123,Emacs Lisp,shell
20374,jstree,"Sofia, Bulgaria",2985,JavaScript,javascript
16530237,jsblocks,Bulgaria,2802,JavaScript,javascript
9236220,kendo-ui-core,"Sofia, Bulgaria",2528,JavaScript,javascript
17263,jqGrid,"Sofia, Bulgaria",2360,JavaScript,javascript
15306587,android-pathview,"Sofia, Bulgaria",2299,Java,java
90159,projectile,"Sofia, Bulgaria",2215,Emacs Lisp,shell
3624543,RDVTabBarController,"Sofia, Bulgaria",2057,Objective-C,objective-c
10038647,deb.js,"Varna, Bulgaria",1444,JavaScript,javascript
27637954,navigo,"Varna, Bulgaria",1308,JavaScript,javascript
5691512,neuralnetworks,"Sofia, Bulgaria",1175,Java,java
