id,name,location,num_watchers,language,newLanguage
8478942,chartist-js,"Zurich, Switzerland",10597,JavaScript,javascript
8970646,smartcrop.js,"Zurich, Switzerland",10495,JavaScript,javascript
5435325,ScrollMagic,"Lausanne, Switzerland",7298,JavaScript,javascript
23843,iOS-Runtime-Headers,Switzerland,5229,Objective-C,objective-c
78029,jedi,Switzerland,3180,Python,python
6045,node-opencv,Zürich,2826,C++,c++
17320194,html-webpack-plugin,Zurich,2619,JavaScript,javascript
22094980,WebClient,"Geneva, Switzerland",2551,JavaScript,javascript
867354,jedi-vim,Switzerland,2502,VimL,python
7941722,dotty,"Lausanne, Switzerland",2348,Scala,scala
491567,piskel,"Lausanne, Suisse",2335,JavaScript,javascript
9314741,node-html-pdf,"Zurich, Switzerland",2066,JavaScript,javascript
229122,RuntimeBrowser,Switzerland,2060,Objective-C,objective-c
39505,jOOQ,Zurich,1983,Java,java
15790309,nanogui,"Lausanne, Switzerland",1926,C,c
11077183,Sketch-Style-Inventory,Zürich,1798,JavaScript,javascript
10490251,qutebrowser,"Winterthur, Switzerland",1786,Python,python
4036057,node-http2,"Zurich, Switzerland",1748,JavaScript,javascript
26666,Elastica,Zurich,1689,PHP,php
24495953,vim,Switzerland,1684,C,c
34957,Firmware,Zurich,1670,C++,c++
6037694,featherlight,Switzerland,1665,JavaScript,javascript
20122263,libmill,"Zurich, Switzerland",1577,C,c
15319266,SwiftMoment,"Zurich, Switzerland",1561,Swift,swift
12821101,Continuity-Activation-Tool,Switzerland,1497,Shell,shell
4109,hakyll,"Zurich, Switzerland",1482,Haskell,haskell
7923022,flightplan,"Zürich, Switzerland",1471,JavaScript,javascript
311558,jOOR,Zurich,1433,Java,java
3417752,htmlparser2,Lausanne,1422,JavaScript,javascript
25681,NelmioApiDocBundle,"Zurich, Switzerland",1421,PHP,php
59698,git-guide,"St. Gallen, Switzerland",1414,HTML,javascript
27985221,brainstorm,Lugano Switzerland,1358,Python,python
3208,ua-parser,"Geneva, Switzerland",1313,Java,java
2241376,ThreadPool,Switzerland,1309,C++,c++
27566,ThreeNodes.js,Fribourg,1252,JavaScript,javascript
812923,gifsockets,Zurich,1237,Java,java
68256,logback,"Lausanne, Switzerland",1226,Java,java
8314332,jOOL,Zurich,1207,Java,java
20535665,vernemq,Basel Switzerland,1202,Erlang,erlang
1354162,alice,"Zurich, Switzerland",1175,PHP,php
