id,name,location,num_watchers,language,newLanguage
6218854,free-programming-books-zh_CN,"Tianjin, China",27146,JavaScript,javascript
46159467,freecodecamp.cn,China,23904,,javascript
224328,build-web-application-with-golang,"Shanghai, China",21745,Go,go
10011155,the-swift-programming-language-in-chinese,"Shenzhen, China",18585,CSS,python
14965067,hosts,China,18576,C++,python
19010386,ijkplayer,"Shanghai, China",17352,C,c
16232,dubbo,"Hangzhou, China",16421,Java,java
14210902,weui,Guangzhou China,15909,CSS,javascript
510486,beego,"Shanghai, China",15001,Go,go
2922319,fastjson,"Hangzhou, China",14372,Java,java
17845262,react-demos,"Shanghai, China",12992,JavaScript,javascript
10279721,SwiftGuide,"Suzhou, China",12958,Swift,swift
34754970,BaseRecyclerViewAdapterHelper,Shanghai,12398,Java,java
9802473,MJRefresh,"Guangzhou, China",12013,Objective-C,objective-c
12296078,node-lessons,"ShenZhen, China",12004,JavaScript,javascript
9345057,es6tutorial,"Shanghai, China",11640,JavaScript,javascript
4730679,YYKit,"Beijing, China",11437,Objective-C,objective-c
1002457,jieba,"Beijing, China",11088,Python,python
6992183,The-Art-Of-Programming-By-July,"Beijing, China",10477,C,c
20450796,JSPatch,"Guangdong, China",10351,Objective-C,objective-c
1410770,fks,"Hangzhou, China",10240,JavaScript,javascript
2922081,druid,"Hangzhou, China",10139,Java,java
3827217,N-blog,"Beijing, China",9728,JavaScript,javascript
10280345,android-training-course-in-chinese,"Shanghai , China",9710,JavaScript,javascript
11595060,AndroidSwipeLayout,"Beijing, China",9632,Java,java
10425716,AndroidViewAnimations,"Beijing, China",9123,Java,java
13444836,android-Ultra-Pull-To-Refresh,Beijing,9074,Java,java
47651091,zheng,"Beijing, China",8183,Java,java
28563416,tensorflow-zh,"Beijing, China",7902,TeX,python
10873458,hardseed,chengdu,7875,C++,c++
6278048,PNChart,"Beijing, China",7730,Objective-C,objective-c
9792229,MJExtension,"Guangzhou, China",7676,Objective-C,objective-c
5062667,bootstrap-table,"Guangzhou, China",7487,JavaScript,javascript
28401052,YYText,"Beijing, China",7101,Objective-C,objective-c
9602553,leanote,Shanghai,6961,JavaScript,javascript
2909122,tengine,"Hangzhou, China",6835,C,c
12732976,leetcode,Beijing,6828,C++,c++
24137426,webpack-demos,"Shanghai, China",6670,JavaScript,javascript
6885811,httprouter,"Shanghai, China",6626,Go,go
10225790,cropper,China,6625,JavaScript,javascript
3457973,Mock,"HangZhou, China",6599,JavaScript,javascript
3893356,layer,"Hangzhou, China",6433,JavaScript,javascript
22041501,iOSInterviewQuestions,Beijing China.,6378,Objective-C,objective-c
26476888,WeChatLuckyMoney,"Shanghai, China",6200,Java,java
10464490,LTMorphingLabel,"Shanghai, China",6198,Swift,swift
30155281,FileDownloader,"Shanghai, China",6185,Java,java
3796031,webmagic,"Shanghai, China",6127,Java,java
19007344,DanmakuFlameMaster,"Shanghai, China",6106,Java,java
25901840,AndFix,"Hangzhou, China",6075,C++,c++
8806737,use_vim_as_ide,chengdu,5956,VimL,python
1393572,cow,"Shanghai, China",5946,Go,go
28391228,amazeui,"Beijing, China",5942,CSS,javascript
6848736,workerman,chengdu china ,5909,PHP,php
28540548,FlycoTabLayout,"Shanghai, China",5874,Java,java
3226675,jeesite,China,5728,JavaScript,javascript
11194371,musicbox,"Shanghai, China",5697,Python,python
12738107,sweet-alert-dialog,Hangzhou.China,5667,Java,java
32573154,Fragmentation,Hangzhou,5656,,java
19032785,react-native-swiper,"Beijing, China",5551,JavaScript,javascript
13362219,isomorphic-fetch,Beijing,5498,JavaScript,javascript
20810216,gitea,"Shanghai, CN",5448,Go,go
30434771,wechat-deleted-friends,"China, Zhejiang, Hangzhou",5401,Python,python
8349120,webuploader,beijing,5286,JavaScript,javascript
11715219,hexo-theme-yilia,shenzhen,5219,CSS,javascript
27586782,SDAutoLayout,"ZhuHai, China",5197,Objective-C,objective-c
8916459,sketch-measure,"China, Beijing",5169,JavaScript,javascript
13041777,YTKNetwork,Beijing,5116,Objective-C,objective-c
14826353,tushare,BEIJING,5086,Python,python
13061306,MaterialEditText,"Beijing, China",5083,Java,java
16948090,vnpy,Shanghai,5064,C++,c++
9140398,dynamic-load-apk,"Beijing, China",5058,Java,java
3749766,RocketMQ,"Hangzhou, China",5055,Java,java
9979642,AndroidImageSlider,"Beijing, China",4946,Java,java
15791422,editor.md,"Xiamen, China",4935,JavaScript,javascript
4013121,avalon,China,4843,JavaScript,javascript
29930884,think,china,4806,PHP,php
280535,nodePPT,Beijing China,4703,JavaScript,javascript
9528425,NumberProgressBar,"Beijing, China",4697,Java,java
17886339,SDCycleScrollView,"ZhuHai, China",4697,Objective-C,objective-c
9151,AwesomeMenu,"Shanghai, China",4672,Objective-C,objective-c
2252771,ssdb,"Beijing, China",4626,C++,c++
3960711,android-volley,"Beijing, China",4626,Java,java
29693240,hilo,China,4613,JavaScript,javascript
21187110,iOS9AdaptationTips,Beijing China.,4594,Objective-C,objective-c
24919055,DroidPlugin,"Beijing, China",4592,Java,java
31609330,WeixinBot,"Wuhan, China",4578,Python,python
30601071,TZImagePickerController,Shanghai,4527,Objective-C,objective-c
2392007,jstutorial,"Shanghai, China",4511,CSS,javascript
1711636,cat,"Shanghai, China",4509,JavaScript,javascript
3264,springside4,China,4504,Java,java
8805823,iOSBlogCN,"Beijing, China",4502,Python,python
