id,name,location,num_watchers,language,newLanguage
5101,jQuery-File-Upload,"Freiburg, Germany",31406,JavaScript,javascript
31227,EventBus,"Munich, Germany",16521,Java,java
10750154,awesome-java,"Karlsruhe, Germany",15669,,python
5635,skrollr,Germany,11802,HTML,javascript
11491823,Android-CleanArchitecture,"Berlin, Germany",11157,Java,java
1646,mustache.js,"Berlin, Germany",10538,JavaScript,javascript
1742,jquery-cookie,"Berlin, Germany",9529,JavaScript,javascript
7482117,CircleImageView,"Hamburg, Germany",9092,Java,java
8610015,java8-tutorial,"Hanover, Germany",9037,Java,java
42009,greenDAO,"Munich, Germany",8870,Java,java
4489243,json,"Berlin, Germany",8803,C++,c++
17753126,logger,Berlin,8713,Java,java
10578367,awesome-elixir,"Hamburg, Germany",7848,Elixir,elixir
12578894,lazysizes,Berlin,7700,HTML,javascript
1285,html5shiv,Berlin,7304,JavaScript,javascript
22043755,streama,Germany,7044,HTML,javascript
11007523,paperwork,"Berlin, Germany",6752,PHP,php
13079752,timesheet.js,"Hamburg, DE",6626,JavaScript,javascript
2309756,image,"Kiel, Germany",6001,PHP,php
2727,jquery-validation,"Cologne, Germany",5780,JavaScript,javascript
4931664,vegeta,Berlin,5746,Go,go
28002998,leaf,Berlin,5646,Rust,rust
4735,tiled,Germany,5585,C++,c++
22906,node-mysql,"Berlin, Germany",5544,JavaScript,javascript
9841595,popping,Germany,5460,Objective-C,objective-c
13949894,wego,Munich,5313,Go,go
18320160,es6-features,Germany,4653,HTML,javascript
23551572,TakePhoto,sh,4569,Java,java
16552696,mosby,Munich,4401,Java,java
1263208,yowsup,"Berlin, Germany",4364,Python,python
46044657,neurojs,"Cologne, Germany",4125,JavaScript,javascript
12923,PHP-Parser,"Berlin, Germany",4066,PHP,php
10407448,nodebeginner.org,"Cologne, Germany",4000,HTML,javascript
14517024,dialogplus,Berlin,3802,Java,java
58867,node-style-guide,"Berlin, Germany",3711,JavaScript,javascript
2933295,ProtoBuf.js,Germany,3701,JavaScript,javascript
1845441,bash-git-prompt,"Darmstadt, Germany",3588,Shell,shell
62315,ultisnips,Germany,3580,Python,python
2776,URI.js,Germany,3563,JavaScript,javascript
18543132,crypto-js,"Berlin, Germany",3524,JavaScript,javascript
6149,simplecov,"Hamburg, Germany",3507,Ruby,ruby
1037420,Lychee,Germany,3434,PHP,php
8284812,vimr,"Munich, Germany",3378,Objective-C,objective-c
