id,name,location,num_watchers,language,newLanguage
424503,you-get,"Copenhagen, Denmark",17658,Python,python
3902707,medium-editor,"Copenhagen, Denmark",5334,JavaScript,javascript
20597272,monoid,"Copenhagen, Denmark",5118,Python,python
5491787,flag-icon-css,"Copenhagen, Denmark",4417,HTML,javascript
11011866,Async,Copenhagen,4266,Swift,swift
3123174,peerflix,"Copenhagen, Denmark",3969,JavaScript,javascript
13665172,fontfaceobserver,"Copenhagen, Denmark",2585,JavaScript,javascript
21443,resumable.js,"Copenhagen, Denmark",2511,JavaScript,javascript
220538,unveil,"Copenhagen, Denmark",2470,JavaScript,javascript
4304807,bootstrap-social,"Copenhagen, Denmark",2458,HTML,javascript
11473491,translate-shell,"Copenhagen, Denmark",2193,Awk,awk
25040150,neural_artistic_style,"Copenhagen, Denmark",2080,Python,python
39044,webgrind,Denmark,2005,Python,python
12740796,bootstrap-sweetalert,"Copenhagen, Denmark",1946,JavaScript,javascript
18292779,playback,"Copenhagen, Denmark",1821,JavaScript,javascript
4030126,Umbraco-CMS,Denmark,1649,C#,c#
30460290,fb-sleep-stats,Copenhagen,1538,JavaScript,javascript
5027084,lightbox,Copenhagen,1451,JavaScript,javascript
651549,android-menudrawer,Denmark,1403,Java,java
7226544,Fluidbox,"Aarhus, DK",1381,HTML,javascript
12917414,schema,"Copenhagen, Denmark",1367,Python,python
8610509,torrent-stream,"Copenhagen, Denmark",1344,JavaScript,javascript
18674058,chromecasts,"Copenhagen, Denmark",1318,JavaScript,javascript
16793891,flyd,"Aarhus, Denmark",1228,JavaScript,javascript
2798546,notejam,"Copenhagen, Denmark",1217,PHP,php
14763,selectToAutocomplete,"Copenhagen, Denmark",1202,JavaScript,javascript
9755466,schematic,Denmark,1200,Java,java
