id,name,location,num_watchers,language,newLanguage
21577612,react-redux-universal-hot-example,Spain,11466,JavaScript,javascript
22045611,redux-form,Spain,9116,JavaScript,javascript
12224410,MaterialDesignLibrary,España,9078,Java,java
3714509,openvpn-install,Spain,6253,Shell,shell
10604254,EffectiveAndroidUI,Madrid,5534,Java,java
8944718,androidmvp,Madrid (Spain),5175,Java,java
40469579,cerebro,"Spain, Barcelona",4602,JavaScript,javascript
1749436,JSONModel,Barcelona,4124,Objective-C,objective-c
27623476,AndroidWiFiADB,Madrid,3675,Java,java
2404370,SWRevealViewController,Barcelona,3510,Objective-C,objective-c
9861,redcarpet,Madrid,3504,C,c
56771823,httplab,Barcelona,3057,Go,go
25985095,MaterialSearchView,Madrid,2960,Java,java
28898424,Dexter,"Madrid, Spain",2861,Java,java
9200500,DraggablePanel,Madrid,2759,Java,java
15544036,Android-Material-Examples,Spain,2642,Java,java
17419016,ForkHub,"Bilbao, Spain",2636,JavaScript,javascript
20136748,EasyAnimation,Barcelona,2623,Swift,swift
3129,iOS-boilerplate,"Zaragoza, Spain",2605,Objective-C,objective-c
15798691,Material-Movies,Spain,2600,Java,java
8416,django-crispy-forms,"Madrid, Spain",2563,Python,python
28857969,Instagram-API,Spain,2546,PHP,php
19126917,Chat-API,Spain,2538,PHP,php
21883293,node-telegram-bot-api,"Madrid, Spain",2505,JavaScript,javascript
13355262,Algorithms,Madrid,2360,Java,java
27830470,go-git,"Madrid, Spain",2355,Go,go
10615426,CustomActivityOnCrash,"Barcelona, Catalonia",2270,Java,java
30495739,phoenix-trello,"Asturias, Spain",2205,JavaScript,javascript
11749530,picnic,"Valencia, Spain",2189,HTML,javascript
9122698,afterglow-theme,Spain,2107,JavaScript,javascript
22100677,webglstudio.js,Barcelona,2084,JavaScript,javascript
8973629,Cakebrew,"Barcelona, Spain",2067,Objective-C,objective-c
6391,devise_invitable,"Zaragoza, Spain",2058,Ruby,ruby
3840009,FadingActionBar,"Madrid, Spain",2044,Java,java
1991636,svg.js,Spain,2034,JavaScript,javascript
3786656,EmailValidator,Madrid,1879,PHP,php
14163747,VBFPopFlatButton,Barcelona,1853,Objective-C,objective-c
25804808,CoordinatorBehaviorExample,Spain,1828,Java,java
23775197,AndroidFillableLoaders,Madrid,1782,Java,java
30780345,RxCache,Alicante (Spain),1762,Java,java
22048383,FillableLoaders,Barcelona,1757,Swift,swift
15542923,SwiftSpinner,Barcelona,1738,Swift,swift
11014751,MaterialList,Spain,1704,Java,java
3569231,baum,"Lleida, Spain",1569,PHP,php
27180020,SFFocusViewLayout,Madrid,1515,Swift,objective-c
22188417,Kotlin-for-Android-Developers,Madrid (Spain),1505,Kotlin,kotlin
20026341,adminlte-laravel,Tortosa,1496,JavaScript,javascript
11087,sundown,Madrid,1464,C,c
4772476,RMStore,"Barcelona, Spain",1459,C,c
17782929,Bandhook-Kotlin,Madrid (Spain),1430,Kotlin,kotlin
24274327,katoolin,Spain,1427,Python,python
12682828,MaterialEverywhere,Madrid (Spain),1401,Java,java
8157920,nanobar,"A Coruña, Spain",1366,JavaScript,javascript
7973474,angular-toastr,"Cádiz, Spain",1353,JavaScript,javascript
12644625,Sketch-Notebook,Madrid,1307,JavaScript,javascript
19691,best_in_place,Barcelona,1303,Ruby,ruby
15183437,MaterializeYourApp,Madrid (Spain),1286,Java,java
19574231,expvarmon,"Barcelona, Spain",1275,Go,go
31009518,tachiyomi,Spain,1243,Java,java
18949516,Curved-Fab-Reveal-Example,Spain,1235,Java,java
24185510,dkron,Barcelona,1208,Go,go
12538645,SwiftForms,Madrid,1193,Swift,swift
