id,name,location,num_watchers,language,newLanguage
11313132,java-design-patterns,"Tampere, Finland",30115,Java,java
5507363,bluebird,"Helsinki, Finland",14854,JavaScript,javascript
33584352,BottomBar,Finland,8015,Java,java
30114486,muuri,"Tampere, Finland",6561,JavaScript,javascript
12547205,progressbar.js,Finland,5829,JavaScript,javascript
7535679,ArnoldC,"Helsinki, Finland",3951,Scala,scala
23688,underscore.string,"Jyväskylä, Finland",3464,JavaScript,javascript
11541189,stellar,"Helsinki, Finland",3381,Python,python
4593860,retrolambda,"Helsinki, Finland",3324,Java,java
16419,jswiki,"Jyväskylä, Finland",3298,JavaScript,javascript
9283125,Hasklig,Helsinki,3059,Python,python
10866882,rxmarbles,"Helsinki, Finland",2849,JavaScript,javascript
24934085,deck-of-cards,Finland,2304,JavaScript,javascript
6382706,nanovg,Helsinki,2266,C,c
2882107,live-server,Helsinki,1967,JavaScript,javascript
4488,jquerytools,"Helsinki, Finland",1959,JavaScript,javascript
4246310,s3_website,Helsinki,1772,Scala,scala
27117941,flux-challenge,"Helsinki, Finland",1702,JavaScript,javascript
16078670,concurrently,Finland,1583,JavaScript,javascript
982592,flowplayer,Finland,1505,JavaScript,javascript
21056939,trine,Helsinki,1484,JavaScript,javascript
13388045,cycle,"Helsinki, Finland",1410,JavaScript,javascript
9985856,bootcamp,"Oulu, Finland",1404,JavaScript,javascript
15157,sharetribe,"Helsinki, Finland",1394,Ruby,ruby
2087,zoomooz,"Helsinki, Finland",1347,JavaScript,javascript
12174118,sc5-styleguide,Helsinki,1242,JavaScript,javascript
