id,name,location,num_watchers,language,newLanguage
2876,async,"Sheffield, UK",24572,JavaScript,javascript
3360645,phaser,UK,19939,JavaScript,javascript
5504302,fullPage.js,"Cambridge, UK",19746,JavaScript,javascript
7216211,Hover,"Devon, UK",15302,CSS,javascript
22045218,httpie,"London, United Kingdom",13247,Python,python
9682,nodemon,"Brighton, UK",11943,JavaScript,javascript
3103499,Chart.js,London,11761,JavaScript,javascript
146476,fastclick,"London, United Kingdom",11369,HTML,javascript
17214344,Material-Animations,London,11241,Java,java
1434,backbone-fundamentals,"London, England",11164,JavaScript,javascript
8140956,pyspider,"London, UK",10933,Python,python
28178404,plaid,London,10833,Java,java
9986737,vivus,"London, UK",9928,JavaScript,javascript
22041498,redux-devtools,"London, UK",9341,JavaScript,javascript
18535,iCarousel,UK,9300,Objective-C,objective-c
52463,jsPDF,"Leeds, UK",8666,JavaScript,javascript
9402294,rclone,"Guildford, UK",8509,Go,go
10804719,react-hot-loader,"London, UK",8435,JavaScript,javascript
22093444,redux-thunk,"London, UK",8042,JavaScript,javascript
8184,syntastic,UK,7788,VimL,erlang
20607710,cheesesquare,"London, UK",7619,Java,java
5049584,sharp,"London, UK",7603,JavaScript,javascript
22841,django-rest-framework,"Brighton, UK",7445,Python,python
7025061,Calligraphy,London,7215,Java,java
1394906,etherpad-lite,UK,7212,JavaScript,javascript
4904730,parallax,London,7028,JavaScript,javascript
22045051,inferno,"London, United Kingdom",7027,JavaScript,javascript
40530,markdown-js,"London, UK",6954,JavaScript,javascript
15880340,browser-sync,"Nottingham, UK",6746,JavaScript,javascript
4866908,headroom.js,"Wales, UK",6575,JavaScript,javascript
10518218,critical,"London, England",6574,JavaScript,javascript
8116418,matter-js,London,6106,JavaScript,javascript
766,asi-http-request,"London, UK",5840,Objective-C,objective-c
11634539,jwt-auth,"Manchester, UK",5619,PHP,php
48110,DataTables,Scotland,5471,JavaScript,javascript
81335,Catch,UK,5391,C++,c++
5741726,golearn,London,5348,Go,go
1430096,colour-schemes,"Wales, UK",5159,JavaScript,javascript
1390359,Pikaday,UK,5008,JavaScript,javascript
2257593,twoway-view,"London, UK",4966,Java,java
22045114,bocker,"Brighton, United Kingdom",4875,Shell,shell
12279655,Reachability.swift,London,4771,Swift,swift
799,linux,"Cambridge, UK",4737,C,c
4998659,moviepy,"Edinburgh, United Kingdom",4632,Python,python
12720737,react-dnd,"London, UK",4628,JavaScript,javascript
4120130,colors,London,4596,CSS,javascript
11435,SparkleShare,"London, UK",4522,C#,c#
24810010,react-css-modules,London,4516,JavaScript,javascript
9638011,css-loaders,London,4467,CSS,javascript
6192576,Android-Bootstrap,"Bath, UK",4298,Java,java
16479953,MaterialDesignInXamlToolkit,London,4293,C#,c#
34342,StickyListHeaders,"London, England",4266,Java,java
6758820,ShowcaseView,Manchester,4198,Java,java
30092670,paperless,"Cambridge, UK",4172,Python,python
11568218,react-hot-boilerplate,"London, UK",4105,JavaScript,javascript
2820036,pixi.js,London UK,4092,JavaScript,javascript
29029127,micro,London,4088,Go,go
5791,socketstream,"London, UK",4064,JavaScript,javascript
4203,html5demos,"Brighton, UK",4047,HTML,javascript
728838,hello.js,"London, UK",3965,JavaScript,javascript
19073614,Android-Boilerplate,Brighton,3845,Java,java
5160353,subsampling-scale-image-view,Bristol,3828,Java,java
10829314,accounting.js,London,3826,JavaScript,javascript
9941,jPlayer,"Edinburgh, UK",3749,JavaScript,javascript
25045443,react-transform-boilerplate,"London, UK",3737,JavaScript,javascript
2770,iRate,UK,3642,Objective-C,objective-c
22807,anchor-cms,UK,3625,PHP,php
1963776,bfg-repo-cleaner,"London, United Kingdom",3610,Scala,scala
29890,snowplow,"London, UK",3608,Scala,scala
13721,frontend,London,3598,HTML,javascript
20643292,redux,"London, UK",3587,JavaScript,javascript
33523,rabbitmq-server,"London, UK",3572,Erlang,erlang
5146456,FXBlurView,UK,3553,Objective-C,objective-c
4563307,icepick,London,3535,Clojure,clojure
25963,peity,London,3495,HTML,javascript
2752178,jsonschema2pojo,"Bristol, United Kingdom",3473,Java,java
10034164,engine,"London, UK",3421,JavaScript,javascript
10778059,py-must-watch,"London, United Kingdom",3393,HTML,python
1537844,PhantomCSS,"London, UK",3358,JavaScript,javascript
29245759,searchkit,"London, UK",3320,TypeScript,javascript
5179902,Provenance,"London, UK",3274,C,c
12197357,pagePiling.js,"Cambridge, UK",3237,JavaScript,javascript
13153910,Aeron,London,3218,Java,java
25591274,archi,"Brighton, UK ",3217,Java,java
23785947,ContentTools,"Worcester, UK",3204,JavaScript,javascript
10448765,fast.js,"York, UK",3194,JavaScript,javascript
24256407,dryrun,"London, UK",3192,Ruby,ruby
11499023,normalizr,"London, UK",3173,JavaScript,javascript
11911,heatmap.js,London,3168,JavaScript,javascript
27579215,DGElasticPullToRefresh,"London, United Kingdom",3156,Swift,swift
5393242,VCTransitionsLibrary,"Newcastle, UK",3153,Objective-C,objective-c
4238,bootstrap-wysihtml5,London,3149,JavaScript,javascript
20664928,ajv,"London, UK",3116,JavaScript,javascript
8090020,sharelatex,"London, UK",3111,CoffeeScript,ruby
4101347,iframe-resizer,London,3109,JavaScript,javascript
20467156,css-in-js,"London, UK",3101,JavaScript,javascript
5362935,fastdom,"London, UK",3095,JavaScript,javascript
20519,joda-time,"London, UK",3094,Java,java
1432150,Unslider,UK,3071,JavaScript,javascript
125395,simpl,"London, England",3023,HTML,javascript
11467223,weave,London,2987,Go,go
33357,compojure,"London, UK",2923,Clojure,clojure
11587582,clean-css,United Kingdom,2895,JavaScript,javascript
51920,libextobjc,"London, United Kingdom",2879,Objective-C,objective-c
57140,essential-js-design-patterns,"London, England",2873,HTML,javascript
31447926,synergy,"Camberley, Surrey, UK",2867,C,c
7748273,wagtail,UK,2842,Python,python
25173953,SwiftyStoreKit,London,2829,Swift,swift
5042636,sonic-pi,"Cambridge, UK",2813,Ruby,ruby
29029035,go-micro,London,2792,Go,go
8313158,jquery-match-height,London,2782,JavaScript,javascript
21671,Sequence,"Devon, UK",2774,JavaScript,javascript
36955,TouchSwipe-Jquery-Plugin,London,2750,JavaScript,javascript
9983055,psi,"London, England",2733,JavaScript,javascript
62156,FluentValidation,UK,2702,C#,c#
4847,sketch.js,London,2682,JavaScript,javascript
10138554,vtop,"Leeds, UK",2676,JavaScript,javascript
28860633,animate,"Brighton, UK",2630,Java,java
82839,jsnes,"London, UK",2603,JavaScript,javascript
24543777,git-radar,London,2549,Shell,shell
559813,highland,"Sheffield, UK",2526,JavaScript,javascript
8365199,mixitup,"London, UK",2477,JavaScript,javascript
90825,dns,"London, UK",2458,Go,go
17129968,react-data-grid,"London, UK",2426,JavaScript,javascript
10490024,polyfill-service,London,2418,JavaScript,javascript
9000,backbone-forms,London,2414,JavaScript,javascript
34536,git-up,London,2351,Ruby,ruby
28237819,Gutenberg,"London, UK",2342,CSS,javascript
43093945,terrain,"Swansea, Wales",2342,JavaScript,javascript
18318395,HackingWithSwift,"Bath, UK",2340,Swift,swift
39863,to-markdown,London,2325,JavaScript,javascript
23605,basket.js,"London, England",2318,JavaScript,javascript
25731069,ag-grid,United Kingdom,2296,JavaScript,javascript
13630397,Font-Awesome-SVG-PNG,United Kingdom,2286,JavaScript,javascript
25061304,ActiveLabel.swift,"London, UK",2227,Swift,swift
4926223,echo,"England, UK",2198,JavaScript,javascript
8631300,ngInfiniteScroll,"London, UK",2196,CoffeeScript,javascript
25006,rabbitmq-tutorials,"London, UK",2185,C#,c#
8337278,racer,UK,2174,Rust,rust
29185598,tyk,London,2164,Go,go
14622,firmware,"Cambridge, UK",2158,C,c
603146,pthreads,United Kingdom,2146,C,c
2750420,Resemble.js,"London, UK",2140,JavaScript,javascript
26040811,react-native-device-info,London,2133,Objective-C,objective-c
1027661,markdown-editor,"London, UK",2128,JavaScript,javascript
23662,nodeunit,"Sheffield, UK",2117,JavaScript,javascript
29395,SwipeView,UK,2115,Objective-C,objective-c
22057019,MaterialShowcaseView,Belfast,2109,Java,java
8355399,FXForms,UK,2106,Objective-C,objective-c
41217,django-reversion,"Cambridge, UK",2105,Python,python
22089289,discord.js,United Kingdom,2091,JavaScript,javascript
92178,enquire.js,"Wales, UK",2086,JavaScript,javascript
37594,faye,"London, UK",2085,JavaScript,javascript
2449662,ImageOptim,London,2082,HTML,objective-c
7753641,minicron,"London, UK",2082,Ruby,ruby
7882598,parker,Sheffield,2077,JavaScript,javascript
28832326,ied,London,2071,JavaScript,javascript
6796,nerdcommenter,UK,2069,VimL,ruby
10522554,lwip,London,2067,C,c
90652,wiremock,London,2044,Java,java
9036538,angular-drag-and-drop-lists,London,2030,JavaScript,javascript
4644,d3-cloud,"London, UK",2006,JavaScript,javascript
8787615,devices.css,London,1997,CSS,javascript
11183,ProgressWheel,UK,1986,Java,java
91547,shapeless,"Brighton, UK",1964,Scala,scala
854407,EventStore,UK,1941,C#,c#
17899755,httpdiff,London,1935,Go,go
5431349,grunt-uncss,"London, England",1927,HTML,javascript
129456,libvips,"London, UK",1912,C,c
13562268,language-ext,London,1908,C#,c#
28556,ghostdriver,"London, UK",1907,Java,java
25090094,DGRunkeeperSwitch,"London, United Kingdom",1902,Swift,swift
18315581,Android-Boilerplate,"Brighton, UK",1887,Java,java
8922876,documentation,"Cambridge, UK",1868,Ruby,ruby
15205724,OptiKey,"London, UK",1868,C#,c#
3237506,libphonenumber-for-php,UK,1858,PHP,php
8808192,shutit,London,1844,Python,python
17160,Crouton,"London, UK",1826,Java,java
22041640,minigrid,"London, England",1818,CSS,javascript
10305987,protobuf-net,UK,1811,C#,c#
30397162,Filterpedia,"London, United Kingdom",1794,Swift,swift
173726,git-aware-prompt,"London, United Kingdom",1775,Shell,shell
3254933,wisper,"Nottingham, UK",1772,Ruby,ruby
29331990,ImageViewer,"London, UK",1757,Swift,swift
56356417,paint,"London, UK",1744,JavaScript,javascript
6699074,scribe,London,1739,JavaScript,javascript
7415,mit-license,"Brighton, UK",1737,CSS,php
7277794,generator-react-webpack,UK,1726,JavaScript,javascript
1537,jScrollPane,"London, UK",1719,HTML,javascript
26613,ODRefreshControl,"London, UK",1708,Objective-C,objective-c
12925076,swing,London,1676,JavaScript,javascript
14596,Nestable,UK,1670,JavaScript,javascript
13068009,vizicities,"London, UK",1670,JavaScript,javascript
8569514,fixer-io,London,1643,Ruby,ruby
56830111,Just-Another-Android-App,London,1642,Java,java
20678055,DGActivityIndicatorView,"London, United Kingdom",1641,Objective-C,objective-c
6837918,SnappyDB,London,1638,HTML,c++
4235968,highcharts-ng,London,1638,JavaScript,javascript
42591,iVersion,UK,1632,Objective-C,objective-c
4606438,pngquant,London,1629,C,c
15710174,atom-pair,"London, UK",1620,JavaScript,javascript
12375500,SimulatorStatusMagic,"Chester, UK",1617,Objective-C,objective-c
20139384,awslogs,"London, UK",1610,Python,python
19572135,webpack-hot-middleware,"Sheffield, United Kingdom",1609,JavaScript,javascript
11173910,react-leaflet,London,1607,JavaScript,javascript
679,yaaw,"London, UK",1604,JavaScript,javascript
12347262,gitlet,"London, UK",1581,JavaScript,javascript
13128433,tmi,"London, England",1578,JavaScript,javascript
8413288,Shimmer-android,"London, UK",1563,Java,java
1042895,sir-trevor-js,"London, UK",1560,JavaScript,javascript
8573359,Titanic,"London, UK",1559,Java,java
7516473,StreamingKit,London,1556,Objective-C,objective-c
22083601,lightfm,"London, UK",1550,Python,python
186710,javascript-koans,"London, UK",1544,JavaScript,javascript
4051427,amqp.node,"London, England",1541,JavaScript,javascript
34445,hiccup,"London, UK",1525,Clojure,clojure
1821143,idea-live-templates,"London, UK",1518,Shell,shell
5426745,ios-custom-alertview,London,1515,Objective-C,objective-c
62741,python-phonenumbers,"London, UK",1515,Python,python
