id,name,location,num_watchers,language,newLanguage
3094909,intro.js,Dublin,10251,JavaScript,javascript
3329997,stackedit,"Dublin, Ireland",8370,JavaScript,javascript
11985517,jimp,Ireland,5710,JavaScript,javascript
27194,rufus,Ireland,4683,C,c
8923565,portia,"Cork, Ireland",3990,JavaScript,javascript
4700528,LokiJS,"Cork, Ireland",3785,JavaScript,javascript
5374380,mongoose,"Dublin, Ireland",3408,C,c
13034,jquery-qrcode,"Dublin, Ireland",3384,JavaScript,javascript
11797614,awesome-svg,"Dublin, Ireland",2714,Ruby,ruby
22045103,toxy,"Dublin, Ireland",2361,JavaScript,javascript
18846437,InversifyJS,Dublin,2235,TypeScript,javascript
21326794,OAStackView,"Dublin, Ireland",2144,Objective-C,objective-c
32871389,attendize,"Dublin, Ireland",2020,PHP,php
10133166,Swifter,"Dublin, Ireland",1974,Swift,swift
9720233,shairport-sync,"Dublin, Ireland",1917,C,c
6799310,go.uuid,"Dublin, Ireland",1803,Go,go
4390449,splash,"Cork, Ireland",1739,Python,python
17093587,pg-promise,"Wicklow, Ireland",1704,JavaScript,javascript
4663694,anaconda,Dublin,1693,Python,python
18440499,imaginary,"Dublin, Ireland",1637,Go,go
4522379,freeablo,"Dublin, Ireland",1591,C++,c++
7963498,progress.js,Dublin,1490,JavaScript,javascript
9800471,Leonids,Dublin,1437,Java,java
2297387,XlsxWriter,Ireland,1313,Python,python
8706170,android-signaturepad,"Dublin, Ireland",1236,Java,java
17382975,Dragger,Dublin - Ireland,1210,Java,java
13612441,iota,"Dublin, Ireland",1203,Rust,rust
