id,name,location,num_watchers,language,newLanguage
18006157,awesome-react-native,"Tel Aviv, Israel",17585,Ruby,ruby
15039139,blessed-contrib,Israel,11236,JavaScript,javascript
17729147,ios-charts,Israel,8093,Swift,swift
17327635,UpUp,"Tel Aviv, Israel",4093,HTML,javascript
5251295,annyang,"Tel Aviv, Israel",3522,JavaScript,javascript
1970524,q,Israel,3272,Python,python
13057149,spdlog,Israel,3178,C++,c++
3671,sorcery,Israel,2616,Ruby,ruby
3863843,angular-moment,Israel,2562,JavaScript,javascript
22069136,wopr,Israel,2541,JavaScript,javascript
24298923,LNPopupController,"Tel Aviv, Israel",2154,Objective-C,objective-c
23994,graphene,"Tel Aviv, Israel",1995,CSS,javascript
3839775,reflections,Tel-Aviv,1875,Java,java
13285,oauthlib,"Tel Aviv, Israel",1626,Python,python
12885643,spider,Israel,1503,JavaScript,javascript
50719,plumbum,Israel,1482,Python,python
27650,clippy.js,"Tel Aviv, Israel",1356,JavaScript,javascript
37892686,elementor,Israel,1250,JavaScript,javascript
52592753,FadingTextView,Israel,1219,Java,java
