id,name,location,num_watchers,language,newLanguage
6009,gitolite,"Hyderabad, India",6389,Perl,perl
2474531,hint.css,"Delhi, India",5260,CSS,javascript
5636078,docker-gitlab,"Goa, India",4878,Shell,shell
21209121,Timber,"New Delhi, India",4384,Java,java
3879861,calibre,"Mumbai, India",3944,Python,python
25786233,adonis-framework,India,3742,JavaScript,javascript
11623902,uiGradients,Bangalore,3529,JavaScript,javascript
3214055,koreader,Around the world,3390,Lua,lua
8280443,lightGallery,Bangalore,3093,JavaScript,javascript
7976200,erpnext,"Mumbai, India",2990,Python,python
26334469,wooyun_public,cn,2549,Python,python
742622,android-saripaar,"Chennai, India",2496,Java,java
27392789,Mancy,"Chennai, India",2434,JavaScript,javascript
31658371,googler,"Bangalore, India",2258,Python,python
28715143,Sensey,"Gurgaon, IN",2217,Java,java
182243,sugar,Bangalore,2144,Java,java
28482595,Seq2Seq,India,1983,Python,python
41295977,Java,"Chandigarh, India",1969,Java,java
60794061,PatternLockView,India,1954,Java,java
18403,redis-rdb-tools,"Bangalore, India",1909,Python,python
19686018,iconate,"Bangalore, India",1891,JavaScript,javascript
22070834,popcorn-desktop,All around the world,1872,JavaScript,javascript
29823801,MovieGuide,New Delhi,1832,Java,java
29933554,Timeline-View,New Delhi,1809,Java,java
31417883,express-mongoose-es6-rest-api,Mumbai,1795,JavaScript,javascript
30077849,Buku,"Bangalore, India",1719,Python,python
14864603,competitive-programming,India,1707,C++,c++
27620142,Github-profile-name-writer,Hyderabad,1669,Python,python
17817558,cta.js,"Delhi, India",1614,JavaScript,javascript
8950072,lightslider,Bangalore,1609,JavaScript,javascript
13567603,rust-clippy,"Mumbai, India",1509,Rust,rust
8896389,wetty,Bangalore,1460,JavaScript,javascript
25849511,Minimal-Todo,India,1371,Java,java
2403527,angular-dragdrop,"Navi Mumbai, India",1342,HTML,javascript
24268511,Mobile-Security-Framework-MobSF,"Bangalore, India",1319,Python,python
25849932,Instant-Music-Downloader,"New Delhi, India",1291,Python,python
18476535,understanding-es6,Bengaluru,1275,JavaScript,javascript
8986143,MJParallaxCollectionView,"Ahmedabad, Gujarat",1271,Objective-C,objective-c
9062649,CMS,India,1264,PHP,php
18439072,spring-boot-microservices,Pune,1203,Java,java
7749895,rest-client,"Chennai, India",1172,Java,java
11743280,RippleView,"Bangalore, India",1168,Java,java
