id,name,location,num_watchers,language,newLanguage
20119964,waifu2x,"Tokyo, Japan",10672,Lua,lua
13335799,Android-ObservableScrollView,Japan,8863,Java,java
14758742,recyclerview-animators,"Tokyo, Japan",7651,Java,java
21971963,stf,Tokyo,6580,JavaScript,javascript
316,kaminari,"Tokyo, Japan",6387,Ruby,ruby
40964011,Karabiner-Elements,Japan,6134,C++,c++
5856434,HikariCP,"Tokyo, Japan",5829,Java,java
639368,pyenv,"Tokyo, Japan",5685,Shell,c
15000245,glide-transformations,"Tokyo, Japan",5623,Java,java
24157653,PermissionsDispatcher,Japan,5375,Java,java
16325402,SmartTabLayout,Japan,5309,Java,java
5038361,c3,"Tokyo, Japan",5226,JavaScript,javascript
40611807,BossSensor,"Tokyo, Japan",4714,Python,python
1480937,perfect-scrollbar,"Tokyo, Japan",4573,JavaScript,javascript
3044523,android-gpuimage,"Tokyo, Japan",4306,Java,java
30589165,SVProgressHUD,GitHub,4282,Objective-C,objective-c
15500909,android-advancedrecyclerview,"Tokyo, Japan",3988,Java,java
35734,Sugar,Tokyo,3814,JavaScript,javascript
25819154,iOS-9-Sampler,"Tokyo, Japan",3786,Swift,swift
10237904,Karabiner,Japan,3713,C++,c++
14480973,KeychainAccess,Tokyo,3686,Swift,swift
18236982,richeditor-android,"Tokyo, Japan",3639,Java,java
29352245,prestissimo,Japan,3520,PHP,php
10624865,animsition,Tokyo,3476,CSS,javascript
25037627,LiquidFloatingActionButton,Japan,3360,Swift,swift
3284051,NJKWebViewProgress,Tokyo,3254,Objective-C,objective-c
11802012,iOS8-Sampler,"Tokyo, Japan",3183,Objective-C,objective-c
22043131,Blurry,"Tokyo, Japan",3173,Java,java
21976231,DOFavoriteButton,"Tokyo, Japan",3087,Swift,swift
13740446,SlideMenuControllerSwift,Shibuya,3017,Swift,swift
9817095,ExpandableTextView,"Tokyo, Japan",2899,Java,java
13517223,MaterialKit,"Shibuya, Japan",2665,Swift,swift
14505051,mozaik,"Osaka, Japan",2647,JavaScript,javascript
16208491,gore,"Kyoto, Japan",2582,Go,go
11428659,Timepiece,"Tokyo, Japan",2491,Swift,swift
328815,percol,Japan,2472,Python,python
6225284,earth,"Tokyo, Japan",2453,JavaScript,javascript
5967,web-socket-js,"Tokyo, Japan",2450,JavaScript,javascript
7836,twitter4j,"Tokyo, Japan",2424,Java,java
9806345,ZFDragableModalTransition,"Tokyo, Japan",2399,Objective-C,objective-c
9369941,gopsutil,Tokyo,2368,Go,go
3419130,CotEditor,Japan,2368,Objective-C,objective-c
42880,pdfminer,"Nagano, Japan",2339,Python,python
18295795,TourGuide,Japan,2313,Java,java
71429,UICKeyChainStore,Tokyo,2296,Objective-C,objective-c
8456448,AnimatedTransitionGallery,"Tokyo, Japan",2262,Objective-C,objective-c
14043,cufon,"Tokyo, Japan",2249,JavaScript,javascript
9673215,UniRx,"Tokyo, Japan",2243,C#,c#
35160185,nivo,"Osaka, Japan",2199,JavaScript,javascript
14616935,android-material-design-icon-generator-plugin,Tokyo Japan,2198,Java,java
7292065,the_platinum_searcher,"Fukuoka, Japan",2159,Go,go
12958,go-sqlite3,"Osaka, Japan",2089,C,c
23595220,TKSubmitTransition,"Tokyo, Japan",2087,Swift,swift
10818187,phonegap-facebook-plugin,"Tokyo, Japan",2080,Java,java
16354014,gopher-lua,"Tokyo, Japan",2069,Go,go
31610445,Fusuma,Japan,2051,Swift,swift
2410270,DeepLearning,Japan,1982,Java,java
27856750,NyaoVim,"Tokyo, Japan",1965,TypeScript,ruby
15196495,RecyclerView-FlexibleDivider,"Yokohama, Japan",1955,Java,java
3780954,toaruos,東京,1939,C,c
66267,aria2,Japan,1928,C++,c++
30530,rtorrent,Tokyo,1908,C++,c++
20534670,CoreStore,Tokyo,1854,Swift,swift
22480060,SimpleCropView,"Tokyo, Japan",1832,Java,java
503,axlsx,"Kyoto, Japan",1799,Ruby,ruby
22044317,WaveSwipeRefreshLayout,"Tokyo, Japan",1787,Java,java
23141690,esdoc,Japan,1783,JavaScript,javascript
2557619,scientific-python-lectures,Tokyo,1778,Jupyter Notebook,python
23772699,PullToBounce,"Tokyo, Japan",1717,Swift,swift
13067610,wtftw,"Tokyo, Japan",1689,Rust,rust
88123,autopep8,"Hyogo, Japan",1675,Python,python
17846195,npm-run-all,"Shizuoka, Japan",1673,JavaScript,javascript
17794424,endless,Tokyo,1646,Go,go
17924077,terraforming,"Tokyo, Japan",1641,Ruby,ruby
18195077,RMPZoomTransitionAnimator,"Tokyo, Japan",1639,Objective-C,objective-c
31177044,Gecco,Japan,1637,Swift,swift
24539051,Autoware,Japan,1629,C++,c++
21504920,Clipy,Tokyo,1561,Objective-C,objective-c
20859682,Fuel,"Tokyo, Japan",1510,Kotlin,kotlin
27389977,SKPhotoBrowser,"Tokyo, Japan",1510,Swift,swift
16663098,awesome-css,"Tokyo, JAPAN",1464,,shell
42925125,Onboarding,"Tokyo, Japan",1443,Java,java
22253032,Kanna,Japan,1435,Swift,c
24285248,Popover,"Tokyo, Japan",1435,Swift,swift
9923127,RACollectionViewReorderableTripletLayout,"Tokyo, Japan",1424,Objective-C,objective-c
147920,jsrsasign,"Tokyo, Japan",1420,HTML,javascript
1375712,nw-sample-apps,"Tokyo, Japan",1382,JavaScript,javascript
6756296,PulsingHalo,"Tokyo, Japan",1379,Objective-C,objective-c
16468210,APIKit,"Tokyo, Japan",1355,Swift,swift
15040564,picasso-transformations,"Tokyo, Japan",1350,Java,java
10521748,ZFRippleButton,"Tokyo, Japan",1340,Swift,swift
25154475,ExpandableLayout,"Tokyo, Japan",1324,Java,java
5622617,chrono,"Tokyo, Japan",1290,JavaScript,javascript
17949167,PreLollipopTransition,Japan,1277,Java,java
17986813,SAHistoryNavigationViewController,"Tokyo, Japan",1275,Swift,swift
26353,Bootstrap-Form-Builder,"Tokyo, Japan",1235,JavaScript,javascript
18201712,thumbnailator,"Tokyo, Japan",1210,Java,java
18364907,QBImagePicker,"Osaka, Japan",1200,Objective-C,objective-c
15422188,ArcLayout,Japan,1184,Java,java
2743726,pyenv-virtualenv,"Tokyo, Japan",1171,Shell,shell
