id,name,location,num_watchers,language,newLanguage
6025265,fzf,Seoul,13239,Go,go
5464882,vim-plug,Seoul,10223,VimL,shell
13461473,summernote,Seoul,7225,JavaScript,javascript
14897549,pinpoint,Republic of Korea,5589,Java,java
1912039,qrcodejs,South Korea,4268,JavaScript,javascript
9393242,crow,"Seoul, Korea",4099,C++,c++
30374166,DCGAN-tensorflow,"Seoul, Korea",3747,JavaScript,javascript
53298651,server,"Jeju, South Korea",3132,JavaScript,javascript
11744765,profiling,Korea,2578,Python,python
55654430,qart.js,"Seoul, Korea",2440,JavaScript,javascript
30217567,Then,"Seoul, Korea",2180,Swift,swift
3473185,vim-easy-align,Seoul,1920,VimL,shell
28796807,FinestWebView-Android,"Seoul, Korea",1768,Java,java
5743213,FFmpeg-iOS-build-script,Seoul,1725,Shell,shell
20886,redis-stat,Seoul,1604,Ruby,ruby
1479517,scaloid,"Incheon, Korea",1567,Scala,scala
11811754,awesome-sqlalchemy,"Seoul, Republic of Korea",1561,Python,python
28959860,Unreal.js,"Seoul, Korea",1515,C++,c++
9640334,Android-ParallaxHeaderViewPager,KOREA,1364,Java,java
14993114,slack-invite-automation,"Seoul, South Korea",1237,JavaScript,javascript
9469610,UzysAnimatedGifPullToRefresh,Korea,1222,Objective-C,objective-c
