id,name,location,num_watchers,language,newLanguage
62973,remark,"Tønsberg, Norway",6581,JavaScript,javascript
26148826,material-theme-jetbrains,Norway,5613,Java,java
26812426,kwm,Norway,3713,C++,c++
22044365,ImagePicker,Oslo,3552,Swift,swift
26254697,Whisper,Oslo,3342,Swift,swift
29123233,highcharts,Norway,3211,JavaScript,javascript
4538,SubtlePatterns,"Oslo, Norway",2926,PHP,php
1880876,node-notifier,"Trondheim, Norway",2851,JavaScript,javascript
29148948,IncludeOS,"Oslo, Norway",2829,C,c
6758559,FoundationPress,"Stavanger, Norway",2563,PHP,php
12799396,formsy-react,Norway,2483,JavaScript,javascript
30259934,Hue,Oslo,2452,Swift,swift
19563414,Presentation,Oslo,2436,Swift,swift
10559,Sinon.JS,Oslo,2411,JavaScript,javascript
5641263,frontend-maven-plugin,Oslo,2245,Java,java
17084968,imba,"Oslo, Norway",2061,JavaScript,javascript
6613024,byte-buddy,"Oslo, Norway",1876,Java,java
20190722,react-markdown,"Oslo, Norway",1785,JavaScript,javascript
31013163,OS.js,Norway,1721,JavaScript,javascript
16647116,Form,Oslo,1594,Objective-C,objective-c
15408047,react-webpack-cookbook,Norway,1552,JavaScript,javascript
16697011,Sync,Oslo,1548,Swift,objective-c
13677100,addict,Oslo,1504,Python,python
18952458,webpack-express-boilerplate,Norway,1450,JavaScript,javascript
28112199,tornadofx,"Tønsberg, Norway",1393,Kotlin,java
10621109,Simple-Web-Server,"Trondheim, Norway",1274,C++,c++
27335255,Spots,Oslo,1272,Swift,swift
