id,name,location,num_watchers,language,newLanguage
23353085,Google-Play-Music-Desktop-Player-UNOFFICIAL-,New Zealand,6260,C#,c#
5048,Newtonsoft.Json,"Wellington, New Zealand",4874,C#,c#
40092,emacs.d,"Wellington, New Zealand",3682,Emacs Lisp,shell
22054076,docker-elk,"Auckland, NZ",3671,Shell,shell
9766644,Cpp-Primer,"Auckland, New Zealand",2962,C++,c++
12327555,perfmap,"Auckland, New Zealand",2680,JavaScript,javascript
26461448,devd,"Dunedin, New Zealand",2598,Go,go
12075870,foaas,"Wellington, NZ",1863,CoffeeScript,javascript
30543465,apns2,New Zealand,1776,Go,go
9690910,NoahGameFrame,Auckland,1499,C++,c++
6200458,CustomShapeImageView,"Wellington, New Zealand",1350,Java,java
2841507,Learning-Go-zh-cn,"Auckland, NZ",1349,TeX,go
5373251,httpoison,"Wellington, New Zealand",1291,Elixir,elixir
76732,node-irc,"Wellington, New Zealand",1274,JavaScript,javascript
25611,event-stream,New Zealand,1221,JavaScript,javascript
2653375,goxc,Auckland,1220,Go,go
34673,traccar,Auckland,1206,Java,java
