id,name,location,num_watchers,language,newLanguage
10812681,design-patterns-in-swift,"Wrocław, Poland",9243,Swift,swift
22224104,aos,Poznań,5632,JavaScript,javascript
2401584,android-gif-drawable,"Wrocław, Poland",5552,Java,java
10630786,CryptoSwift,Poland,5135,Swift,swift
13364914,InstaMaterial,Cracow,4688,Java,java
11354,virtus,"Cracow, Poland",3576,Ruby,ruby
15298938,SwiftyUserDefaults,"Toruń, Poland",3131,Swift,swift
28770142,betwixt,"Kraków, Poland",2769,JavaScript,javascript
19860,inherited_resources,"Kraków, Poland",2730,Ruby,ruby
19252509,electron-boilerplate,"Kraków, Poland",2441,JavaScript,javascript
27967783,ArchiSteamFarm,"Warsaw, Poland",2352,C#,c#
12825533,KZPlayground,"Warsaw, Poland",2255,Objective-C,objective-c
457398,phantomas,"Poznań, Poland",2020,JavaScript,javascript
15896289,carbon,Warsaw,1986,Java,java
35532862,BlurView,Krakow,1935,Java,java
2415090,android-parcelable-intellij-plugin,Poland,1888,Java,java
7682525,Android-ReactiveLocation,Poland,1879,Java,java
5295339,RATreeView,Warsaw,1801,Objective-C,objective-c
5365132,vim-polyglot,Poland,1761,VimL,shell
18935677,dom-to-image,"Wroclaw, Poland",1752,JavaScript,javascript
22336896,ResponseDetective,"Poznań, Poland",1729,Swift,swift
23661770,ReactiveNetwork,"Gliwice, Poland",1726,Java,java
3446481,saleor,Wrocław,1678,Python,python
22066621,CKWaveCollectionViewTransition,Warsaw,1676,Swift,swift
277543,angular-http-auth,"Poznań, Poland",1665,JavaScript,javascript
4877698,MZFormSheetController,"Cracow, Poland",1626,Objective-C,objective-c
8978036,KZBootstrap,"Warsaw, Poland",1612,Objective-C,objective-c
34802,SublimeREPL,"Warsaw, Poland",1575,Python,python
10940292,MotionBlur,"Warsaw, Poland",1548,Objective-C,objective-c
28519541,MPParallaxView,"Wroclaw, Poland",1547,Swift,swift
30159250,LikeAnimation,Cracow,1543,Java,java
10970856,baguetteBox.js,Poland,1536,JavaScript,javascript
10087953,swifter,"Warsaw, Poland",1509,Swift,swift
8706834,sharedrop,Gliwice,1435,JavaScript,javascript
14723758,XcodeSwiftSnippets,"Kraków, Poland",1387,Swift,swift
16770821,OOD-Principles-In-Swift,"Wrocław, Poland",1349,Swift,swift
24155642,termtile,"Warsaw, Poland",1348,AppleScript,shell
9365440,php-humanizer,Kraków,1340,PHP,php
21155592,dnstwist,Poland,1315,Python,python
18279938,RecyclerViewHeader,"Warsaw, Poland",1261,Java,java
