id,name,location,num_watchers,language,newLanguage
18521760,thefuck,"Russia, Saint-Petersburg",35268,Python,python
6437914,ionic,The internet,29710,JavaScript,javascript
13417498,FiraCode,"Novosibirsk, Russia",21093,Clojure,clojure
634,symfony,The Internet,15821,PHP,php
1043143,bootstrap,The Internet,15412,JavaScript,javascript
54491,Swiper,Russian Federation,14387,JavaScript,javascript
2847808,ui-router,The Internet,14379,JavaScript,javascript
2284,PHPExcel,The Internet,9980,PHP,php
30127278,frp,"SH,China",9776,Go,go
8160874,Framework7,Russian Federation,9138,JavaScript,javascript
17692055,js-cookie,The internet,8678,JavaScript,javascript
46926518,WaveFunctionCollapse,Moscow,8085,C#,c#
683351,backbone.marionette,the interwebs,8067,JavaScript,javascript
5838603,ionicons,The internet,7846,HTML,python
26784969,react-native-desktop,Novosibirsk,7278,Objective-C,objective-c
524804,core,The Internet,6550,PHP,php
31167461,Zappa,/dev/null,6297,Python,python
7090134,core-js,"Russia, Barnaul",5701,JavaScript,javascript
36374,nginx-rtmp-module,Moscow,5478,C,c
3912978,gor,Saint Petersburg,5231,Go,go
16976630,AnyBar,"Novosibirsk, Russia",4533,Objective-C,objective-c
22057494,data-science-blogs,Russia,4227,Python,python
13022404,evil-icons,"Moscow, Russia",3933,Ruby,ruby
1882735,gruvbox,"Russia, Moscow",3888,VimL,shell
29232689,react-native-scrollable-tab-view,Ulyanovsk,3814,JavaScript,javascript
151229,elasticsearch-analysis-ik,internet,3800,Java,java
8342186,kphp-kdb,"St.Petersburg, Russia",3781,C,c
9972987,ng-cordova,The internet,3728,JavaScript,javascript
1467143,x-editable,Moscow,3603,JavaScript,javascript
202383,vlc,The internet,3583,C,c
8566,gocode,"Yekaterinburg, Russia",3458,Go,go
10945946,Vide,"Russia, Saint Petersburg",3395,JavaScript,javascript
449779,emmet-sublime,"Saint-Petersburg, Russia",3352,JavaScript,javascript
4996238,angular-file-upload,"Russia, Ryazan",3279,JavaScript,javascript
5406587,ui-select,The Internet,3266,JavaScript,javascript
4068,jruby,The Internet,3208,Ruby,ruby
16205687,tween.js,The Internet,3116,JavaScript,javascript
25593181,offline-plugin,"Russia, St. Petersburg",2965,JavaScript,javascript
4090,luvit,The Internet,2937,Lua,lua
106864,easings.net,"Saint Petersburg, Russia",2860,CSS,ruby
2157,elFinder,"Moscow, Russian Federation",2859,JavaScript,javascript
13832870,browserslist,"Saint Petersburg, Russia",2847,JavaScript,javascript
5383465,EAIntroView,"Kazan, Russia",2789,Objective-C,objective-c
149843,gspread,Moscow,2780,Python,python
1665150,ng-grid,The Internet,2777,JavaScript,javascript
11227738,angular-google-maps,The Internet,2762,CoffeeScript,javascript
87033,PHPWord,The Internet,2760,PHP,php
6208705,datetimepicker,Russian Federation,2728,JavaScript,javascript
9569222,PiggyMetrics,"Moscow, Russia",2717,CSS,java
7976766,Remodal,"Russia, Saint Petersburg",2685,JavaScript,javascript
17560729,Nuke,Moscow,2682,Swift,swift
13511499,Mailpile,Internet,2639,Python,python
9357738,datascript,"Novosibirsk, Russia",2614,Clojure,clojure
546037,android,The Internet,2602,Java,java
39474,termbox-go,"Yekaterinburg, Russia",2588,Go,go
5283846,primus,The Internet,2586,JavaScript,javascript
21120552,google-map-react,Moscow,2576,JavaScript,javascript
22044500,ui-grid,The Internet,2559,JavaScript,javascript
18211895,centrifugo,Moscow,2502,Go,go
11761471,getbem.com,Internet,2416,JavaScript,javascript
8310,comfortable-mexican-sofa,The Internet,2367,Ruby,ruby
41035009,Pokemon_Go_API,"Penza, Russia",2323,Python,python
139262,netty-socketio,Moscow,2308,Java,java
135337,Console,The Internet,2228,PHP,php
4742,python-mode,"Russia, Moscow",2193,Python,python
1362166,kxmovie,Russia,2144,Objective-C,objective-c
13574677,osx-terminal-themes,"Kaliningrad, Russia",2114,Swift,swift
22507676,RichText,uestc,2028,Java,java
5225,processing-js,The Internet,1987,Processing,javascript
26212465,http-foundation,The Internet,1932,PHP,php
38077,Process,The Internet,1930,PHP,php
12224979,var-dumper,The Internet,1887,PHP,php
38124,Finder,The Internet,1858,PHP,php
27776563,polyfill-mbstring,The Internet,1838,PHP,php
18884,gon,"Russia, Saint-Petersburg",1833,Ruby,ruby
237290,Routing,The Internet,1813,PHP,php
1386209,FileAPI,Russia,1807,JavaScript,javascript
27307081,event-dispatcher,The Internet,1795,PHP,php
3327582,Debug,The Internet,1775,PHP,php
151740,elasticsearch-rtf,internet,1771,JavaScript,javascript
5281369,angular-xeditable,Moscow,1752,JavaScript,javascript
26130969,http-kernel,The Internet,1749,PHP,php
27688780,ionic-conference-app,The internet,1732,JavaScript,javascript
214648,android-flowlayout,"Izhevsk, Russia",1729,Java,java
1390818,emmet,"Moscow, Russia",1724,CSS,javascript
11975,symfony-standard,The Internet,1717,PHP,php
315172,Translation,The Internet,1664,PHP,php
30456253,react-konva,"Krasnoyarsk, Russia",1663,JavaScript,javascript
21748040,posthtml,"Moscow, Russia",1659,JavaScript,javascript
11761587,Glance-Bookmarklet,/dev/null,1616,JavaScript,javascript
10098,recline,The Internet,1578,JavaScript,javascript
11064227,Glance,/dev/null,1576,JavaScript,javascript
10070,symfony-docs,The Internet,1549,PHP,c++
504620,jQuery.my,"Arkhangelsk, Russia",1513,JavaScript,javascript
7346159,redisson,Moscow,1503,Java,java
1027308,grab,"Omsk, Russia",1498,Python,python
26377134,css-selector,The Internet,1498,PHP,php
21598778,LGSideMenuController,Russia,1435,Objective-C,objective-c
21415878,react-static-boilerplate,"Saint Petersburg, Russia",1434,JavaScript,javascript
12834956,Size-Marks-PS,Moscow,1433,JavaScript,javascript
12637297,yandex-tank,"Moscow, Russia",1419,Python,python
5683380,android-inapp-billing-v3,Vladimir,1413,Java,java
480379,linuxdeploy,Russia,1400,JavaScript,javascript
16552324,awesome-typescript-loader,Moscow,1386,TypeScript,javascript
14395841,stocksharp,"Russia, Moscow",1369,C#,c#
12520304,laravel-nestedset,Russia,1356,PHP,php
30853833,awk-raycaster,Saint Petersburg,1352,Awk,awk
6941034,aptly,"Moscow, Russia",1344,Go,go
3076646,ui-calendar,The Internet,1339,JavaScript,javascript
3771102,kxmenu,Russia,1331,Objective-C,objective-c
29170725,ionic-native,The internet,1321,JavaScript,javascript
22178294,TBIconTransitionKit,Saint Petersburg,1300,Objective-C,objective-c
13043027,DFImageManager,Moscow,1274,Objective-C,objective-c
27776549,polyfill-php70,The Internet,1256,PHP,php
42561208,dbglass,Moscow,1229,CSS,javascript
12845169,material-design-iconic-font,Moscow,1218,CSS,javascript
3188150,Toolkit,Internet,1210,JavaScript,javascript
6524708,ionic-cli,The internet,1202,JavaScript,javascript
3777512,PocketMine-MP,Internet,1197,PHP,php
25655849,DotFiles,/dev/null,1187,VimL,shell
3419658,ui-sortable,The Internet,1173,JavaScript,javascript
