id,name,location,num_watchers,language,newLanguage
10512714,awesome-python,"Taipei, Taiwan",46484,Python,python
20161965,electron-react-boilerplate,"Taipei, Taiwan",8243,JavaScript,javascript
6434212,ShortcutBadger,"Taipei, Taiwan",4462,Java,java
10412281,macdown,"Taipei, Taiwan",4084,Objective-C,objective-c
12600482,fast-ruby,"Taipei, Taiwan",3986,Ruby,ruby
4498345,CHTCollectionViewWaterfallLayout,"Taipei, Taiwan",2670,Objective-C,objective-c
26162616,labelImg,Taipei,2445,Python,python
25987173,awesome-rails-gem,"Taipei, Taiwan",2298,Ruby,ruby
4380024,ngStorage,"Taipei, Taiwan",2210,JavaScript,javascript
18643257,react-bootstrap-table,Taiwan,1967,JavaScript,javascript
21732503,pyTelegramBotAPI,Taiwan,1400,Python,python
26171848,react-native-webrtc,Taiwan,1354,Objective-C,objective-c
18975889,UserFlows,"Taipei, Taiwan",1251,JavaScript,javascript
27554274,libwebsockets,Taipei,1205,C,c
