id,name,location,num_watchers,language,newLanguage
17797320,black-screen,"Ukraine, Lviv",10586,TypeScript,javascript
30529755,uCrop,"Ukraine, Dnipro",6839,Java,java
5414190,RedisDesktopManager,Ukraine,6681,C++,c++
19305696,Clusterize.js,"Odessa, Ukraine",5678,JavaScript,javascript
27623900,fasthttp,Kiev,5426,Go,go
27586764,structor,Ukraine,5152,JavaScript,javascript
10103538,circular-progress-button,"Ukraine, Lviv",4891,Java,java
15082681,Side-Menu.Android,"Ukraine, Dnipro",4644,Java,java
10957348,FloatingActionButton,"Kharkov, Ukraine",4237,Java,java
3125388,RE-for-beginners,"Kiev, Ukraine",4080,TeX,assembly
10215,Metro-UI-CSS,"Kiev, Ukraine",4063,JavaScript,javascript
17421504,Phoenix,"Ukraine, Dnipro",3862,Java,java
18313948,FoldingTabBar.iOS,"Ukraine, Dnipro",3565,Objective-C,objective-c
20315950,react-ui-builder,Ukraine,3543,JavaScript,javascript
22029287,Koloda,"Ukraine, Dnipro",3494,Swift,swift
15076175,Context-Menu.Android,"Ukraine, Dnipro",3365,Java,java
30382737,bash-handbook,"Ukraine, Chernivtsi",3262,JavaScript,javascript
27681908,StarWars.iOS,"Ukraine, Dnipro",3185,Swift,swift
7019686,ngDialog,Kiev,3138,JavaScript,javascript
27396516,slidingtutorial-android,Ukraine,2986,Java,java
17089836,Persei,"Ukraine, Dnipro",2966,Swift,swift
9737268,android-process-button,"Ukraine, Lviv",2801,Java,java
18762332,GuillotineMenu,"Ukraine, Dnipro",2726,Swift,swift
19737681,Jets.js,"Odessa, Ukraine",2683,JavaScript,javascript
15248377,Side-Menu.iOS,"Ukraine, Dnipro",2607,Swift,swift
24843238,ng2-bootstrap,Kharkov,2596,TypeScript,javascript
21306850,GuillotineMenu-Android,"Ukraine, Dnipro",2547,Java,java
3577831,ng-table,Vinnitsa,2473,JavaScript,javascript
30865290,VideoPlayerManager,"Ukraine, Lviv",2450,Java,java
31585553,spaceship-zsh-theme,"Ukraine, Chernivtsi",2409,Shell,shell
15125364,Pull-to-Refresh.Rentals-iOS,"Ukraine, Dnipro",2214,Objective-C,objective-c
17484527,Euclid,"Ukraine, Dnipro",2130,Java,java
16189836,AndroidTreeView,"Lviv, Ukraine",2047,Java,java
15567015,Context-Menu.iOS,"Ukraine, Dnipro",1877,Objective-C,objective-c
18616744,FlipViewPager.Draco,"Ukraine, Dnipro",1838,Java,java
20321188,PullToMakeSoup,"Ukraine, Dnipro",1811,Objective-C,objective-c
29883712,StarWars.Android,"Ukraine, Dnipro",1779,Java,java
2173444,fn.py,"Kyiv, Ukraine",1772,Python,python
56255766,ChatKit,Ukraine,1704,Java,java
34833662,DisplaySwitcher,"Ukraine, Dnipro",1700,Swift,swift
8835,ckeditor,"Ukraine, Kiev",1622,Ruby,ruby
17420257,Taurus,"Ukraine, Dnipro",1621,Java,java
40473123,Segmentio,"Ukraine, Dnipro",1610,Swift,swift
30362466,html-to-react-components,"Kyiv, Ukraine",1601,JavaScript,javascript
21477872,awesome-crystal,Kyiv,1564,Crystal,crystal
11211473,vagga,Ukraine,1425,Rust,rust
36754112,pull-to-make-soup,"Ukraine, Dnipro",1389,Java,java
9787776,rx-book,UA,1361,JavaScript,javascript
22054800,folding-plugin,"Ukraine, Lviv",1338,Java,java
25030997,ng2-file-upload,Kharkov,1251,TypeScript,javascript
14658758,Lightweight-Stream-API,Ukraine,1249,Java,java
24980632,ng2-dragula,Kharkov,1232,TypeScript,javascript
17256424,shadow-layout,"Ukraine, Lviv",1225,Java,java
9800755,AFViewShaker,"Ukraine, Kyiv",1200,Objective-C,objective-c
18049050,anvil,Ukraine,1177,Java,java
24981465,ng2-charts,Kharkov,1171,TypeScript,javascript
