id,name,location,num_watchers,language,newLanguage
14069317,Material,Vietnam,5580,Java,java
57090153,os01,Vietnam,4464,Makefile,assembly
7485579,emojicon,"Ho Chi Minh, Vietnam",3164,Java,java
42512,peda,Vietnam,2307,Python,python
22050080,BTNavigationDropdownMenu,Vietnam,2289,Swift,swift
8733611,ngxtop,Vietnam,2269,Python,python
21013657,Material-Controls-For-iOS,Vietnam,2114,Objective-C,objective-c
26186551,smooth-app-bar-layout,"Ho Chi Minh, Vietnam",1680,Java,java
5023222,freewall,Vietnam,1445,HTML,javascript
6846221,FeSpinner,"Ho Chi Minh City, Viet Nam",1405,Objective-C,objective-c
57065275,mkloader,"Ho Chi Minh, Vietnam",1231,Java,java
