country_code,num_project
sz,0
im,0
co,0
ng,0
bh,0
bd,1
ir,1
mt,1
uz,1
pr,1
cu,1
dz,1
is,1
pe,1
jm,1
py,1
tz,1
am,2
lk,2
ma,2
lu,2
lt,2
jo,2
cy,2
rs,3
pk,3
sk,3
hr,3
my,3
et,4
lv,4
za,4
si,4
gr,5
hu,5
mx,5
uy,5
ee,5
by,6
id,6
cl,6
th,6
ro,7
ph,7
pt,8
ae,9
vn,11
cz,11
tr,12
hk,12
bg,12
tw,14
ar,14
sg,16
eg,16
nz,17
il,19
kr,21
be,26
fi,26
no,27
dk,27
ie,27
br,36
pl,40
ch,40
at,41
in,42
it,42
ua,56
es,62
au,65
nl,72
se,78
jp,100
ru,121
ca,139
fr,146
de,198
gb,291
cn,514
us,1690
